sim_s,truth_x,truth_y,truth_yaw,ekf_x,ekf_y,ekf_yaw,slam_x,slam_y,slam_yaw,mo_x,mo_y,mo_yaw,slam_ok
24.8120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,nan,nan,nan,nan,nan,nan,0
24.9140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,nan,nan,nan,nan,nan,nan,0
25.0160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.1180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.2180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.3180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.4180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.5200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.6200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.7200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.8200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
25.9220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.0220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.1240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.2240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.3240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.4240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.5240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.6240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.7260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.8280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
26.9300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.0280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.1280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.2260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.3260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.4280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.5280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.6240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.7160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.8140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
27.9140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.0120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.1100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.2100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.3100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.4100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.5100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.6080,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.7100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
28.8100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001241,-0.01412,0.08912,-0.007915,-0.01412,0.08912,-0.009156,1
