sim_s,truth_x,truth_y,truth_yaw,ekf_x,ekf_y,ekf_yaw,slam_x,slam_y,slam_yaw,mo_x,mo_y,mo_yaw,slam_ok
25.9560,-9.00000,-5.50000,-0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
26.0540,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.1560,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.2580,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.3580,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.4580,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.5580,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.6600,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.7620,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.8640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
26.9620,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.0620,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.1640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.2660,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.3660,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.4640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.5640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.6640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.7640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.8660,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
27.9640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.0640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.1680,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.2680,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.3700,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.4680,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.5660,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.6660,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.7660,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.8640,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
28.9700,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.0660,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.1420,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.2420,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.3440,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.4440,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.5440,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.6360,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.7380,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.8360,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
29.9340,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.0360,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.1360,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.2360,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.3380,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.4400,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.5420,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.6420,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.7440,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.8380,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
30.9360,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
31.0320,-9.00000,-5.50000,-0.000000,0.00000,0.00000,0.001121,-2.01403,-0.48713,0.166618,-2.01403,-0.48713,0.165497,1
