sim_s,truth_x,truth_y,truth_yaw,ekf_x,ekf_y,ekf_yaw,slam_x,slam_y,slam_yaw,mo_x,mo_y,mo_yaw,slam_ok
26.7300,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
26.8320,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
26.9320,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.0320,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.1320,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.2340,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.3360,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.4380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.5380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.6400,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.7380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.8380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
27.9380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.0360,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.1380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.2380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.3380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.4380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.5380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.6400,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.7380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.8400,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
28.9380,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.0340,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.1260,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.2240,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.3220,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.4220,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.5160,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.6160,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.7020,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.8000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.9000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
29.9980,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.1000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.2000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.3000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.4000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.4940,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.5940,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.6840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.7840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.8860,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
30.9840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.0840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.1840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.2780,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.3800,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.4780,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.5840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.6780,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.7800,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.8800,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
31.9800,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.0820,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.1840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.2840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.3840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.4760,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.5660,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.6680,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.7700,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.8700,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
32.9700,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
33.0720,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
33.1700,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001207,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006708,1
