sim_s,truth_x,truth_y,truth_yaw,ekf_x,ekf_y,ekf_yaw,slam_x,slam_y,slam_yaw,mo_x,mo_y,mo_yaw,slam_ok
26.9080,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
26.9640,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
26.9640,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
26.9640,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
27.3320,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
27.4240,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
27.5240,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
27.6220,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
27.7240,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
27.8240,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
27.9240,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
28.0260,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
28.1260,1.00000,7.00000,-0.000000,0.00000,0.00000,0.001176,7.08460,12.53333,-0.007915,7.08460,12.53333,-0.009091,1
