sim_s,truth_x,truth_y,truth_yaw,ekf_x,ekf_y,ekf_yaw,slam_x,slam_y,slam_yaw,mo_x,mo_y,mo_yaw,slam_ok
23.6540,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
23.7500,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
23.8420,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
23.9440,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.0440,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.1440,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.2460,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.3460,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.4480,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.4560,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.4560,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.4560,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,nan,nan,nan,nan,nan,nan,0
24.8600,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,15.58433,12.46605,-0.007902,15.58433,12.46605,-0.009125,1
24.9620,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,15.58433,12.46605,-0.007902,15.58433,12.46605,-0.009125,1
25.0640,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,15.58433,12.46605,-0.007902,15.58433,12.46605,-0.009125,1
25.1640,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,15.58433,12.46605,-0.007902,15.58433,12.46605,-0.009125,1
25.2660,9.50000,7.00000,-0.000000,0.00000,0.00000,0.001223,15.58433,12.46605,-0.007902,15.58433,12.46605,-0.009125,1
