sim_s,truth_x,truth_y,truth_yaw,ekf_x,ekf_y,ekf_yaw,slam_x,slam_y,slam_yaw,mo_x,mo_y,mo_yaw,slam_ok
24.9880,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,nan,nan,nan,nan,nan,nan,0
25.0840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,nan,nan,nan,nan,nan,nan,0
25.1840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.2840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.3840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.4840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.5840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.6860,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.7860,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.8880,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
25.9880,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.0880,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.1900,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.2900,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.3900,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.4920,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.5920,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.6900,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.7920,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.8940,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
26.9940,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.0940,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.1920,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.2900,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.3840,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.4880,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.5900,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.6920,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.7940,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.8960,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
27.9960,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.0980,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.2000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.3000,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.4020,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.5040,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.6040,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.7040,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.8040,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
28.9040,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.0060,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.1080,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.2080,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.3100,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.4080,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.5100,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.6100,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.7120,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
29.8140,-4.50000,7.00000,-0.000000,0.00000,0.00000,-0.001141,1.58477,12.57686,-0.007915,1.58477,12.57686,-0.006774,1
