t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
47.690,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.009137,0.000000,0.000000,nan,nan,0
47.790,-4.500000,7.000000,-0.000000,1.584072,12.576849,-0.009168,-0.025000,-0.018820,0.668874,-0.031867,0
47.892,-4.498108,7.000004,0.000007,1.579901,12.576529,-0.009367,-0.054048,-0.022610,0.413870,-0.059032,0
47.992,-4.496809,6.999864,-0.000271,1.573310,12.575524,-0.010678,-0.070941,-0.026717,0.376569,-0.076287,0
48.094,-4.503495,6.998733,-0.002553,1.564960,12.574025,-0.013117,-0.057916,-0.025446,0.432229,-0.063782,0
48.194,-4.509142,6.997603,-0.004853,1.558784,12.572787,-0.015845,-0.041477,-0.028236,0.620581,-0.050984,0
48.294,-4.513927,6.996976,-0.006162,1.554629,12.571787,-0.016979,-0.021507,-0.012662,0.553662,-0.025285,0
48.394,-4.515605,6.996687,-0.006763,1.553113,12.571341,-0.017863,0.001568,-0.008240,0.553662,0.000000,0
48.496,-4.515605,6.996687,-0.006763,1.553109,12.571341,-0.018080,0.024753,-0.004656,-0.194972,0.025231,0
48.596,-4.516853,6.996691,-0.006770,1.555513,12.571912,-0.018207,0.040897,-0.003961,-0.101335,0.041108,0
48.696,-4.521704,6.996713,-0.006791,1.560057,12.572511,-0.018220,0.063019,0.002775,0.046197,0.063087,0
48.796,-4.525150,6.996729,-0.006807,1.566736,12.572746,-0.018305,0.085728,-0.002357,-0.028859,0.085763,0
48.898,-4.520537,6.996744,-0.006715,1.573372,12.572597,-0.018476,0.047848,-0.009695,-0.209626,0.048919,0
48.998,-4.515145,6.996809,-0.006513,1.577153,12.572256,-0.018461,0.018275,-0.008931,-0.343687,0.000000,0
49.098,-4.513400,6.997158,-0.005794,1.577255,12.572242,-0.018339,-0.015480,-0.006608,-0.343687,0.000000,0
49.200,-4.513696,6.997111,-0.005891,1.576193,12.572360,-0.018953,-0.030729,-0.015245,0.480226,-0.034648,0
49.300,-4.511512,6.996706,-0.006673,1.572190,12.572532,-0.019570,-0.059948,-0.014910,0.255438,-0.061958,0
49.400,-4.508550,6.996682,-0.006680,1.565757,12.572251,-0.020012,-0.076984,-0.013189,0.177984,-0.078220,0
49.502,-4.515896,6.996119,-0.007914,1.557004,12.571672,-0.021683,-0.100667,-0.028653,0.290413,-0.105066,0
49.604,-4.529063,6.994863,-0.010665,1.545802,12.570687,-0.023770,-0.121278,-0.041686,0.346361,-0.128935,0
49.706,-4.540030,6.993448,-0.013763,1.531068,12.568992,-0.027644,-0.098375,-0.028320,0.293536,-0.102771,0
49.808,-4.549501,6.992200,-0.016544,1.523387,12.568079,-0.030030,-0.087554,-0.032060,0.367054,-0.093802,0
49.908,-4.556822,6.991287,-0.018627,1.514078,12.566951,-0.032991,-0.054977,-0.023360,0.419651,-0.060201,0
50.008,-4.561269,6.990689,-0.019995,1.508898,12.566260,-0.034619,-0.032235,-0.016871,0.502500,-0.036782,0
50.110,-4.562796,6.990666,-0.020102,1.506023,12.565763,-0.035093,-0.007663,-0.006305,0.541924,0.000000,0
50.212,-4.562312,6.990660,-0.020095,1.505952,12.565752,-0.035328,0.015024,-0.002113,0.541924,0.000000,0
50.312,-4.563126,6.990674,-0.020099,1.507153,12.565948,-0.035467,0.028977,0.001319,0.047744,0.029010,0
50.412,-4.567131,6.990751,-0.020106,1.510830,12.566240,-0.035449,0.054912,0.001461,0.027920,0.054934,0
50.514,-4.564216,6.990827,-0.019839,1.517038,12.566292,-0.035367,0.076068,0.000372,0.005132,0.076069,0
50.614,-4.555550,6.990962,-0.019230,1.525519,12.566299,-0.034922,0.100086,0.004126,0.043263,0.100180,0
50.714,-4.544539,6.991137,-0.018464,1.536454,12.566310,-0.034398,0.124800,0.005902,0.049617,0.124953,0
50.816,-4.530964,6.991356,-0.017539,1.549905,12.566322,-0.033684,0.147227,0.006961,0.049605,0.147409,0
50.916,-4.515026,6.991618,-0.016472,1.565306,12.566337,-0.032843,0.181794,0.012639,0.072870,0.170125,0
51.018,-4.496639,6.991931,-0.015261,1.583888,12.566362,-0.031797,0.209471,0.014528,0.072696,0.210026,0
51.118,-4.475702,6.992302,-0.013909,1.604730,12.566398,-0.030670,0.232572,0.014776,0.066611,0.233089,0
51.218,-4.452241,6.992736,-0.012427,1.628036,12.566451,-0.029412,0.257333,0.014783,0.060247,0.257801,0
51.318,-4.426306,6.993232,-0.010835,1.653866,12.566518,-0.028063,0.282004,0.014497,0.053924,0.282414,0
51.418,-4.397925,6.993792,-0.009147,1.682282,12.566606,-0.026604,0.303487,0.011560,0.039973,0.303729,0
51.520,-4.367184,6.994419,-0.007385,1.712923,12.566712,-0.025065,0.326733,0.002368,0.007608,0.326742,0
51.620,-4.334180,6.995068,-0.005657,1.746030,12.566793,-0.023589,0.330071,-0.008698,-0.027663,0.330197,0
51.720,-4.301034,6.995656,-0.004156,1.779375,12.566802,-0.022316,0.334539,-0.010905,-0.034214,0.334735,0
51.822,-4.267810,6.996289,-0.002661,1.812630,12.566856,-0.021059,0.329305,0.037238,0.118182,0.331618,0
51.922,-4.233425,6.996976,-0.001156,1.846979,12.566923,-0.019770,0.363254,0.012475,0.036043,0.363490,0
52.022,-4.196374,6.997712,0.000347,1.883994,12.566987,-0.018541,0.391681,0.012428,0.033303,0.391898,0
52.124,-4.156639,6.998534,0.001901,1.923709,12.567078,-0.017213,0.414941,0.012649,0.031997,0.415154,0
52.224,-4.114352,6.999442,0.003491,1.966002,12.567202,-0.015812,0.440157,0.012822,0.030579,0.440363,0
52.326,-4.069476,7.000444,0.005109,2.006243,12.567345,-0.014520,0.463750,0.012831,0.029043,0.463945,0
52.426,-4.022087,7.001543,0.006745,2.067963,12.567611,-0.012717,0.487841,0.013630,0.029329,0.488051,0
52.526,-3.972086,7.002738,0.008379,2.118536,12.567847,-0.011319,0.513775,0.011335,0.023162,0.513913,0
52.626,-3.919391,7.004026,0.009989,2.171834,12.568124,-0.009875,0.556961,0.010288,0.020953,0.541536,0
52.726,-3.863926,7.005410,0.011561,2.227769,12.568428,-0.008467,0.579917,0.007762,0.016787,0.569244,0
52.828,-3.805966,7.006884,0.013082,2.285292,12.569179,-0.006705,0.600000,0.001109,0.001941,0.600001,0
52.928,-3.746130,7.008435,0.014533,2.341104,12.571341,-0.003723,0.600000,0.002399,0.004198,0.600005,0
53.028,-3.686164,7.010034,0.015905,2.401391,12.571876,-0.002553,0.600000,0.000722,0.001263,0.600000,0
53.132,-3.626198,7.011675,0.017202,2.461680,12.572445,-0.001433,0.600000,-0.000264,-0.000462,0.600000,0
53.232,-3.566232,7.013355,0.018425,2.521908,12.573041,-0.000427,0.600000,-0.001392,-0.002436,0.600002,0
53.334,-3.506266,7.015072,0.019580,2.582200,12.573661,0.000596,0.600000,-0.002553,-0.004468,0.600006,0
53.434,-3.446299,7.016825,0.020672,2.642867,12.575352,0.001913,0.600000,-0.003749,-0.006561,0.600013,0
53.534,-3.386332,7.018610,0.021702,2.704653,12.580358,0.004765,0.600000,-0.007449,-0.013035,0.600051,0
53.636,-3.326360,7.020428,0.022675,2.763726,12.581180,0.005543,0.600000,-0.010432,-0.018254,0.600100,0
53.736,-3.266383,7.022274,0.023593,2.825240,12.582051,0.006337,0.600000,-0.011441,-0.020018,0.600120,0
53.836,-3.206405,7.024149,0.024460,2.885561,12.582934,0.006915,0.600000,-0.012668,-0.022165,0.600147,0
53.938,-3.146425,7.026050,0.025279,2.944204,12.585648,0.010455,0.600000,-0.008140,-0.014244,0.600061,0
54.038,-3.086453,7.027976,0.026051,2.995277,12.594726,0.023007,0.600000,-0.015622,-0.027333,0.600224,0
54.138,-3.026409,7.029927,0.026780,3.058093,12.596603,0.023557,0.600827,-0.017720,-0.030957,0.601115,0
54.238,-2.966311,7.031901,0.027469,3.118491,12.598436,0.023988,0.601180,-0.020119,-0.035125,0.601551,0
54.340,-2.906187,7.033898,0.028119,3.178884,12.600254,0.024380,0.601609,-0.020018,-0.034924,0.601976,0
54.440,-2.846038,7.035915,0.028732,3.239278,12.599883,0.023079,0.602029,-0.020055,-0.034963,0.602398,0
54.540,-2.785863,7.037951,0.029310,3.299159,12.592357,0.016623,0.600408,-0.022866,-0.039968,0.600888,0
54.642,-2.725787,7.040000,0.029854,3.359517,12.593680,0.016952,0.600541,-0.020242,-0.035377,0.600917,0
54.742,-2.665736,7.042065,0.030367,3.419927,12.595021,0.017299,0.600672,-0.020455,-0.035741,0.601055,0
54.842,-2.605666,7.044147,0.030851,3.480284,12.596349,0.017546,0.600787,-0.021163,-0.036970,0.601197,0
54.944,-2.545586,7.046243,0.031307,3.536819,12.596676,0.016810,0.600458,-0.021313,-0.037252,0.600875,0
55.044,-2.485533,7.048351,0.031737,3.581668,12.593705,0.013046,0.600204,-0.020714,-0.036222,0.600598,0
55.144,-2.425513,7.050471,0.032142,3.641967,12.594752,0.013332,0.600071,-0.021035,-0.036791,0.600477,0
55.244,-2.365506,7.052603,0.032524,3.702406,12.595781,0.013457,0.600017,-0.022608,-0.039542,0.600486,0
55.346,-2.305492,7.054747,0.032884,3.774755,12.597024,0.013615,0.600345,-0.021709,-0.037952,0.600778,0
55.446,-2.245458,7.056901,0.033224,3.831725,12.598384,0.015737,0.600547,-0.021591,-0.037732,0.600975,0
