t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
48.054,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007737,0.000000,0.000000,nan,nan,0
48.154,-4.499819,7.000001,0.000002,1.584384,12.576855,-0.007739,-0.025000,-0.019583,nan,nan,0
48.254,-4.496890,7.000005,0.000010,1.580459,12.576584,-0.007621,-0.051769,-0.021889,nan,nan,0
48.354,-4.498443,6.999542,-0.000918,1.574368,12.575661,-0.008137,-0.069650,-0.024196,nan,nan,0
48.456,-4.505569,6.998473,-0.003087,1.567567,12.574514,-0.010267,-0.042991,-0.020698,nan,nan,0
48.556,-4.509535,6.997945,-0.004171,1.563440,12.573716,-0.011127,-0.030826,-0.015513,nan,nan,0
48.656,-4.510130,6.997824,-0.004417,1.562475,12.573522,-0.011320,-0.002291,-0.009888,nan,nan,0
48.758,-4.510566,6.997824,-0.004420,1.563089,12.573636,-0.011079,0.030529,-0.001921,nan,nan,0
48.858,-4.514789,6.997839,-0.004429,1.566241,12.573989,-0.010769,0.054756,-0.002035,-0.039007,0.054798,0
48.958,-4.515567,6.997844,-0.004426,1.571663,12.574101,-0.010435,0.077100,-0.001440,-0.019607,0.077115,0
49.060,-4.507229,6.997864,-0.004312,1.579511,12.574078,-0.010071,0.101905,-0.001114,-0.011478,0.101912,0
49.160,-4.496418,6.997888,-0.004172,1.590049,12.574051,-0.009652,0.123427,-0.000429,-0.003653,0.123428,0
49.260,-4.484971,6.997872,-0.004110,1.600937,12.573992,-0.009345,0.089392,-0.006992,-0.081947,0.089693,0
49.360,-4.476678,6.997798,-0.004190,1.609482,12.573860,-0.009221,0.063483,-0.008497,-0.139618,0.064106,0
49.462,-4.471228,6.997719,-0.004301,1.615530,12.573663,-0.009216,0.043130,-0.008993,-0.215522,0.044152,0
49.562,-4.468925,6.997773,-0.004174,1.619300,12.573397,-0.008970,0.024525,-0.007702,-0.318508,0.025823,0
49.662,-4.469302,6.997856,-0.004011,1.620539,12.573260,-0.008592,-0.000195,-0.007677,-0.318508,0.000000,0
49.764,-4.469361,6.997809,-0.004104,1.620411,12.573274,-0.008351,-0.024714,-0.008044,0.329313,-0.026118,0
49.864,-4.467043,6.997468,-0.004765,1.617457,12.573445,-0.008737,-0.041396,-0.012892,0.316046,-0.043553,0
49.964,-4.464330,6.997426,-0.004823,1.612413,12.573280,-0.008558,-0.067329,-0.010291,0.159130,-0.068191,0
50.066,-4.471626,6.996912,-0.005930,1.603567,12.572662,-0.009497,-0.085663,-0.021237,0.254659,-0.088517,0
50.166,-4.478789,6.996277,-0.007294,1.594630,12.571854,-0.010627,-0.108485,-0.033910,0.317133,-0.114178,0
50.266,-4.489036,6.995382,-0.009251,1.581362,12.570835,-0.012575,-0.130892,0.007593,-0.060835,-0.131135,0
50.368,-4.503476,6.995122,-0.010052,1.567023,12.570714,-0.013169,-0.148145,0.010966,-0.077570,-0.148592,0
50.468,-4.521241,6.995493,-0.009665,1.550948,12.571139,-0.012437,-0.171754,0.032638,-0.152304,-0.166966,0
50.568,-4.540834,6.996595,-0.007809,1.533378,12.572210,-0.010240,-0.180349,0.044642,-0.254280,-0.186341,0
50.668,-4.561238,6.998342,-0.004572,1.514689,12.573885,-0.006759,-0.190883,0.056747,-0.302566,-0.199966,0
50.770,-4.582001,7.000547,-0.000270,1.494896,12.576055,-0.002241,-0.199332,0.067630,-0.342227,-0.211603,0
