t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
45.228,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007880,0.000000,0.000000,nan,nan,0
45.328,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007880,-0.025000,-0.019505,0.686351,-0.032318,0
45.428,-4.499633,7.000003,0.000006,1.581548,12.576698,-0.007763,-0.050358,-0.020986,0.412471,-0.054968,0
45.528,-4.498216,6.999949,-0.000102,1.575929,12.575962,-0.008128,-0.069716,-0.024821,0.357746,-0.074428,0
45.630,-4.504784,6.998967,-0.002081,1.568513,12.574804,-0.010092,-0.082458,-0.042967,0.500637,-0.093994,0
45.730,-4.509799,6.998118,-0.003807,1.561888,12.573516,-0.011715,-0.048193,-0.017569,0.365576,-0.051603,0
45.830,-4.514248,6.997202,-0.005680,1.557671,12.572673,-0.013305,-0.020460,-0.017585,0.734168,-0.027559,0
45.932,-4.516255,6.997037,-0.006033,1.556398,12.572373,-0.013294,0.003727,-0.003921,0.734168,0.000000,0
46.032,-4.514381,6.997052,-0.005981,1.556394,12.572373,-0.012975,0.024918,0.001022,0.043049,0.024941,0
46.132,-4.516220,6.997071,-0.005964,1.558702,12.573047,-0.012591,0.040173,0.001493,0.038998,0.040203,0
46.232,-4.521204,6.997089,-0.005988,1.562880,12.573804,-0.012072,0.061239,0.003956,0.067733,0.061380,0
46.334,-4.524736,6.997099,-0.006011,1.569400,12.574326,-0.011656,0.084718,0.003052,0.037811,0.084778,0
46.434,-4.519994,6.997152,-0.005849,1.575736,12.574414,-0.011275,0.048309,-0.007446,-0.160445,0.048938,0
46.534,-4.515239,6.997143,-0.005812,1.579739,12.574201,-0.011103,0.021184,-0.007957,-0.375652,0.022772,0
46.636,-4.514086,6.997760,-0.004565,1.580765,12.574095,-0.009747,-0.000208,-0.002090,-0.375652,0.000000,0
46.736,-4.514855,6.997884,-0.004324,1.580765,12.574095,-0.009388,-0.024682,-0.004778,0.200544,-0.025187,0
46.836,-4.513426,6.997364,-0.005349,1.577526,12.574384,-0.009955,-0.038978,-0.016755,0.423977,-0.042764,0
46.938,-4.509486,6.997250,-0.005534,1.572151,12.574334,-0.009866,-0.067691,-0.015057,0.229443,-0.069513,0
