t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
48.392,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.007915,0.000000,0.000000,nan,nan,0
48.492,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.007915,0.000000,0.000000,nan,nan,0
48.592,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.007915,0.000000,0.000000,nan,nan,0
48.694,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.007915,-0.025000,0.003837,nan,nan,0
48.794,0.998931,7.000156,0.000313,7.081768,12.533457,-0.007380,-0.043186,0.007900,nan,nan,0
48.896,0.994537,7.000414,0.000833,7.076506,12.533769,-0.006512,-0.072897,0.012213,nan,nan,0
48.996,0.987217,7.000804,0.001632,7.068524,12.534249,-0.005465,-0.096956,0.014857,nan,nan,0
49.096,0.977482,7.001321,0.002708,7.058167,12.534866,-0.004067,-0.121431,0.018069,nan,nan,0
49.196,0.965297,7.001964,0.004077,7.045407,12.535620,-0.002416,-0.145375,0.019671,nan,nan,0
49.296,0.950701,7.002724,0.005737,7.030135,12.536509,-0.000405,-0.170295,0.022542,nan,nan,0
49.398,0.933619,7.003598,0.007716,7.012286,12.537528,0.001885,-0.195909,0.026396,nan,nan,0
49.498,0.913921,7.004589,0.010047,6.992028,12.538661,0.004467,-0.222418,0.029811,nan,nan,0
49.598,0.891663,7.005685,0.012743,6.969077,12.539915,0.007421,-0.248228,0.033643,-0.141361,-0.250729,0
49.700,0.866812,7.006878,0.015838,6.943553,12.541274,0.010871,-0.269869,0.037357,-0.144336,-0.272705,0
49.800,0.839391,7.008153,0.019350,6.915292,12.542727,0.014764,-0.306118,0.043683,-0.148727,-0.309535,0
49.900,0.809229,7.009502,0.023332,6.884430,12.544248,0.019093,-0.332179,0.046260,-0.145197,-0.335712,0
50.002,0.776545,7.010903,0.027779,6.851058,12.545816,0.023867,-0.356428,0.051111,-0.149445,-0.360445,0
50.102,0.722793,7.013046,0.035447,6.815009,12.547427,0.029137,-0.383436,0.055311,-0.150321,-0.387810,0
50.202,0.703538,7.013765,0.038302,6.776508,12.549038,0.035059,-0.409139,0.060530,-0.154109,-0.414046,0
50.304,0.641997,7.015880,0.047811,6.735319,12.550644,0.041566,-0.434814,0.066074,-0.158224,-0.440314,0
50.404,0.597536,7.017235,0.055046,6.691408,12.552188,0.048803,-0.461971,0.072525,-0.163370,-0.468205,0
50.504,0.550573,7.018501,0.063012,6.645013,12.553642,0.056818,-0.486041,0.078472,-0.167928,-0.492976,0
50.604,0.501099,7.019614,0.071824,6.595933,12.554982,0.065560,-0.513326,0.082210,-0.166600,-0.520533,0
50.706,0.449048,7.020513,0.081580,6.533797,12.556341,0.077335,-0.538338,0.086901,-0.167900,-0.546016,0
50.808,0.394662,7.021152,0.092280,6.479325,12.557185,0.088190,-0.563185,0.086687,-0.160233,-0.570493,0
50.908,0.338206,7.021464,0.103943,6.422644,12.557718,0.100083,-0.572392,0.090950,-0.165317,-0.580304,0
51.008,0.280750,7.021427,0.116487,6.365102,12.557881,0.112753,-0.586726,0.099793,-0.176726,-0.596009,0
51.108,0.222325,7.020997,0.129975,6.307242,12.572721,0.109578,-0.588928,0.109925,-0.193532,-0.600132,0
51.210,0.163480,7.020154,0.144373,6.248123,12.573061,0.124184,-0.594010,0.118987,-0.207306,-0.607007,0
51.310,0.104403,7.018871,0.159702,6.189956,12.572971,0.139306,-0.593427,0.127768,-0.222334,-0.608402,0
51.410,0.045389,7.017127,0.175951,6.129436,12.572380,0.156053,-0.592565,0.137970,-0.239775,-0.610016,0
51.510,-0.013491,7.015045,0.192891,6.070321,12.571304,0.173171,-0.591208,0.144796,-0.251708,-0.610444,0
51.610,-0.072096,7.012520,0.210705,6.011337,12.569726,0.191212,-0.587234,0.152912,-0.266891,-0.608788,0
51.712,-0.130333,7.009522,0.229451,5.947315,12.571664,0.210467,-0.583955,0.161888,-0.283260,-0.608192,0
51.812,-0.188166,7.006041,0.249165,5.889221,12.569013,0.230386,-0.579743,0.172056,-0.302082,-0.607239,0
51.912,-0.245462,7.002005,0.269986,5.831628,12.565827,0.251390,-0.575539,0.181571,-0.319878,-0.606294,0
52.014,-0.302159,6.997247,0.292266,5.774570,12.562094,0.273770,-0.568664,0.196553,-0.348140,-0.604956,0
52.114,-0.358270,6.991944,0.315699,5.718033,12.557782,0.297402,-0.562927,0.207806,-0.369779,-0.603735,0
52.214,-0.413781,6.986082,0.340325,5.669655,12.558867,0.309057,-0.556156,0.220990,-0.395262,-0.602621,0
52.316,-0.468501,6.979662,0.366094,5.614415,12.554112,0.334917,-0.550329,0.228668,-0.411393,-0.600426,0
52.416,-0.522383,6.972616,0.392884,5.559875,12.548694,0.361792,-0.539782,0.241683,-0.439467,-0.596458,0
52.516,-0.575440,6.965027,0.420897,5.506269,12.542727,0.389967,-0.530640,0.253564,-0.465037,-0.593686,0
52.616,-0.627822,6.956822,0.450176,5.453675,12.536136,0.419431,-0.515988,0.271149,-0.504201,-0.591505,0
52.718,-0.679537,6.947770,0.480361,5.397750,12.540414,0.437008,-0.508561,0.280713,-0.525265,-0.587802,0
52.818,-0.730704,6.937822,0.511520,5.346623,12.532751,0.468351,-0.499901,0.289800,-0.546792,-0.585229,0
52.918,-0.780633,6.927068,0.543140,5.296297,12.524157,0.500102,-0.492221,0.294666,-0.561169,-0.581385,0
53.020,-0.829973,6.915464,0.575689,5.246967,12.514745,0.532835,-0.482133,0.303528,-0.584090,-0.577949,0
53.120,-0.878065,6.903765,0.607366,5.198653,12.504528,0.564970,-0.471343,0.297305,-0.584972,-0.565344,0
53.220,-0.924292,6.891268,0.638055,5.173732,12.496254,0.579710,-0.459904,0.286789,-0.579718,-0.549718,0
53.322,-0.967272,6.877856,0.666179,5.128023,12.484145,0.608529,-0.450859,0.261791,-0.547508,-0.528046,0
53.422,-1.008092,6.862923,0.691707,5.084150,12.470175,0.634681,-0.441186,0.235353,-0.510586,-0.505682,0
53.522,-1.047061,6.846539,0.714829,5.042166,12.454606,0.658457,-0.431099,0.211414,-0.475519,-0.484895,0
53.624,-1.084565,6.828943,0.736138,5.002507,12.438027,0.680308,-0.393976,0.205988,-0.502064,-0.449441,0
53.724,-1.120264,6.811621,0.757092,4.970609,12.345412,0.755090,-0.364236,0.200816,-0.524762,-0.420866,0
53.824,-1.153288,6.795259,0.777340,4.937518,12.328478,0.775846,-0.337189,0.192885,-0.540891,-0.393338,0
53.924,-1.183708,6.779887,0.796769,4.907130,12.312570,0.795735,-0.309284,0.185220,-0.561334,-0.365349,0
54.026,-1.211496,6.765575,0.815194,4.874159,12.294913,0.818245,-0.279985,0.175039,-0.580884,-0.334919,0
54.126,-1.236513,6.752460,0.832365,4.849691,12.281535,0.835549,-0.250297,0.162344,-0.597885,-0.302829,0
54.226,-1.258926,6.740517,0.848231,4.833367,12.271955,0.849711,-0.222303,0.148028,-0.610173,-0.271251,0
54.328,-1.278695,6.729816,0.862621,4.836235,12.271576,0.856556,-0.193928,0.133294,-0.625145,-0.239158,0
54.428,-1.295906,6.720373,0.875453,4.819482,12.262170,0.869500,-0.165968,0.117759,-0.640298,-0.206963,0
54.528,-1.307243,6.715269,0.883828,4.806807,12.254644,0.876599,-0.140645,0.089578,-0.589447,-0.169197,0
54.630,-1.311545,6.714394,0.882857,4.807592,12.255135,0.875808,-0.027362,0.001239,-0.047527,-0.027393,0
54.730,-1.320978,6.711488,0.879721,4.807869,12.255414,0.873108,0.000000,0.000000,-0.047527,0.000000,0
54.830,-1.330686,6.707200,0.875136,4.807861,12.255436,0.869426,0.000264,-0.013986,-0.047527,0.000000,1
54.930,-1.336627,6.703808,0.871537,4.807855,12.255457,0.867253,0.000118,-0.006772,-0.047527,0.000000,2
55.032,-1.336627,6.703809,0.871536,4.809520,12.257122,0.866054,0.000000,0.000000,-0.047527,0.000000,2
55.132,-1.336627,6.703809,0.871535,4.816246,12.263732,0.860347,0.000000,0.000000,-0.047527,0.000000,2
55.232,-1.336628,6.703810,0.871534,4.816240,12.263745,0.860567,0.000000,0.000000,-0.047527,0.000000,2
55.334,-1.336628,6.703810,0.871534,4.816235,12.263756,0.860783,0.000000,0.000000,-0.047527,0.000000,2
55.434,-1.336628,6.703810,0.871534,4.816246,12.263776,0.861000,0.000000,0.000000,-0.047527,0.000000,2
55.534,-1.336628,6.703810,0.871534,4.816299,12.263823,0.861000,0.000000,0.000000,-0.047527,0.000000,2
55.636,-1.336627,6.703810,0.871533,4.816349,12.263867,0.861000,0.000000,0.000000,-0.047527,0.000000,2
55.736,-1.336627,6.703810,0.871533,4.816393,12.263905,0.861000,0.000000,0.000000,-0.047527,0.000000,2
55.836,-1.336627,6.703810,0.871533,4.816432,12.263939,0.861000,0.000000,0.000000,-0.047527,0.000000,2
55.938,-1.336627,6.703810,0.871533,4.816466,12.263970,0.861000,0.000000,0.000000,-0.047527,0.000000,2
56.038,-1.336627,6.703810,0.871533,4.816496,12.263996,0.861000,0.000000,0.000000,-0.047527,0.000000,2
56.138,-1.336627,6.703810,0.871533,4.816523,12.264020,0.861000,0.000000,0.000000,-0.047527,0.000000,2
