t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
48.026,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.007915,0.000000,0.000000,nan,nan,0
48.126,1.000000,7.000000,-0.000000,7.084499,12.533326,-0.007915,-0.025000,-0.000000,0.000016,-0.025000,0
48.226,0.997476,7.000000,-0.000001,7.082336,12.533341,-0.008050,-0.047515,-0.001344,0.029694,-0.047536,0
48.328,0.992606,6.999996,-0.000008,7.076186,12.533383,-0.008307,-0.060697,-0.001888,0.032651,-0.060729,0
48.428,0.985398,6.999988,-0.000024,7.068680,12.533430,-0.008537,-0.083446,-0.001069,0.013447,-0.083454,0
48.528,0.975961,6.999976,-0.000049,7.058806,12.533494,-0.008774,-0.109414,-0.001143,0.010965,-0.109421,0
48.630,0.963979,6.999957,-0.000089,7.046356,12.533577,-0.008977,-0.148118,-0.001635,0.011591,-0.148128,0
48.730,0.949367,6.999932,-0.000143,7.031328,12.533669,-0.009180,-0.168197,-0.001922,0.011996,-0.168209,0
48.830,0.932462,6.999900,-0.000211,7.014075,12.533779,-0.009450,-0.192884,-0.001908,0.010385,-0.192894,0
48.932,0.913082,6.999861,-0.000299,6.994327,12.533911,-0.009844,-0.217462,-0.002878,0.013896,-0.217483,0
49.034,0.891139,6.999815,-0.000407,6.971877,12.534060,-0.010104,-0.242366,-0.002444,0.010589,-0.242380,0
49.136,0.866649,6.999759,-0.000542,6.947017,12.534225,-0.010469,-0.268661,-0.003110,0.012156,-0.268681,0
49.236,0.839589,6.999696,-0.000702,6.919445,12.534417,-0.010814,-0.294764,-0.003118,0.011105,-0.294782,0
49.336,0.809937,6.999629,-0.000883,6.889289,12.534638,-0.011158,-0.315943,-0.002909,0.009667,-0.315958,0
49.438,0.777704,6.999559,-0.001086,6.856638,12.534888,-0.011521,-0.341113,-0.003435,0.010574,-0.341132,0
49.538,0.743024,6.999488,-0.001311,6.821532,12.535162,-0.011924,-0.366017,-0.003924,0.011256,-0.366040,0
49.638,0.705727,6.999416,-0.001561,6.783664,12.535456,-0.012423,-0.402782,-0.003344,0.008652,-0.391994,0
49.740,0.665729,6.999345,-0.001840,6.743265,12.535788,-0.012886,-0.429329,-0.003281,0.008024,-0.429343,0
49.840,0.623076,6.999275,-0.002149,6.700044,12.536164,-0.013394,-0.456624,-0.003349,0.007700,-0.456638,0
49.940,0.577694,6.999209,-0.002492,6.654136,12.536589,-0.013920,-0.484543,-0.003663,0.007938,-0.484558,0
50.040,0.529617,6.999147,-0.002872,6.605505,12.537055,-0.014620,-0.510871,-0.004251,0.008737,-0.510891,0
50.142,0.478860,6.999093,-0.003292,6.554358,12.537555,-0.015252,-0.536211,-0.001877,0.003676,-0.536214,0
50.242,0.425744,6.999049,-0.003755,6.500643,12.538117,-0.016014,-0.557319,-0.002132,0.004017,-0.557324,0
50.342,0.369978,6.999016,-0.004267,6.444410,12.538748,-0.016748,-0.581929,0.001468,-0.002649,-0.581931,0
50.444,0.311630,6.999002,-0.004824,6.387130,12.540239,-0.019344,-0.600000,0.009511,-0.016642,-0.600083,0
50.544,0.251717,6.999010,-0.005422,6.333185,12.544776,-0.027315,-0.600084,0.016708,-0.029226,-0.600341,0
50.646,0.191652,6.999037,-0.006056,6.260716,12.546354,-0.028350,-0.601292,0.015883,-0.027728,-0.601523,0
50.746,0.131499,6.999085,-0.006728,6.200253,12.547697,-0.029337,-0.601646,0.015054,-0.026266,-0.601853,0
50.846,0.071311,6.999154,-0.007439,6.151887,12.548816,-0.030110,-0.601820,0.013616,-0.023751,-0.601989,0
50.946,0.011087,6.999248,-0.008192,6.079354,12.550515,-0.031302,-0.602213,0.014523,-0.025316,-0.602406,0
51.046,-0.049158,6.999366,-0.008990,6.003939,12.548524,-0.028290,-0.603232,0.013500,-0.023495,-0.603398,0
51.148,-0.109041,6.999513,-0.009822,5.922015,12.544195,-0.023236,-0.579829,0.010422,-0.018871,-0.579933,0
51.248,-0.166868,6.999690,-0.010650,5.864567,12.545099,-0.024342,-0.558011,-0.002809,0.003640,-0.565369,0
51.348,-0.223088,6.999886,-0.011500,5.808691,12.546010,-0.025430,-0.541447,-0.002706,0.005247,-0.541454,0
51.450,-0.277374,7.000106,-0.012355,5.754750,12.546939,-0.026544,-0.519510,-0.003626,0.007329,-0.519524,0
51.550,-0.329481,7.000350,-0.013195,5.686983,12.541482,-0.020309,-0.497958,-0.003232,0.006815,-0.497969,0
51.650,-0.379544,7.000616,-0.014025,5.613384,12.531906,-0.010368,-0.477869,-0.010913,0.023975,-0.478007,0
51.752,-0.450649,7.001031,-0.015275,5.565997,12.531972,-0.011453,-0.459170,-0.013286,0.030373,-0.459382,0
51.852,-0.495432,7.001317,-0.016108,5.520541,12.532054,-0.012506,-0.434691,-0.013174,0.031811,-0.434911,0
51.952,-0.538055,7.001607,-0.016936,5.477306,12.532175,-0.013576,-0.416247,-0.013188,0.033254,-0.416477,0
52.052,-0.558612,7.001752,-0.017348,5.437473,12.532377,-0.014967,-0.394617,-0.014879,0.039569,-0.394926,0
52.154,-0.617096,7.002183,-0.018584,5.400377,12.532656,-0.016399,-0.374391,-0.014386,0.040324,-0.374696,0
52.254,-0.653738,7.002468,-0.019406,5.363234,12.532847,-0.017413,-0.355572,-0.015630,0.046121,-0.355951,0
52.354,-0.688289,7.002745,-0.020220,5.328072,12.533042,-0.018514,-0.335707,-0.015764,0.049267,-0.336115,0
