t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
47.836,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.008006,0.000000,0.000000,nan,nan,0
47.938,1.000243,6.999999,-0.000002,7.085634,12.533312,-0.008137,0.031478,-0.002484,-0.082668,0.031586,0
48.038,1.003189,6.999980,-0.000039,7.089091,12.533259,-0.008394,0.055444,-0.004900,-0.092523,0.055682,0
48.138,1.008365,6.999923,-0.000152,7.094941,12.533147,-0.008768,0.077173,-0.005138,-0.069792,0.077361,0
48.240,1.016160,6.999826,-0.000342,7.103148,12.532978,-0.009152,0.100348,-0.005662,-0.059173,0.100524,0
48.340,1.026272,6.999695,-0.000595,7.113719,12.532755,-0.009660,0.124358,-0.006660,-0.056170,0.124555,0
48.440,1.038810,6.999526,-0.000914,7.126443,12.532475,-0.010163,0.149446,-0.006030,-0.042342,0.149580,0
48.540,1.053765,6.999317,-0.001299,7.142114,12.532116,-0.010857,0.174194,-0.008161,-0.049154,0.174405,0
48.642,1.071245,6.999063,-0.001755,7.159935,12.531696,-0.011558,0.198912,-0.008372,-0.044167,0.199107,0
48.744,1.091243,6.998759,-0.002281,7.180302,12.531201,-0.012350,0.223703,-0.009684,-0.045423,0.223934,0
48.844,1.113778,6.998403,-0.002877,7.203360,12.530620,-0.013250,0.249930,-0.009504,-0.039906,0.250129,0
48.944,1.138882,6.997992,-0.003539,7.228996,12.529953,-0.014093,0.274956,-0.010110,-0.038591,0.275161,0
49.044,1.166567,6.997523,-0.004261,7.254120,12.529278,-0.014897,0.300694,-0.010807,-0.037720,0.300908,0
49.144,1.196794,6.996991,-0.005044,7.287792,12.528341,-0.016009,0.324518,-0.012642,-0.040882,0.324790,0
49.246,1.229450,6.996394,-0.005882,7.327897,12.527189,-0.017356,0.350807,-0.013499,-0.040381,0.351093,0
49.346,1.264700,6.995724,-0.006776,7.364126,12.526119,-0.018444,0.376456,-0.014345,-0.039990,0.376757,0
49.446,1.302573,6.994977,-0.007721,7.403122,12.524921,-0.019683,0.404122,-0.015724,-0.040833,0.404459,0
49.546,1.343183,6.994145,-0.008719,7.444570,12.523607,-0.020876,0.430450,-0.016032,-0.039086,0.430779,0
49.648,1.386275,6.993234,-0.009747,7.488688,12.522178,-0.022102,0.455239,-0.016337,-0.037663,0.455562,0
49.748,1.431866,6.992234,-0.010810,7.535306,12.520606,-0.023481,0.479925,-0.018063,-0.039499,0.480300,0
49.848,1.480081,6.991134,-0.011915,7.584640,12.518882,-0.024856,0.507678,-0.019388,-0.040077,0.508086,0
49.950,1.530938,6.989924,-0.013064,7.636554,12.517029,-0.026170,0.528973,-0.019428,-0.038544,0.529367,0
50.050,1.584300,6.988624,-0.014207,7.690887,12.515054,-0.027454,0.553266,0.001524,0.002892,0.553268,0
50.150,1.640209,6.987260,-0.015287,7.747982,12.512966,-0.028722,0.579263,0.010809,0.019590,0.579374,0
50.252,1.698330,6.985823,-0.016323,7.803865,12.509722,-0.030683,0.589449,0.011381,0.020270,0.589570,0
50.352,1.757411,6.984333,-0.017316,7.859165,12.505776,-0.032969,0.595295,0.011491,0.020265,0.595417,0
50.452,1.846985,6.982018,-0.018718,7.919168,12.503342,-0.034086,0.600191,0.012941,0.022635,0.600344,0
50.554,1.907087,6.980429,-0.019593,7.979530,12.500854,-0.035192,0.602508,0.011841,0.020632,0.602637,0
50.654,1.967397,6.978807,-0.020423,8.040017,12.498313,-0.036383,0.603966,0.011409,0.019832,0.604084,0
50.754,2.027829,6.977157,-0.021207,8.100745,12.495718,-0.037412,0.604568,0.013430,0.023321,0.604732,0
50.854,2.088312,6.975482,-0.021948,8.172255,12.490607,-0.040960,0.606199,0.013439,0.023273,0.606363,0
50.956,2.148756,6.973785,-0.022646,8.249281,12.483820,-0.045604,0.600000,0.006571,0.011499,0.600040,0
51.056,2.208734,6.972080,-0.023300,8.309505,12.480762,-0.046401,0.600000,0.007342,0.012847,0.600050,0
51.156,2.268712,6.970355,-0.023918,8.369724,12.477676,-0.047248,0.600000,0.008537,0.014939,0.600067,0
51.258,2.328692,6.968611,-0.024500,8.429924,12.474542,-0.048085,0.600000,0.010220,0.017883,0.600096,0
51.358,2.388676,6.966849,-0.025051,8.494123,12.473848,-0.045464,0.600000,0.012194,0.021337,0.600137,0
51.458,2.448653,6.965071,-0.025570,8.560346,12.474851,-0.041067,0.600000,0.000531,0.000929,0.600000,0
51.560,2.508625,6.963278,-0.026061,8.620575,12.472146,-0.041680,0.600000,0.002675,0.004680,0.600007,0
51.660,2.568597,6.961469,-0.026523,8.680853,12.469434,-0.042378,0.600000,0.005046,0.008830,0.600023,0
51.760,2.628572,6.959646,-0.026961,8.741094,12.466684,-0.043036,0.600000,0.007566,0.013240,0.600053,0
51.860,2.688550,6.957810,-0.027373,8.794738,12.461399,-0.048127,0.600000,0.017748,0.031049,0.600289,0
51.962,2.748590,6.955959,-0.027763,8.844939,12.454193,-0.055443,0.602225,0.017863,0.031135,0.602517,0
52.062,2.808820,6.954091,-0.028132,8.905325,12.450694,-0.055958,0.602888,0.018311,0.031880,0.603194,0
52.162,2.869148,6.952209,-0.028480,8.964696,12.447222,-0.056517,0.604037,0.018455,0.032070,0.604348,0
52.264,2.929550,6.950314,-0.028809,9.038636,12.442853,-0.057246,0.605828,0.017596,0.030487,0.606110,0
52.364,2.990092,6.948405,-0.029120,9.096787,12.448974,-0.049368,0.605625,0.019290,0.033431,0.605964,0
52.464,3.050611,6.946486,-0.029412,9.171552,12.460137,-0.037663,0.604187,0.018239,0.031686,0.604490,0
52.568,3.111024,6.944563,-0.029688,9.244332,12.457268,-0.038282,0.603729,0.019056,0.033130,0.604060,0
52.668,3.171408,6.942632,-0.029947,9.305036,12.454843,-0.038685,0.604010,0.020117,0.034957,0.604379,0
52.770,3.231807,6.940694,-0.030191,9.365667,12.452396,-0.039124,0.604027,0.018888,0.032823,0.604353,0
52.870,3.292235,6.938746,-0.030422,9.423202,12.453838,-0.033333,0.604188,0.018723,0.032527,0.604508,0
52.970,3.352679,6.936792,-0.030639,9.481578,12.454627,-0.029628,0.605176,0.019364,0.033584,0.605518,0
53.072,3.413221,6.934828,-0.030843,9.542400,12.452768,-0.030021,0.606300,0.020035,0.034683,0.606665,0
53.172,3.473853,6.932855,-0.031036,9.603386,12.450880,-0.030438,0.606694,0.019434,0.033622,0.607037,0
53.272,3.534581,6.930873,-0.031218,9.664418,12.448966,-0.030794,0.607297,0.019464,0.033639,0.607641,0
53.374,3.595358,6.928884,-0.031389,9.713442,12.445099,-0.036029,0.608046,0.021428,0.036986,0.608462,0
53.474,3.656190,6.926889,-0.031550,9.766595,12.441358,-0.039568,0.609632,0.021513,0.037036,0.610050,0
53.574,3.717151,6.924884,-0.031702,9.827778,12.438881,-0.039945,0.609537,0.021360,0.036778,0.609950,0
53.674,3.778162,6.922874,-0.031845,9.889141,12.436374,-0.040287,0.609604,0.021070,0.036275,0.610006,0
53.776,3.839157,6.920860,-0.031979,9.950446,12.433871,-0.040629,0.610783,0.021536,0.037005,0.611202,0
53.876,3.900226,6.918839,-0.032105,10.016134,12.424120,-0.049604,0.609756,0.021551,0.037093,0.610175,0
53.976,3.961292,6.916816,-0.032223,10.079080,12.415944,-0.055718,0.607433,0.021139,0.036524,0.607838,0
54.078,4.022152,6.914798,-0.032328,10.140219,12.412527,-0.055968,0.607086,0.021556,0.037265,0.607508,0
54.178,4.082867,6.912783,-0.032425,10.201162,12.409106,-0.056206,0.606424,0.021626,0.037428,0.606849,0
54.278,4.143526,6.910768,-0.032515,10.263333,12.405598,-0.056501,0.606758,0.022129,0.038275,0.607203,0
54.380,4.204216,6.908749,-0.032599,10.315811,12.406113,-0.054521,0.606925,0.021001,0.036316,0.607326,0
54.480,4.264912,6.906728,-0.032679,10.371115,12.405513,-0.053371,0.606958,0.019765,0.034179,0.607313,0
54.580,4.325612,6.904704,-0.032753,10.432090,12.402248,-0.053599,0.607169,0.021854,0.037775,0.607603,0
54.680,4.386319,6.902678,-0.032822,10.492953,12.398975,-0.053853,0.608159,0.020711,0.035743,0.608548,0
54.782,4.447101,6.900648,-0.032886,10.554017,12.395678,-0.054038,0.607603,0.021923,0.037867,0.608039,0
54.882,4.507901,6.898616,-0.032946,10.628933,12.389464,-0.058696,0.607882,0.020592,0.035554,0.608267,0
54.982,4.568705,6.896583,-0.033003,10.699318,12.383747,-0.061936,0.609386,0.019924,0.034316,0.609745,0
55.086,4.629643,6.894543,-0.033055,10.754343,12.380328,-0.062191,0.609436,0.020522,0.035343,0.609817,0
55.188,4.690623,6.892501,-0.033103,10.833963,12.375356,-0.062577,0.610863,0.022040,0.037866,0.611301,0
55.288,4.751741,6.890453,-0.033149,10.895224,12.371544,-0.062817,0.611450,0.020703,0.035536,0.611836,0
55.388,4.812869,6.888403,-0.033191,10.951178,12.363960,-0.070852,0.610969,0.021514,0.036957,0.611386,0
55.488,4.874009,6.886353,-0.033229,11.011199,12.358579,-0.073131,0.612159,0.021119,0.036209,0.612561,0
55.590,4.935269,6.884297,-0.033265,11.071432,12.354202,-0.073434,0.612903,0.021955,0.037596,0.613336,0
55.690,4.996582,6.882240,-0.033297,11.134208,12.349625,-0.073624,0.615125,0.022599,0.038557,0.615582,0
55.790,5.057922,6.880226,-0.033241,11.195836,12.345167,-0.073741,0.614329,0.022367,0.038211,0.614778,0
55.892,5.119392,6.878266,-0.033082,11.229797,12.347674,-0.067206,0.616836,0.022801,0.038793,0.617301,0
55.992,5.181046,6.876322,-0.032900,11.284800,12.345478,-0.065571,0.616796,0.024014,0.040857,0.617311,0
56.092,5.242747,6.874384,-0.032726,11.346663,12.341552,-0.065613,0.616309,0.023601,0.040187,0.616807,0
56.194,5.304408,6.872453,-0.032561,11.408491,12.337624,-0.065601,0.616114,0.023925,0.040750,0.616625,0
56.294,5.366213,6.870550,-0.032353,11.470343,12.333749,-0.065524,0.616402,0.024723,0.042089,0.616948,0
56.394,5.428268,6.868844,-0.031783,11.501353,12.342830,-0.061527,0.616312,0.027546,0.046895,0.616990,0
56.494,5.490302,6.867373,-0.030838,11.555589,12.342854,-0.059749,0.615926,0.032688,0.055668,0.616882,0
56.596,5.552328,6.866182,-0.029482,11.617566,12.339950,-0.058480,0.617446,0.036392,0.061808,0.618627,0
56.696,5.614211,6.865167,-0.027956,11.679614,12.337175,-0.057107,0.616724,0.036984,0.062884,0.617945,0
56.796,5.675781,6.864283,-0.026374,11.741743,12.334559,-0.055674,0.618413,0.038360,0.064633,0.618916,0
56.898,5.737130,6.863728,-0.024365,11.784514,12.333975,-0.052492,0.617481,0.043768,0.074289,0.619189,0
56.998,5.798320,6.863587,-0.021810,11.841921,12.332686,-0.049567,0.619684,0.050784,0.085838,0.621974,0
57.098,5.859716,6.864031,-0.018442,11.904282,12.331533,-0.046296,0.619399,0.056288,0.095130,0.622213,0
57.200,5.921382,6.864948,-0.014564,11.965439,12.330799,-0.042639,0.619435,0.060526,0.102240,0.622687,0
57.300,5.983332,6.866178,-0.010543,12.029179,12.330318,-0.038753,0.620951,0.062109,0.104640,0.624366,0
57.400,6.045717,6.867670,-0.006494,12.090762,12.323625,-0.045344,0.622629,0.063655,0.106939,0.626206,0
