t_sim,gt_x,gt_y,gt_yaw,cmd_v,cmd_w,steer,traction,refusals
12.556,-2.000000,-7.000000,-0.000000,0.300000,0.000000,nan,nan,0
12.576,-2.000000,-7.000000,-0.000000,0.300000,0.000000,0.000000,0.300000,0
12.596,-2.000000,-7.000000,-0.000000,0.300000,0.000000,0.000000,0.300000,0
12.616,-1.996738,-7.000003,-0.000005,0.300000,0.000000,0.000000,0.300000,0
12.636,-1.996738,-7.000003,-0.000005,0.300000,0.000000,0.000000,0.300000,0
12.656,-1.984849,-7.000013,-0.000026,0.300000,0.000000,0.000000,0.300000,0
12.676,-1.984849,-7.000013,-0.000026,0.300000,0.000000,0.000000,0.300000,0
12.698,-1.984849,-7.000013,-0.000026,0.300000,0.000000,0.000000,0.300000,0
12.720,-1.969849,-7.000027,-0.000053,0.300000,0.000000,0.000000,0.300000,0
12.740,-1.969849,-7.000027,-0.000053,0.300000,0.000000,0.000000,0.300000,0
12.762,-1.954849,-7.000041,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.782,-1.954849,-7.000041,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.802,-1.939849,-7.000055,-0.000104,0.300000,0.000000,0.000000,0.300000,0
12.824,-1.939849,-7.000055,-0.000104,0.300000,0.000000,0.000000,0.300000,0
12.846,-1.939849,-7.000055,-0.000104,0.300000,0.000000,0.000000,0.300000,0
12.866,-1.924849,-7.000070,-0.000129,0.300000,0.000000,0.000000,0.300000,0
12.886,-1.924849,-7.000070,-0.000129,0.300000,0.000000,0.000000,0.300000,0
12.906,-1.924849,-7.000070,-0.000129,0.300000,0.000000,0.000000,0.300000,0
13.246,-1.909849,-7.000084,-0.000154,0.300000,0.000000,0.000000,0.300000,0
13.266,-1.804849,-7.000191,-0.000318,0.300000,0.000000,0.000000,0.300000,0
13.286,-1.804849,-7.000191,-0.000318,0.300000,0.000000,0.000000,0.300000,0
13.306,-1.789849,-7.000207,-0.000341,0.300000,0.000000,0.000000,0.300000,0
13.326,-1.789849,-7.000207,-0.000341,0.300000,0.000000,0.000000,0.300000,0
13.346,-1.789849,-7.000207,-0.000341,0.300000,0.000000,0.000000,0.300000,0
13.366,-1.774849,-7.000223,-0.000362,0.300000,0.000000,0.000000,0.300000,0
13.386,-1.774849,-7.000223,-0.000362,0.300000,0.000000,0.000000,0.300000,0
