t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
41.710,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
41.810,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
41.910,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.010,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.112,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.212,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.312,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.412,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.514,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.614,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.714,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.818,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
42.920,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.020,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.120,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.220,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.322,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.422,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.522,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.624,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.724,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.824,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
43.926,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.026,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.126,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.226,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.328,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.428,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.528,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.630,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.730,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.830,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
44.932,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.032,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.132,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.236,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.336,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.440,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.542,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.644,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.746,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.846,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
45.946,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.048,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.148,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.248,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.348,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.450,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.550,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.650,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.752,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.852,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
46.952,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.054,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.154,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.254,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.354,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.456,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.556,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.656,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.758,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.858,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
47.958,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.060,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.160,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.260,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.360,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.462,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.562,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.662,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.766,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.868,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
48.970,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.072,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.172,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.272,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.374,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.474,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.574,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.674,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.776,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.876,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
49.976,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.078,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.178,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.278,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.380,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.480,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.580,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.682,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.782,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.882,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
50.982,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.086,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.188,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.288,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.388,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.488,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.590,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.690,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.790,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.892,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
51.992,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.092,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.194,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.294,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.394,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.496,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.596,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.696,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.796,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
52.898,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007915,0.000000,0.000000,nan,nan,0
