t,v,w
0.6893620491027832,0.0,0.0
0.7391355037689209,0.0,0.0
0.7890961170196533,0.0,0.0
0.8391072750091553,0.0,0.0
0.8891251087188721,0.0,0.0
0.9390745162963867,0.0,0.0
0.9891037940979004,0.0,0.0
1.0390095710754395,0.0,0.0
1.088986873626709,0.0,0.0
1.139432668685913,0.0,0.0
1.1892094612121582,0.0,0.0
1.2391743659973145,0.0,0.0
1.2889702320098877,0.0,0.0
1.3391244411468506,0.0,0.0
1.3891425132751465,0.0,0.0
1.4393258094787598,0.0,0.0
1.4891242980957031,0.0,0.0
1.5393459796905518,0.0,0.0
1.5894713401794434,0.0,0.0
1.6391570568084717,0.0,0.0
1.6891231536865234,0.0,0.0
1.7391438484191895,0.0,0.0
1.7891600131988525,0.0,0.0
1.839064598083496,0.0,0.0
1.8890962600708008,0.0,0.0
1.9391083717346191,0.0,0.0
1.989184856414795,0.0,0.0
2.039102077484131,0.025,0.0
2.0891520977020264,0.025,0.0
2.139115810394287,0.025,0.0
2.189152717590332,0.025,0.0
2.2390944957733154,0.025,0.0
2.289124011993408,0.025,0.0
2.33909010887146,0.025,0.0
2.3891022205352783,0.025,0.0
2.43915057182312,0.025,0.0
2.488985538482666,0.025,0.0
2.5392041206359863,0.025,0.0
2.5891566276550293,0.025,0.0
2.6391618251800537,0.025,0.0
2.689126491546631,0.025,0.0
2.7390036582946777,0.025,0.0
2.7891666889190674,0.025,0.0
2.8392293453216553,0.025,0.0
2.889178514480591,0.025,0.0
2.939131259918213,0.025,0.0
2.989225387573242,0.025,0.0
3.039186716079712,0.025,0.0
3.0891530513763428,0.025,0.0
3.139132499694824,0.025,0.0
3.1892499923706055,0.025,0.0
3.239095449447632,0.025,0.0
3.2891199588775635,0.025,0.0
3.3391246795654297,0.025,0.0
3.3891336917877197,0.025,0.0
3.439133405685425,0.025,0.0
3.4891457557678223,0.025,0.0
3.539137601852417,0.025,0.0
3.5890746116638184,0.025,0.0
3.639110803604126,0.025,0.0
3.689257860183716,0.025,0.0
3.7391583919525146,0.025,0.0
3.7893171310424805,0.025,0.0
3.8391950130462646,0.025,0.0
3.8891584873199463,0.025,0.0
3.939195394515991,0.025,0.0
