t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
179.690,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008872,0.000000,0.000000,nan,nan,0
179.790,-4.500000,7.000000,-0.000000,1.584531,12.576858,-0.008873,-0.025000,-0.018964,0.672590,-0.031961,0
179.890,-4.498539,7.000003,0.000007,1.580959,12.576628,-0.009138,-0.048425,-0.023429,0.470040,-0.054316,0
179.990,-4.495024,7.000014,0.000027,1.575064,12.575692,-0.009776,-0.068713,-0.026448,0.384075,-0.074112,0
180.090,-4.500847,6.998901,-0.002211,1.567725,12.574344,-0.012784,-0.080355,-0.045620,0.537556,-0.093549,0
180.190,-4.507589,6.997776,-0.004507,1.560873,12.572857,-0.015118,-0.054009,-0.027993,0.498397,-0.061489,0
180.290,-4.512434,6.996642,-0.006829,1.555940,12.571706,-0.017770,-0.030328,-0.025501,0.723272,-0.040457,0
180.390,-4.515592,6.996196,-0.007768,1.552650,12.570764,-0.018609,-0.014310,-0.016404,0.851040,0.000000,0
180.490,-4.514074,6.996190,-0.007757,1.552281,12.570638,-0.018842,0.007036,-0.004961,0.851040,0.000000,0
180.590,-4.512576,6.996242,-0.007629,1.553054,12.570965,-0.018883,0.026046,-0.003460,-0.138581,0.026299,0
180.690,-4.516192,6.996183,-0.007803,1.555569,12.571768,-0.019073,0.042549,-0.005060,-0.124212,0.042880,0
180.790,-4.521203,6.996057,-0.008133,1.559886,12.572614,-0.019288,0.058311,-0.005265,-0.094517,0.058573,0
180.890,-4.525054,6.995957,-0.008396,1.566111,12.573181,-0.019428,0.078831,-0.004348,-0.057847,0.078963,0
180.990,-4.526956,6.995957,-0.008428,1.574510,12.573163,-0.019659,0.099659,-0.004887,-0.051443,0.099791,0
181.090,-4.518897,6.995758,-0.008689,1.585124,12.572776,-0.020176,0.121851,-0.006073,-0.052284,0.122018,0
181.190,-4.506743,6.995436,-0.009115,1.597911,12.572300,-0.020837,0.143537,-0.007177,-0.052455,0.143735,0
181.290,-4.492410,6.995047,-0.009624,1.612761,12.571734,-0.021578,0.163698,-0.008937,-0.057258,0.163967,0
181.390,-4.475987,6.994588,-0.010215,1.629826,12.571062,-0.022480,0.186732,-0.011195,-0.062867,0.187102,0
181.490,-4.457286,6.994047,-0.010901,1.649240,12.570278,-0.023393,0.208330,-0.011325,-0.057015,0.208669,0
181.590,-4.436385,6.993424,-0.011675,1.670728,12.569382,-0.024465,0.231361,-0.012618,-0.057204,0.231740,0
181.690,-4.413195,6.992712,-0.012536,1.694564,12.568369,-0.025526,0.253148,-0.013191,-0.054659,0.253526,0
