t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
178.324,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007511,0.000000,0.000000,nan,nan,0
178.424,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.007511,-0.025000,-0.019706,0.691388,-0.032452,0
178.524,-4.498443,7.000005,0.000010,1.581646,12.576700,-0.007344,-0.055721,-0.021403,0.383356,-0.060082,0
178.624,-4.497218,6.999840,-0.000320,1.576113,12.575948,-0.007494,-0.071305,-0.026489,0.371909,-0.076538,0
178.724,-4.504018,6.998752,-0.002516,1.568776,12.574785,-0.009506,-0.083519,-0.043935,0.504646,-0.095413,0
178.824,-4.509384,6.997841,-0.004372,1.561337,12.573361,-0.011226,-0.050943,-0.018521,0.364677,-0.054529,0
178.924,-4.514161,6.996845,-0.006415,1.556632,12.572407,-0.013098,-0.023168,-0.019596,0.726214,-0.030986,0
179.024,-4.516752,6.996602,-0.006936,1.554011,12.571802,-0.013558,-0.004351,-0.004829,0.726214,0.000000,0
179.124,-4.515333,6.996609,-0.006902,1.554003,12.571801,-0.013367,0.023434,-0.000098,-0.004372,0.023434,0
179.224,-4.516955,6.996630,-0.006882,1.555681,12.572305,-0.013007,0.034963,0.001725,0.051754,0.035009,0
179.324,-4.522187,6.996653,-0.006908,1.559191,12.572994,-0.012640,0.053654,0.000365,0.007139,0.053655,0
179.424,-4.526379,6.996673,-0.006928,1.564562,12.573500,-0.012280,0.073614,-0.000429,-0.006114,0.073615,0
179.524,-4.525558,6.996684,-0.006894,1.570686,12.573579,-0.012004,0.041015,-0.009997,-0.250555,0.042337,0
179.624,-4.524222,6.996889,-0.006466,1.574541,12.573298,-0.011431,0.016945,-0.006690,-0.294456,0.000000,0
179.724,-4.524584,6.996928,-0.006391,1.575154,12.573228,-0.011151,-0.009283,-0.008518,-0.294456,0.000000,0
179.824,-4.524441,6.996796,-0.006654,1.574329,12.573306,-0.011065,-0.027823,-0.011925,0.422869,-0.030510,0
179.924,-4.521636,6.996561,-0.007084,1.571079,12.573392,-0.011264,-0.052200,-0.016648,0.323145,-0.055049,0
180.024,-4.518986,6.996487,-0.007195,1.565496,12.573044,-0.011183,-0.075126,-0.015317,0.210895,-0.076828,0
180.124,-4.526542,6.995783,-0.008722,1.557831,12.572350,-0.012473,-0.094930,-0.033592,0.355750,-0.101271,0
180.224,-4.534618,6.994968,-0.010506,1.547906,12.571223,-0.014105,-0.106847,-0.038348,0.360394,-0.114182,0
180.324,-4.544194,6.993692,-0.013283,1.538060,12.569938,-0.016633,-0.078678,-0.023899,0.308744,-0.082583,0
180.424,-4.551733,6.992703,-0.015478,1.530414,12.568946,-0.018636,-0.053733,-0.020077,0.373878,-0.057720,0
180.524,-4.557271,6.991981,-0.017101,1.524815,12.568212,-0.020074,-0.037154,-0.014418,0.386919,-0.040120,0
180.624,-4.560750,6.991510,-0.018166,1.521023,12.567704,-0.020908,-0.017783,-0.007718,0.381952,0.000000,0
180.724,-4.561282,6.991448,-0.018308,1.520528,12.567639,-0.020874,0.011411,0.000422,0.381952,0.000000,0
180.824,-4.561499,6.991451,-0.018310,1.521099,12.567705,-0.020717,0.026427,0.002169,0.085951,0.026525,0
180.924,-4.563036,6.991477,-0.018315,1.523943,12.567917,-0.020372,0.048818,0.003306,0.070982,0.048941,0
181.024,-4.558622,6.991691,-0.017729,1.528914,12.568154,-0.019537,0.067608,0.007848,0.121293,0.068109,0
181.124,-4.551517,6.992037,-0.016793,1.535942,12.568491,-0.018347,0.088963,0.011174,0.131124,0.089733,0
181.224,-4.542265,6.992492,-0.015583,1.544991,12.568930,-0.016804,0.111809,0.013503,0.126134,0.112704,0
181.324,-4.530843,6.993062,-0.014104,1.556370,12.569492,-0.015116,0.133241,0.016475,0.129109,0.134359,0
181.424,-4.517261,6.993751,-0.012366,1.569817,12.570170,-0.013201,0.154772,0.018411,0.124259,0.155975,0
181.524,-4.501534,6.994563,-0.010384,1.585412,12.570972,-0.010991,0.174812,0.021098,0.126050,0.176210,0
181.624,-4.485181,6.995420,-0.008364,1.601952,12.571844,-0.008730,0.143427,0.016043,0.116909,0.144412,0
181.724,-4.471314,6.996156,-0.006684,1.615957,12.572593,-0.006794,0.119419,0.015045,0.131519,0.120459,0
181.824,-4.459428,6.996799,-0.005256,1.628007,12.573255,-0.005094,0.101020,0.014585,0.150455,0.102174,0
181.924,-4.448238,6.997403,-0.003947,1.639394,12.573879,-0.003548,0.135284,0.011050,0.085555,0.135780,0
182.024,-4.434343,6.998133,-0.002398,1.653225,12.574621,-0.001782,0.158026,0.012395,0.082170,0.158561,0
182.124,-4.418413,6.998981,-0.000654,1.669075,12.575486,0.000163,0.178002,0.013861,0.081579,0.178596,0
182.224,-4.400434,6.999952,0.001278,1.686950,12.576480,0.002324,0.199517,0.015768,0.082793,0.200202,0
182.324,-4.380307,7.001058,0.003397,1.706849,12.577608,0.004661,0.219604,0.017002,0.081116,0.220328,0
182.424,-4.358010,7.002306,0.005691,1.729135,12.578901,0.007178,0.242579,0.018736,0.080923,0.243375,0
182.524,-4.333507,7.003704,0.008149,1.753572,12.580349,0.009793,0.264119,0.019386,0.076916,0.264903,0
182.624,-4.306909,7.005254,0.010746,1.780092,12.581958,0.012717,0.285688,0.025207,0.092379,0.286911,0
182.724,-4.278071,7.006976,0.013486,1.808824,12.583747,0.015656,0.308691,0.024205,0.082147,0.309735,0
