t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
179.826,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008064,0.000000,0.000000,nan,nan,0
179.926,-4.499713,7.000001,0.000003,1.583051,12.576806,-0.008147,-0.035695,-0.021073,0.554917,-0.041997,0
180.026,-4.496410,7.000006,0.000013,1.578578,12.576318,-0.008494,-0.060362,-0.026212,0.473414,-0.056472,0
180.126,-4.496873,6.999615,-0.000771,1.572412,12.575202,-0.010069,-0.071008,-0.035971,0.409429,-0.069311,0
180.226,-4.502649,6.998555,-0.002914,1.566490,12.574020,-0.012253,-0.039083,-0.025241,0.595896,-0.047222,0
180.326,-4.505617,6.998176,-0.003689,1.562753,12.573092,-0.013610,-0.015067,-0.014496,0.562980,-0.037318,0
180.426,-4.506878,6.997844,-0.004364,1.562223,12.572959,-0.014292,0.009740,-0.012208,0.562980,0.000000,0
180.526,-4.507008,6.997843,-0.004366,1.562998,12.573134,-0.014460,0.027570,-0.004288,-0.161868,0.027935,0
180.626,-4.510526,6.997854,-0.004376,1.565764,12.573549,-0.014594,0.048986,-0.004068,-0.086974,0.049172,0
180.726,-4.515649,6.997864,-0.004401,1.570824,12.573810,-0.014828,0.068721,-0.005636,-0.085900,0.068975,0
180.826,-4.516087,6.997827,-0.004479,1.577929,12.573615,-0.015232,0.089579,-0.005957,-0.069717,0.089797,0
180.926,-4.507220,6.997574,-0.004900,1.587077,12.573261,-0.015955,0.061088,-0.019819,-0.328320,0.064535,0
181.026,-4.498475,6.997563,-0.004836,1.593944,12.572691,-0.016415,0.053540,-0.016864,-0.319400,0.056392,0
181.126,-4.493323,6.997315,-0.005280,1.599014,12.572000,-0.016944,0.032503,-0.018863,-0.547277,0.038062,0
181.226,-4.491311,6.998047,-0.003796,1.602299,12.571281,-0.015834,0.012954,-0.004981,-0.611078,0.000000,0
181.326,-4.491779,6.998615,-0.002662,1.602565,12.571205,-0.015438,-0.015032,-0.009215,-0.611078,0.000000,0
181.426,-4.491736,6.998538,-0.002817,1.601697,12.571431,-0.016011,-0.028839,-0.022226,0.680344,-0.037098,0
181.526,-4.489648,6.997534,-0.004807,1.597795,12.572153,-0.017779,-0.058821,-0.034075,0.546465,-0.068848,0
181.626,-4.486571,6.997181,-0.005481,1.590864,12.572742,-0.018416,-0.085262,-0.024420,0.292127,-0.089034,0
181.726,-4.485423,6.997153,-0.005524,1.581941,12.572668,-0.018760,-0.109442,-0.024609,0.231852,-0.112451,0
181.826,-4.490079,6.996691,-0.006505,1.570824,12.571746,-0.020413,-0.120529,-0.036792,0.310168,-0.126569,0
181.926,-4.500746,6.995578,-0.008893,1.558437,12.570367,-0.023048,-0.095817,-0.026987,0.360354,-0.131229,0
182.026,-4.510455,6.994186,-0.011878,1.546760,12.568796,-0.026454,-0.090902,-0.032621,0.360346,-0.097140,0
182.126,-4.520965,6.992535,-0.015465,1.536876,12.567363,-0.030046,-0.086910,-0.035503,0.405187,-0.094568,0
182.226,-4.529808,6.991209,-0.018418,1.528581,12.566108,-0.032990,-0.063206,-0.030518,0.469207,-0.070864,0
182.326,-4.535928,6.990300,-0.020473,1.522232,12.564990,-0.035344,-0.041999,-0.022918,0.520312,-0.048404,0
182.426,-4.539120,6.989751,-0.021704,1.517927,12.564116,-0.036818,-0.022412,-0.015085,0.615243,-0.027444,0
182.526,-4.539730,6.989665,-0.021903,1.515960,12.563638,-0.037271,-0.002120,-0.005273,0.615243,0.000000,0
182.626,-4.539687,6.989668,-0.021895,1.515953,12.563638,-0.037532,0.023474,-0.002944,-0.130951,0.023677,0
182.726,-4.540909,6.989693,-0.021899,1.517945,12.564046,-0.037614,0.038407,-0.002855,-0.077883,0.038524,0
182.826,-4.545757,6.989795,-0.021908,1.521862,12.564446,-0.037772,0.058346,-0.003263,-0.058653,0.058446,0
