t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
177.260,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008861,0.000000,0.000000,nan,nan,0
177.360,-4.499581,7.000002,0.000003,1.583866,12.576843,-0.008901,-0.035578,-0.019995,0.672753,-0.031965,0
177.460,-4.496291,7.000006,0.000013,1.579755,12.576497,-0.009234,-0.064024,-0.026641,0.463147,-0.056049,0
177.560,-4.498617,6.999415,-0.001174,1.573718,12.575494,-0.010411,-0.074001,-0.036660,0.406712,-0.071451,0
177.660,-4.504330,6.998437,-0.003154,1.566830,12.574221,-0.012911,-0.042429,-0.024637,0.504457,-0.046742,0
177.760,-4.507273,6.997899,-0.004253,1.562628,12.573317,-0.014223,-0.017323,-0.015676,0.535741,-0.040636,0
177.860,-4.508400,6.997631,-0.004799,1.561181,12.572989,-0.015255,0.007926,-0.010811,0.535741,0.000000,0
177.960,-4.508695,6.997630,-0.004802,1.561450,12.573045,-0.015525,0.027628,-0.005230,-0.296855,0.021343,0
178.060,-4.512690,6.997645,-0.004812,1.564170,12.573443,-0.015711,0.050810,-0.004822,-0.146065,0.036481,0
178.160,-4.517526,6.997657,-0.004834,1.568841,12.573652,-0.015905,0.070490,-0.004096,-0.091995,0.057853,0
178.260,-4.513709,6.997549,-0.005012,1.575539,12.573465,-0.016238,0.091062,-0.005505,-0.050216,0.078732,0
178.360,-4.505025,6.997452,-0.005118,1.583589,12.573156,-0.016625,0.055443,-0.014568,-0.335734,0.051665,0
178.460,-4.499285,6.997335,-0.005291,1.588916,12.572655,-0.016922,0.028857,-0.015889,-0.294974,0.048151,0
178.560,-4.496859,6.997832,-0.004272,1.592581,12.572145,-0.016767,0.012850,-0.010003,-0.620598,0.032718,0
178.660,-4.497489,6.999233,-0.001472,1.594246,12.571778,-0.014600,-0.007469,0.004386,-0.620598,0.000000,0
178.760,-4.497994,6.999377,-0.001186,1.594248,12.571778,-0.014390,-0.025011,-0.015347,-0.620598,0.000000,0
178.860,-4.496947,6.998580,-0.002776,1.592295,12.572272,-0.015535,-0.042600,-0.029200,0.623806,-0.035450,0
178.960,-4.493557,6.997928,-0.004055,1.587687,12.573001,-0.016853,-0.070286,-0.029138,0.546575,-0.065040,0
179.060,-4.491325,6.997809,-0.004275,1.580280,12.573467,-0.017196,-0.098150,-0.018209,0.288130,-0.085355,0
179.160,-4.492602,6.997687,-0.004530,1.570841,12.573189,-0.017565,-0.118348,-0.025466,0.182293,-0.106674,0
179.260,-4.503808,6.996786,-0.006454,1.559330,12.572329,-0.019635,-0.125391,-0.044566,0.292453,-0.125176,0
179.360,-4.513363,6.995669,-0.008832,1.547109,12.570935,-0.022201,-0.095690,-0.022308,0.252311,-0.098541,0
179.460,-4.522497,6.994378,-0.011597,1.537682,12.569727,-0.025202,-0.069557,-0.025348,0.285055,-0.089802,0
179.560,-4.529795,6.993358,-0.013822,1.530157,12.568756,-0.027674,-0.051617,-0.019440,0.367240,-0.067921,0
179.660,-4.535011,6.992631,-0.015429,1.524527,12.568024,-0.029619,-0.032398,-0.014013,0.379777,-0.047486,0
179.760,-4.537743,6.992371,-0.016034,1.520919,12.567509,-0.030734,-0.011553,-0.006369,0.440533,-0.027515,0
179.860,-4.537980,6.992336,-0.016112,1.519876,12.567343,-0.031208,0.013196,0.000437,0.440533,0.000000,0
179.960,-4.538216,6.992340,-0.016111,1.520279,12.567404,-0.031419,0.029188,0.003290,0.099694,0.022001,0
180.060,-4.538548,6.992434,-0.015934,1.522836,12.567657,-0.031517,0.050010,0.005392,0.132242,0.036793,0
180.160,-4.533785,6.992888,-0.014880,1.527522,12.568036,-0.030664,0.071237,0.013321,0.141222,0.058276,0
180.260,-4.526690,6.993575,-0.013306,1.534249,12.568586,-0.029413,0.092299,0.016612,0.184481,0.080236,0
180.360,-4.517508,6.994475,-0.011281,1.543086,12.569314,-0.027649,0.113363,0.020626,0.200143,0.101946,0
180.460,-4.506314,6.995583,-0.008839,1.554030,12.570226,-0.025485,0.134565,0.022227,0.176286,0.121480,0
180.560,-4.493062,6.996910,-0.005988,1.566910,12.571308,-0.022909,0.152812,0.024935,0.176711,0.142853,0
180.660,-4.477836,6.998455,-0.002765,1.581905,12.572584,-0.019978,0.173892,0.024822,0.158956,0.163839,0
180.760,-4.460668,7.000220,0.000801,1.598779,12.574037,-0.016776,0.193623,0.023721,0.133705,0.183109,0
180.860,-4.441569,7.002205,0.004667,1.617659,12.575679,-0.013200,0.213426,0.020188,0.110663,0.203891,0
180.960,-4.420966,7.004334,0.008651,1.638556,12.577484,-0.009423,0.227463,0.012610,0.071442,0.221652,0
181.060,-4.399700,7.006343,0.012224,1.660770,12.579216,-0.006058,0.226763,0.008873,0.053491,0.225089,0
181.160,-4.377773,7.008295,0.015520,1.683238,12.580834,-0.002991,0.225637,0.006210,0.037144,0.225602,0
181.260,-4.355908,7.010147,0.018480,1.705694,12.582350,-0.000175,0.225596,0.003587,0.021838,0.225553,0
181.360,-4.333897,7.011919,0.021151,1.728130,12.583763,0.002303,0.226026,0.000185,0.012370,0.225797,0
181.460,-4.311638,7.013604,0.023526,1.750667,12.585071,0.004461,0.250416,0.019904,-0.005188,0.226171,0
181.560,-4.287145,7.015419,0.025935,1.774918,12.586411,0.006672,0.267134,0.020700,0.084107,0.252999,0
181.660,-4.260426,7.017440,0.028511,1.801263,12.587908,0.009001,0.288782,0.021396,0.079916,0.277233,0
181.760,-4.231532,7.019663,0.031229,1.829937,12.589565,0.011479,0.311783,0.022168,0.077004,0.298804,0
181.860,-4.200415,7.022102,0.034074,1.860699,12.591387,0.014104,0.333360,0.023883,0.075399,0.321942,0
181.960,-4.167033,7.024769,0.037033,1.893980,12.593398,0.016837,0.358020,0.024210,0.074276,0.343554,0
182.060,-4.131308,7.027679,0.040097,1.929351,12.595585,0.019697,0.379635,0.024886,0.071283,0.366784,0
182.160,-4.093447,7.030826,0.043232,1.967058,12.597967,0.022596,0.402790,0.024843,0.066539,0.389760,0
182.260,-4.053235,7.034237,0.046433,2.007040,12.600554,0.025554,0.425945,0.023554,0.062766,0.412868,0
182.360,-4.010775,7.037903,0.049678,2.049358,12.603344,0.028519,0.449132,0.022681,0.055460,0.435899,0
182.460,-3.966043,7.041833,0.052942,2.093954,12.606345,0.031583,0.472326,0.021630,0.052533,0.457615,0
182.560,-3.919079,7.046029,0.056200,2.140771,12.609550,0.034571,0.494106,0.019382,0.044314,0.480652,0
182.660,-3.869867,7.050496,0.059433,2.189917,12.612975,0.037601,0.517215,0.015495,0.037760,0.503744,0
182.760,-3.818412,7.055235,0.062619,2.240257,12.616891,0.040632,0.540531,0.010137,0.026066,0.525342,0
182.860,-3.764719,7.060241,0.065725,2.292264,12.621161,0.043647,0.559210,0.004361,0.013111,0.548333,0
182.960,-3.709114,7.065491,0.068731,2.347950,12.625216,0.046465,0.571680,0.003666,0.008202,0.564620,0
183.060,-3.652269,7.070939,0.071629,2.404933,12.629439,0.049159,0.580651,0.002108,0.006841,0.575412,0
183.160,-3.594537,7.076563,0.074402,2.462907,12.633806,0.051696,0.587752,0.001545,0.004224,0.583540,0
183.260,-3.536087,7.082334,0.077068,2.521687,12.638304,0.054162,0.593075,0.000754,0.002617,0.589779,0
183.360,-3.477132,7.088236,0.079610,2.580958,12.642910,0.056525,0.596327,-0.001056,0.000869,0.594113,0
183.460,-3.417848,7.094248,0.082025,2.646878,12.645592,0.056109,0.598552,-0.002793,-0.003492,0.597423,0
183.560,-3.358321,7.100359,0.084316,2.716375,12.646987,0.054371,0.600852,-0.002838,-0.005382,0.599631,0
183.660,-3.298560,7.106564,0.086487,2.776598,12.651460,0.056360,0.603339,-0.003968,-0.005380,0.602179,0
183.760,-3.238599,7.112857,0.088544,2.836951,12.656005,0.058291,0.604688,-0.005472,-0.008269,0.603462,0
183.860,-3.178471,7.119231,0.090491,2.897540,12.660628,0.060091,0.605966,-0.006774,-0.008369,0.605907,0
183.960,-3.118199,7.125680,0.092333,2.957688,12.667862,0.063596,0.607287,-0.007087,-0.011905,0.607289,0
184.060,-3.057835,7.132197,0.094074,3.017734,12.676721,0.068045,0.608659,-0.008847,-0.012297,0.607421,0
184.160,-2.997358,7.138779,0.095720,3.078730,12.681800,0.069479,0.609983,-0.009238,-0.016557,0.608768,0
184.260,-2.936752,7.145427,0.097275,3.139731,12.686917,0.071004,0.610143,-0.008578,-0.014571,0.610098,0
184.360,-2.876081,7.152132,0.098739,3.200851,12.692088,0.072325,0.611379,-0.010155,-0.015831,0.611358,0
184.460,-2.815323,7.158893,0.100124,3.258307,12.705110,0.078702,0.612674,-0.011608,-0.018369,0.611506,0
184.560,-2.754452,7.165707,0.101435,3.313808,12.722852,0.087564,0.611300,-0.013114,-0.021280,0.613007,0
184.660,-2.693635,7.172555,0.102671,3.375035,12.728932,0.088564,0.611482,-0.014139,-0.022815,0.612670,0
184.760,-2.632844,7.179440,0.103835,3.436204,12.735029,0.089523,0.611657,-0.014820,-0.024918,0.611858,0
184.860,-2.572093,7.186355,0.104933,3.497428,12.741151,0.090497,0.611852,-0.014681,-0.025796,0.610859,0
184.960,-2.511308,7.193309,0.105968,3.553778,12.747483,0.090409,0.611971,-0.015826,-0.025747,0.612146,0
185.060,-2.450494,7.200299,0.106944,3.607786,12.753786,0.089756,0.612038,-0.017336,-0.027448,0.612257,0
185.160,-2.389671,7.207319,0.107865,3.668966,12.759821,0.090461,0.612190,-0.016870,-0.029471,0.612392,0
185.260,-2.328837,7.214370,0.108733,3.730200,12.765882,0.090998,0.612259,-0.019233,-0.030408,0.612531,0
185.360,-2.267992,7.221448,0.109551,3.791499,12.771945,0.091625,0.613596,-0.017642,-0.032796,0.612664,0
185.460,-2.207042,7.228564,0.110323,3.844184,12.779053,0.096610,0.613726,-0.018580,-0.029830,0.613944,0
185.560,-2.146052,7.235710,0.111051,3.892592,12.787348,0.103723,0.614652,-0.018977,-0.032912,0.614298,0
185.660,-2.085020,7.242884,0.111735,3.954000,12.794159,0.104224,0.614929,-0.018336,-0.031623,0.613916,0
185.760,-2.023940,7.250083,0.112383,4.015410,12.800962,0.104748,0.615089,-0.018472,-0.031671,0.615251,0
185.860,-1.962830,7.257305,0.112993,4.076817,12.807791,0.105132,0.615181,-0.020603,-0.033420,0.615412,0
185.960,-1.901666,7.264553,0.113569,4.135479,12.807078,0.099601,0.615245,-0.020085,-0.035034,0.616843,0
186.060,-1.840518,7.271817,0.114111,4.192876,12.801709,0.091140,0.616247,-0.021394,-0.033885,0.615421,0
186.160,-1.779303,7.279105,0.114621,4.254560,12.807673,0.091429,0.616387,-0.022075,-0.037907,0.616767,0
186.260,-1.718055,7.286413,0.115101,4.316247,12.813611,0.091671,0.616532,-0.021967,-0.037137,0.616904,0
186.360,-1.656795,7.293737,0.115554,4.377933,12.819563,0.091928,0.616650,-0.022362,-0.037258,0.617040,0
186.460,-1.595527,7.301076,0.115979,4.441797,12.825929,0.091658,0.616762,-0.022528,-0.037884,0.617166,0
186.560,-1.534366,7.308382,0.116316,4.506940,12.832393,0.091048,0.618154,-0.023929,-0.039634,0.617298,0
186.660,-1.473025,7.315641,0.116487,4.568649,12.838165,0.090977,0.616906,-0.023819,-0.040260,0.618579,0
186.760,-1.411650,7.322898,0.116628,4.630538,12.843946,0.090910,0.618226,-0.024855,-0.041272,0.618713,0
186.860,-1.350200,7.330168,0.116758,4.692432,12.849681,0.090816,0.618346,-0.024425,-0.042294,0.618848,0
186.960,-1.288689,7.337448,0.116880,4.745808,12.850503,0.088104,0.619629,-0.025646,-0.041552,0.620269,0
187.060,-1.226670,7.344684,0.116792,4.794937,12.848380,0.083888,0.620843,-0.027725,-0.044813,0.619025,0
187.160,-1.164691,7.351641,0.116212,4.857081,12.853353,0.083146,0.620867,-0.031371,-0.050068,0.620417,0
187.260,-1.102673,7.358394,0.115317,4.919303,12.858120,0.082095,0.620949,-0.034975,-0.055285,0.620602,0
187.360,-1.040785,7.364996,0.114255,4.981593,12.862716,0.080785,0.620970,-0.037457,-0.061749,0.622063,0
187.460,-0.979041,7.371494,0.113154,5.038966,12.871984,0.082651,0.622335,-0.037099,-0.062709,0.623486,0
187.560,-0.917451,7.377741,0.111741,5.093946,12.883908,0.085842,0.623892,-0.040219,-0.063108,0.623812,0
187.660,-0.855966,7.383597,0.109777,5.156483,12.888277,0.083755,0.623841,-0.046306,-0.070468,0.624074,0
187.760,-0.794536,7.388838,0.106901,5.219214,12.892078,0.080787,0.624787,-0.054328,-0.081885,0.627083,0
187.860,-0.732742,7.393530,0.103258,5.282062,12.895261,0.076992,0.625503,-0.062866,-0.095993,0.627488,0
187.960,-0.670775,7.397644,0.098925,5.337254,12.911784,0.081374,0.626506,-0.069430,-0.108811,0.629114,0
188.060,-0.608285,7.401217,0.094064,5.388048,12.936066,0.089589,0.626625,-0.074010,-0.120245,0.631146,0
188.160,-0.544569,7.404253,0.088574,5.451361,12.938905,0.084039,0.628702,-0.079519,-0.126003,0.633995,0
188.260,-0.480364,7.406441,0.082077,5.514701,12.940893,0.077525,0.628949,-0.089597,-0.138564,0.635748,0
188.360,-0.416042,7.407694,0.074530,5.578347,12.941972,0.069934,0.630431,-0.100880,-0.155280,0.637334,0
188.460,-0.351614,7.407980,0.066144,5.643789,12.947151,0.065209,0.630808,-0.109605,-0.172480,0.640824,0
188.560,-0.287302,7.407410,0.057100,5.710196,12.954563,0.061786,0.631745,-0.115041,-0.184442,0.642976,0
188.660,-0.223334,7.406112,0.047786,5.774179,12.953587,0.052348,0.628839,-0.117729,-0.192684,0.641198,0
188.760,-0.160944,7.403989,0.038162,5.837917,12.951806,0.042513,0.622990,-0.121409,-0.197705,0.637447,0
188.860,-0.099416,7.400834,0.027779,5.900388,12.940348,0.026484,0.614399,-0.128300,-0.207742,0.632349,0
188.960,-0.038673,7.396694,0.016772,5.961517,12.922657,0.006989,0.607952,-0.135165,-0.221500,0.627363,0
189.060,0.021551,7.391528,0.005104,6.023074,12.916852,-0.004883,0.596923,-0.142188,-0.236878,0.619493,0
189.160,0.080856,7.385473,-0.006917,6.083543,12.910149,-0.017027,0.584182,-0.144317,-0.249233,0.610341,0
189.260,0.140061,7.378648,-0.019042,6.142817,12.900320,-0.030565,0.571721,-0.147232,-0.258481,0.599856,0
189.360,0.199001,7.370878,-0.031623,6.200429,12.888185,-0.045179,0.556232,-0.149300,-0.267131,0.585936,0
189.460,0.255661,7.362082,-0.044889,6.256707,12.878581,-0.058617,0.542232,-0.149461,-0.274819,0.572183,0
189.560,0.310901,7.352340,-0.058651,6.311236,12.868277,-0.072509,0.526073,-0.150822,-0.283184,0.558072,0
189.660,0.364362,7.341897,-0.072506,6.360213,12.856575,-0.088276,0.511273,-0.149004,-0.292500,0.544049,0
189.760,0.416287,7.330920,-0.086178,6.405956,12.843678,-0.104629,0.533727,-0.162790,-0.308878,0.564838,0
189.860,0.470229,7.318765,-0.100348,6.459331,12.830434,-0.119097,0.546922,-0.168369,-0.310833,0.565431,0
189.960,0.524260,7.305539,-0.114793,6.513209,12.816167,-0.133777,0.550412,-0.170309,-0.313818,0.573672,0
190.060,0.577415,7.291390,-0.129587,6.567371,12.800825,-0.148757,0.533483,-0.152393,-0.316388,0.581158,0
190.160,0.629468,7.276588,-0.144317,6.610221,12.789601,-0.163543,0.522695,-0.150806,-0.293723,0.555518,0
190.260,0.680289,7.261727,-0.157999,6.646603,12.780782,-0.177309,0.506780,-0.141863,-0.292786,0.535903,0
190.360,0.729351,7.246932,-0.170732,6.695992,12.764975,-0.190414,0.489158,-0.129745,-0.279838,0.520231,0
190.460,0.776805,7.232331,-0.182593,6.743779,12.749319,-0.202579,0.474114,-0.120847,-0.266014,0.502747,0
190.560,0.822611,7.217986,-0.193651,6.789789,12.733900,-0.213984,0.457447,-0.113184,-0.259263,0.483360,0
190.660,0.866693,7.203888,-0.203888,6.841143,12.719857,-0.221332,0.440482,-0.105179,-0.249797,0.464823,0
190.760,0.909055,7.190062,-0.213398,6.894221,12.707025,-0.226129,0.423260,-0.095894,-0.239471,0.446049,0
190.860,0.949621,7.176564,-0.222230,6.935061,12.692872,-0.235305,0.404490,-0.089452,-0.231089,0.427370,0
190.960,0.988357,7.163426,-0.230455,6.974078,12.679103,-0.243776,0.386741,-0.083045,-0.224059,0.407385,0
191.060,1.025340,7.150655,-0.238132,7.011285,12.665715,-0.251771,0.369115,-0.077655,-0.220372,0.388843,0
191.160,1.060519,7.138293,-0.245299,7.065307,12.657927,-0.254415,0.349778,-0.073912,-0.216284,0.370230,0
191.260,1.094127,7.126305,-0.251999,7.126784,12.653539,-0.254202,0.331796,-0.074476,-0.223990,0.352527,0
191.360,1.126281,7.114666,-0.258301,7.158668,12.641708,-0.260746,0.313174,-0.072728,-0.231395,0.334488,0
191.460,1.156489,7.103372,-0.264509,7.188784,12.630160,-0.267304,0.295820,-0.075257,-0.247678,0.316499,0
191.560,1.185411,7.092405,-0.270382,7.217022,12.618851,-0.273477,0.278126,-0.077677,-0.267881,0.298724,0
191.660,1.212622,7.081691,-0.276321,7.243432,12.607720,-0.279875,0.259931,-0.087354,-0.313064,0.283784,0
191.760,1.238462,7.070943,-0.282569,7.270023,12.594346,-0.289129,0.242977,-0.049065,-0.329128,0.272868,0
191.860,1.260255,7.060686,-0.289882,7.295123,12.580396,-0.301294,0.221299,-0.052555,-0.221270,0.240593,0
191.960,1.280106,7.051246,-0.296377,7.315301,12.570559,-0.308131,0.206460,-0.044358,-0.231014,0.222078,0
192.060,1.298510,7.042362,-0.302180,7.334023,12.561352,-0.314332,0.196151,-0.038526,-0.211534,0.207401,0
192.160,1.315922,7.033898,-0.307568,7.351667,12.552620,-0.319999,0.169672,-0.032843,-0.193165,0.196415,0
192.260,1.331130,7.026459,-0.312195,7.367404,12.544763,-0.324944,0.150610,-0.026177,-0.193835,0.166969,0
192.360,1.344332,7.019973,-0.316146,7.380950,12.537955,-0.329258,0.125776,-0.019074,-0.177165,0.141288,0
192.460,1.355406,7.014541,-0.319438,7.392461,12.532159,-0.332929,0.102914,-0.012389,-0.148866,0.116947,0
192.560,1.364731,7.010002,-0.322172,7.389767,12.525348,-0.340332,0.080660,-0.006064,-0.105598,0.093449,0
192.660,1.373548,7.005819,-0.324502,7.378898,12.518462,-0.349485,0.060746,-0.001641,-0.064136,0.072641,0
192.760,1.381411,7.002327,-0.326093,7.384629,12.515741,-0.351387,0.084893,0.004528,-0.011447,0.053979,0
192.860,1.388486,6.999109,-0.327646,7.391082,12.512968,-0.353054,0.075080,0.006037,0.090171,0.073042,0
192.960,1.396495,6.996129,-0.328130,7.398128,12.510182,-0.353863,0.075760,0.015274,0.114485,0.076030,0
193.060,1.406358,6.992583,-0.328487,7.405043,12.507696,-0.354544,0.047236,0.016319,0.336073,0.052993,0
193.160,1.417874,6.989873,-0.326338,7.409872,12.506420,-0.353129,0.024733,0.037560,0.542077,0.045788,0
193.260,1.430788,6.987980,-0.321960,7.414275,12.505721,-0.349590,0.018662,0.056369,1.146870,0.053720,0
193.360,1.441856,6.986431,-0.318149,7.416968,12.505527,-0.346004,0.001593,0.057399,1.146870,0.000000,0
193.460,1.450290,6.985350,-0.315128,7.416969,12.505530,-0.343697,-0.019450,0.048691,1.146870,0.000000,1
193.560,1.456381,6.984902,-0.312381,7.416970,12.505533,-0.341269,-0.019515,0.047890,1.146870,0.000000,1
193.660,1.456391,6.984905,-0.312370,7.416970,12.505536,-0.341298,-0.015942,0.023996,1.146870,0.000000,1
193.760,1.456391,6.984905,-0.312370,7.416971,12.505539,-0.341586,-0.015589,0.021335,1.146870,0.000000,1
193.860,1.456126,6.984874,-0.312579,7.416762,12.505467,-0.341913,-0.024260,0.019272,-0.765040,-0.032005,1
193.960,1.452495,6.984439,-0.315480,7.414604,12.504882,-0.344579,-0.042215,-0.004478,-0.385539,-0.035132,1
194.060,1.445280,6.983766,-0.320955,7.411431,12.504485,-0.349663,-0.053512,-0.038512,0.451336,-0.051230,1
194.160,1.437558,6.983300,-0.326430,7.406165,12.504356,-0.355339,-0.073501,-0.060673,0.738102,-0.082293,1
194.260,1.429683,6.982917,-0.332013,7.398359,12.504250,-0.360999,-0.073617,-0.033357,0.839609,-0.109979,1
194.360,1.419701,6.982698,-0.338649,7.390501,12.504398,-0.367659,-0.075555,-0.042875,0.488316,-0.088116,1
194.460,1.411014,6.983250,-0.343138,7.382757,12.505153,-0.372716,-0.074731,-0.025920,0.509269,-0.083297,1
194.560,1.402632,6.984046,-0.347063,7.375314,12.506165,-0.376816,-0.073038,-0.017213,0.264069,-0.076631,1
194.660,1.392382,6.986240,-0.349766,7.368187,12.507855,-0.379807,-0.072268,-0.006438,0.201649,-0.072728,1
194.760,1.382363,6.989482,-0.350501,7.361375,12.509930,-0.381340,-0.071243,0.011400,0.003368,-0.072940,1
194.860,1.370203,6.994231,-0.349926,7.354202,12.512823,-0.381166,-0.103436,0.024362,-0.169112,-0.098553,1
194.960,1.356790,7.000287,-0.347715,7.344928,12.517401,-0.379437,-0.116358,0.041806,-0.298907,-0.113070,1
195.060,1.343422,7.007228,-0.343720,7.335067,12.523015,-0.375898,-0.087174,0.059545,-0.533605,-0.102685,1
195.160,1.329759,7.014669,-0.338847,7.326773,12.528502,-0.371443,-0.072504,0.063509,-0.654164,-0.104935,1
195.260,1.317593,7.022002,-0.333027,7.319957,12.534003,-0.366069,-0.059912,0.066878,-0.771295,-0.095087,1
195.360,1.309167,7.028533,-0.326128,7.314902,12.539272,-0.359631,-0.065367,0.088776,-0.943984,-0.088379,1
195.460,1.303945,7.034074,-0.318932,7.310434,12.545262,-0.352581,-0.061474,0.093447,-0.998128,-0.112678,1
195.560,1.299703,7.039882,-0.310515,7.306100,12.551766,-0.344618,-0.061781,0.103669,-1.003770,-0.118331,1
195.660,1.295765,7.045784,-0.301637,7.301830,12.558621,-0.335625,-0.061781,0.111921,-1.080542,-0.131369,1
195.760,1.291782,7.052554,-0.291014,7.297806,12.565945,-0.325621,-0.060507,0.124438,-1.090717,-0.134394,1
195.860,1.288177,7.059185,-0.280326,7.293878,12.573672,-0.314797,-0.086575,0.111782,-1.161790,-0.151885,1
195.960,1.283720,7.066783,-0.268589,7.289831,12.581757,-0.303614,-0.077277,0.135725,-1.013713,-0.161758,1
196.060,1.279049,7.075097,-0.255173,7.285299,12.590315,-0.290205,-0.042723,0.130234,-1.247767,-0.134515,1
196.160,1.277056,7.080555,-0.245589,7.282846,12.597560,-0.280093,-0.019411,0.095446,-1.298477,-0.128901,1
196.260,1.276421,7.082916,-0.241423,7.281913,12.601321,-0.274500,0.005088,0.047577,-1.298477,0.000000,1
196.360,1.276421,7.082916,-0.241423,7.281913,12.601322,-0.274865,0.025016,-0.005117,-1.298477,0.000000,1
196.460,1.275816,7.083068,-0.241417,7.282241,12.600470,-0.275282,0.030206,-0.004318,-0.161981,0.026172,1
196.560,1.273921,7.083538,-0.241412,7.283294,12.598896,-0.275844,0.039149,-0.005896,-0.159149,0.034761,1
196.660,1.271157,7.084220,-0.241408,7.285375,12.596836,-0.276588,0.050017,-0.006539,-0.159666,0.043434,1
196.760,1.268218,7.084946,-0.241404,7.288590,12.594486,-0.277170,0.062412,-0.003295,-0.099418,0.054527,1
196.860,1.265727,7.085559,-0.241404,7.293494,12.591718,-0.277729,0.054487,0.019757,-0.060749,0.069769,1
