t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
182.524,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008248,0.000000,0.000000,nan,nan,0
182.624,-4.499933,7.000001,0.000001,1.584470,12.576857,-0.008248,-0.025000,-0.019304,0.681281,-0.032185,0
182.724,-4.497410,7.000006,0.000012,1.580803,12.576618,-0.008430,-0.050261,-0.022380,0.437350,-0.055483,0
182.824,-4.496504,6.999792,-0.000416,1.575139,12.575728,-0.009047,-0.065462,-0.024920,0.380259,-0.070498,0
182.924,-4.502749,6.998622,-0.002776,1.568142,12.574453,-0.011747,-0.078169,-0.044385,0.537617,-0.091007,0
183.024,-4.507783,6.997618,-0.004821,1.561556,12.573036,-0.014152,-0.049845,-0.025329,0.490131,-0.056496,0
183.124,-4.512048,6.996923,-0.006259,1.556934,12.571957,-0.016014,-0.026661,-0.025502,0.787574,-0.037786,0
183.224,-4.511914,6.996918,-0.006267,1.555233,12.571458,-0.016425,-0.008579,-0.007255,0.787574,0.000000,0
183.324,-4.510503,6.996960,-0.006167,1.555229,12.571457,-0.016546,0.022147,-0.003073,-0.144689,0.022381,0
183.424,-4.513238,6.996954,-0.006211,1.557076,12.572069,-0.016688,0.033296,-0.004925,-0.154080,0.033695,0
183.524,-4.518428,6.996956,-0.006273,1.560650,12.572846,-0.016645,0.052526,-0.003246,-0.064803,0.052637,0
183.624,-4.522338,6.996965,-0.006303,1.566312,12.573474,-0.016683,0.072547,-0.003303,-0.047772,0.072630,0
183.724,-4.525660,6.996988,-0.006301,1.571923,12.573591,-0.016877,0.038937,-0.011219,-0.293795,0.040680,0
183.824,-4.531841,6.997436,-0.005478,1.575259,12.573334,-0.016513,0.015604,-0.008842,-0.392522,0.000000,0
183.924,-4.537167,6.998303,-0.003794,1.575401,12.573315,-0.015227,-0.010783,0.003018,-0.392522,0.000000,0
184.024,-4.536680,6.997927,-0.004541,1.574307,12.573482,-0.015913,-0.026362,-0.009976,0.378228,-0.028367,0
184.124,-4.533344,6.997453,-0.005455,1.570574,12.573772,-0.016927,-0.051610,-0.023035,0.438247,-0.056997,0
184.224,-4.529743,6.997424,-0.005474,1.564421,12.573698,-0.017210,-0.076947,-0.015247,0.205132,-0.078595,0
184.324,-4.536458,6.996905,-0.006593,1.556010,12.573154,-0.018468,-0.099463,-0.024242,0.250534,-0.102669,0
184.424,-4.545938,6.996182,-0.008179,1.545309,12.572288,-0.020213,-0.116394,-0.040109,0.347170,-0.123779,0
184.524,-4.555024,6.995094,-0.010520,1.534952,12.571168,-0.022773,-0.088746,-0.023105,0.266849,-0.092002,0
184.624,-4.563282,6.994109,-0.012679,1.526683,12.570268,-0.025136,-0.063238,-0.023974,0.378832,-0.068064,0
184.724,-4.569084,6.993475,-0.014102,1.520476,12.569545,-0.026802,-0.046521,-0.016734,0.361118,-0.049729,0
184.824,-4.573186,6.993037,-0.015099,1.516136,12.568978,-0.028168,-0.026788,-0.013394,0.483440,-0.030255,0
184.924,-4.573867,6.993010,-0.015173,1.514697,12.568751,-0.028555,-0.004338,-0.005595,0.483440,0.000000,0
185.024,-4.573580,6.993008,-0.015168,1.514694,12.568751,-0.028845,0.023317,-0.001688,-0.075873,0.023384,0
185.124,-4.575780,6.993038,-0.015175,1.517182,12.569023,-0.029014,0.037851,-0.002602,-0.072060,0.037950,0
185.224,-4.579590,6.993092,-0.015182,1.521597,12.569078,-0.029167,0.061075,-0.001691,-0.029072,0.061100,0
185.324,-4.573283,6.993006,-0.015164,1.528302,12.568899,-0.029401,0.083272,-0.002350,-0.029619,0.083309,0
185.424,-4.564173,6.992877,-0.015146,1.537224,12.568650,-0.029570,0.104933,-0.000794,-0.007945,0.104936,0
185.524,-4.552851,6.992716,-0.015125,1.548492,12.568333,-0.029836,0.128094,-0.000801,-0.006569,0.128096,0
185.624,-4.539183,6.992518,-0.015107,1.561976,12.567950,-0.029967,0.151253,-0.000431,-0.002995,0.151253,0
185.724,-4.523364,6.992289,-0.015088,1.577612,12.567510,-0.030156,0.122963,0.017657,0.149649,0.124353,0
185.824,-4.508256,6.992417,-0.014386,1.590430,12.567511,-0.029689,0.118855,0.018151,0.159002,0.120373,0
185.924,-4.495541,6.992686,-0.013495,1.601607,12.567758,-0.028942,0.096863,0.024670,0.261311,0.100267,0
186.024,-4.483055,6.993132,-0.012283,1.611009,12.568367,-0.027851,0.074478,0.024673,0.334749,0.078855,0
186.124,-4.472281,6.993561,-0.011174,1.618280,12.569142,-0.026831,0.056355,0.026613,0.460316,0.062903,0
186.224,-4.461750,6.993762,-0.010547,1.623725,12.570067,-0.026221,0.037769,0.024056,0.589462,0.045436,0
186.324,-4.453180,6.993822,-0.010248,1.627327,12.570965,-0.025892,0.017942,0.021309,0.726882,0.000000,0
186.424,-4.450493,6.993876,-0.010086,1.627708,12.571081,-0.025990,-0.007732,0.020285,0.726882,0.000000,0
186.524,-4.451382,6.993882,-0.010093,1.626513,12.570711,-0.026327,-0.027368,0.018799,-0.624856,-0.033744,0
186.624,-4.456847,6.993932,-0.010103,1.623028,12.569922,-0.026862,-0.052064,0.019526,-0.375150,-0.055955,0
186.724,-4.467047,6.994030,-0.010113,1.617155,12.569205,-0.027321,-0.072054,0.020277,-0.287311,-0.075134,0
186.824,-4.477258,6.994070,-0.010240,1.611628,12.568990,-0.027740,-0.040064,-0.002341,0.061277,-0.040139,0
186.924,-4.480484,6.993976,-0.010494,1.608238,12.568948,-0.028220,-0.014055,-0.003943,0.144549,0.000000,0
187.024,-4.480484,6.993976,-0.010494,1.608027,12.568945,-0.028480,0.010657,-0.002468,0.144549,0.000000,0
187.124,-4.481157,6.993987,-0.010486,1.609175,12.568925,-0.028731,0.027843,-0.002013,-0.075769,0.027924,0
187.224,-4.479691,6.993921,-0.010586,1.612539,12.568742,-0.029045,0.050764,-0.002293,-0.047383,0.050821,0
187.324,-4.473979,6.993691,-0.010924,1.618231,12.568410,-0.029622,0.072339,-0.004999,-0.072437,0.072529,0
187.424,-4.466098,6.993361,-0.011407,1.626012,12.567944,-0.030299,0.093917,-0.005337,-0.059602,0.094084,0
187.524,-4.456051,6.992932,-0.012028,1.635942,12.567341,-0.031144,0.115591,-0.007552,-0.068496,0.115863,0
187.624,-4.443848,6.992400,-0.012788,1.647964,12.566594,-0.032077,0.137164,-0.008003,-0.061191,0.137421,0
187.724,-4.429504,6.991763,-0.013680,1.662198,12.565698,-0.033201,0.158732,-0.008678,-0.057339,0.158993,0
187.824,-4.413002,6.991014,-0.014706,1.678638,12.564645,-0.034543,0.161184,0.010021,0.065184,0.161527,0
187.924,-4.396301,6.990292,-0.015643,1.695350,12.563598,-0.035782,0.170612,0.010974,0.067435,0.171000,0
188.024,-4.379178,6.989556,-0.016564,1.712500,12.562526,-0.036833,0.174228,0.012803,0.077005,0.174745,0
188.124,-4.361677,6.988825,-0.017431,1.730024,12.561452,-0.037996,0.177308,0.013323,0.078734,0.177859,0
188.224,-4.343767,6.988105,-0.018231,1.748033,12.560370,-0.038999,0.180305,0.012739,0.074048,0.180801,0
188.324,-4.325642,6.987382,-0.019003,1.766300,12.559268,-0.040005,0.206865,-0.003743,-0.018998,0.206902,0
188.424,-4.304615,6.986514,-0.019920,1.787115,12.557983,-0.041135,0.222055,-0.004668,-0.022070,0.222109,0
188.524,-4.281558,6.985548,-0.020911,1.810144,12.556549,-0.042356,0.245199,-0.005438,-0.023283,0.245265,0
188.624,-4.256255,6.984473,-0.021976,1.835274,12.554956,-0.043659,0.268334,-0.005334,-0.020867,0.268393,0
188.724,-4.228763,6.983289,-0.023104,1.862612,12.553203,-0.045020,0.289935,-0.005429,-0.019657,0.289991,0
188.824,-4.199011,6.981990,-0.024293,1.892285,12.551273,-0.046480,0.312982,-0.013287,-0.044546,0.313292,0
188.924,-4.166948,6.980550,-0.025574,1.924353,12.549147,-0.048007,0.337562,-0.013929,-0.043301,0.337878,0
189.024,-4.132523,6.978972,-0.026921,1.958696,12.546819,-0.049630,0.360794,-0.013655,-0.039718,0.361079,0
189.124,-4.095733,6.977253,-0.028327,1.995372,12.544299,-0.051179,0.383938,-0.013399,-0.036627,0.384196,0
189.224,-4.056561,6.975385,-0.029786,2.034440,12.541573,-0.052809,0.407089,-0.013620,-0.035115,0.407340,0
189.324,-4.015122,6.973368,-0.031289,2.075790,12.538630,-0.054520,0.431672,-0.013265,-0.032254,0.431897,0
189.424,-3.971285,6.971188,-0.032835,2.119648,12.535460,-0.056337,0.454914,-0.013186,-0.030426,0.455125,0
189.524,-3.925062,6.968838,-0.034416,2.165785,12.532068,-0.058049,0.478163,-0.012165,-0.026707,0.478334,0
189.624,-3.876532,6.966319,-0.036028,2.210901,12.537124,-0.047708,0.501308,-0.012102,-0.025343,0.501469,0
189.724,-3.825688,6.963623,-0.037672,2.261804,12.533865,-0.049663,0.525897,-0.012406,-0.024766,0.526058,0
189.824,-3.772418,6.960736,-0.039341,2.315098,12.530379,-0.051569,0.549041,-0.008822,-0.016869,0.549119,0
189.924,-3.716805,6.957673,-0.040996,2.370676,12.526669,-0.053439,0.569879,0.004803,0.008849,0.569901,0
190.024,-3.659502,6.954473,-0.042601,2.428104,12.522788,-0.055231,0.582216,0.005870,0.010585,0.582249,0
190.124,-3.601120,6.951164,-0.044149,2.486702,12.518767,-0.056950,0.589335,0.005489,0.009779,0.589364,0
190.224,-3.542066,6.947771,-0.045629,2.545860,12.514650,-0.058583,0.595084,0.006584,0.011616,0.595124,0
190.324,-3.482554,6.944307,-0.047039,2.605633,12.510434,-0.060267,0.597982,0.007061,0.012397,0.598028,0
190.424,-3.422754,6.940782,-0.048377,2.679857,12.500415,-0.068215,0.601021,0.008380,0.014638,0.601086,0
190.524,-3.362700,6.937202,-0.049646,2.740149,12.495655,-0.069721,0.602221,0.008370,0.014593,0.602285,0
190.624,-3.302472,6.933572,-0.050848,2.800562,12.490834,-0.071118,0.604360,0.009861,0.017131,0.604448,0
190.724,-3.242082,6.929894,-0.051984,2.861217,12.485942,-0.072355,0.605520,0.010394,0.018022,0.605619,0
190.824,-3.181569,6.926173,-0.053056,2.921875,12.481014,-0.073620,0.606701,0.010934,0.018920,0.606810,0
190.924,-3.121039,6.922420,-0.054072,2.978631,12.477832,-0.068400,0.606984,0.010034,0.017355,0.607076,0
191.024,-3.060461,6.918632,-0.055031,3.039313,12.473195,-0.069604,0.606094,0.010470,0.018137,0.606193,0
191.124,-2.999968,6.914820,-0.055935,3.100178,12.468512,-0.070750,0.606094,0.012311,0.021324,0.606232,0
191.224,-2.939412,6.910976,-0.056789,3.160855,12.463794,-0.071855,0.606263,0.011787,0.020411,0.606389,0
191.324,-2.878894,6.907108,-0.057594,3.221714,12.459027,-0.072803,0.607308,0.013570,0.023457,0.607475,0
191.424,-2.818268,6.903208,-0.058355,3.278359,12.464753,-0.060935,0.607250,0.013892,0.024017,0.607425,0
191.524,-2.757673,6.899287,-0.059073,3.339270,12.460693,-0.061973,0.607063,0.012131,0.020978,0.607197,0
191.624,-2.697081,6.895343,-0.059750,3.400178,12.456579,-0.062901,0.607113,0.014190,0.024537,0.607295,0
191.724,-2.636479,6.891379,-0.060390,3.461086,12.452449,-0.063790,0.607233,0.014777,0.025547,0.607431,0
191.824,-2.575865,6.887393,-0.060993,3.521990,12.448269,-0.064576,0.607336,0.015519,0.026824,0.607555,0
191.924,-2.515242,6.883389,-0.061562,3.577264,12.435013,-0.065949,0.605945,0.014511,0.025140,0.606136,0
192.024,-2.454788,6.879377,-0.062095,3.637979,12.430757,-0.066726,0.605487,0.015327,0.026573,0.605701,0
192.124,-2.394348,6.875351,-0.062600,3.698690,12.426458,-0.067432,0.605608,0.017169,0.029759,0.605877,0
192.224,-2.333888,6.871308,-0.063077,3.759401,12.422154,-0.068163,0.605890,0.015688,0.027180,0.606114,0
192.324,-2.273408,6.867249,-0.063527,3.820114,12.417813,-0.068791,0.605987,0.017509,0.030328,0.606266,0
192.424,-2.212912,6.863176,-0.063951,3.877002,12.392923,-0.089760,0.606510,0.016961,0.029354,0.606771,0
192.524,-2.152279,6.859080,-0.064352,3.937789,12.387278,-0.090383,0.608163,0.017285,0.029834,0.608433,0
192.624,-2.091573,6.854966,-0.064731,3.998575,12.381617,-0.090990,0.608251,0.017860,0.030822,0.608540,0
192.724,-2.030793,6.850837,-0.065089,4.059542,12.375904,-0.091559,0.609552,0.017983,0.030968,0.609844,0
192.824,-1.969888,6.846687,-0.065426,4.120685,12.370138,-0.092109,0.609667,0.017398,0.029956,0.609941,0
192.924,-1.908965,6.842526,-0.065745,4.150204,12.384269,-0.072715,0.610752,0.017402,0.029908,0.611025,0
193.024,-1.848034,6.838355,-0.066045,4.211453,12.379704,-0.073124,0.610266,0.019017,0.032709,0.610593,0
193.124,-1.787107,6.834175,-0.066328,4.272585,12.375121,-0.073611,0.611498,0.018975,0.032570,0.611823,0
193.224,-1.726126,6.829982,-0.066594,4.333830,12.370500,-0.074128,0.611630,0.019225,0.032993,0.611963,0
193.324,-1.665070,6.825777,-0.066845,4.395188,12.365839,-0.074627,0.611793,0.018348,0.031479,0.612096,0
193.424,-1.603998,6.821562,-0.067082,4.434705,12.335293,-0.078810,0.612137,0.018534,0.031780,0.612447,0
193.524,-1.542884,6.817338,-0.067305,4.496112,12.330365,-0.079255,0.612419,0.019048,0.032647,0.612746,0
193.624,-1.481685,6.813101,-0.067516,4.557518,12.325434,-0.079567,0.613679,0.019746,0.033772,0.614029,0
193.724,-1.420421,6.808852,-0.067714,4.619043,12.320469,-0.080066,0.615045,0.019401,0.033109,0.615382,0
193.824,-1.359028,6.804589,-0.067902,4.680630,12.315472,-0.080389,0.615213,0.019842,0.033852,0.615565,0
193.924,-1.297617,6.800319,-0.068078,4.704190,12.306333,-0.095083,0.615397,0.019197,0.032742,0.615727,0
194.024,-1.236125,6.796039,-0.068243,4.765879,12.300396,-0.095360,0.616609,0.020251,0.034471,0.616976,0
194.124,-1.174572,6.791749,-0.068399,4.827567,12.294440,-0.095716,0.616723,0.020532,0.034942,0.617100,0
194.224,-1.113009,6.787453,-0.068546,4.889252,12.288460,-0.096149,0.616875,0.018348,0.031220,0.617175,0
194.324,-1.051438,6.783153,-0.068684,4.950935,12.282462,-0.096462,0.616950,0.019839,0.033751,0.617302,0
194.424,-0.989847,6.778847,-0.068813,5.007342,12.298607,-0.085900,0.618139,0.020668,0.035094,0.618520,0
194.524,-0.928149,6.774530,-0.068935,5.069267,12.293268,-0.086156,0.618101,0.021627,0.036722,0.618518,0
194.624,-0.866445,6.770208,-0.069049,5.131195,12.287910,-0.086491,0.618234,0.020312,0.034485,0.618602,0
194.724,-0.804733,6.765883,-0.069156,5.193121,12.282530,-0.086885,0.618341,0.019962,0.033884,0.618696,0
194.824,-0.743012,6.761555,-0.069257,5.255045,12.277123,-0.087316,0.618456,0.018687,0.031715,0.618767,0
194.924,-0.681281,6.757222,-0.069351,5.290616,12.264736,-0.086659,0.619776,0.020328,0.034425,0.620143,0
195.024,-0.619479,6.752882,-0.069440,5.352658,12.259340,-0.086932,0.620007,0.020809,0.035226,0.620392,0
195.124,-0.557591,6.748534,-0.069523,5.414766,12.253917,-0.087253,0.620076,0.020618,0.034898,0.620454,0
195.224,-0.495692,6.744182,-0.069601,5.476872,12.248474,-0.087610,0.621485,0.020285,0.034259,0.621849,0
195.324,-0.433730,6.739824,-0.069673,5.539041,12.243004,-0.087891,0.620248,0.020986,0.035512,0.620639,0
195.424,-0.371739,6.735461,-0.069741,5.617828,12.267210,-0.068474,0.621575,0.021543,0.036375,0.621987,0
195.524,-0.309695,6.731094,-0.069805,5.680210,12.262924,-0.068791,0.622864,0.021428,0.036106,0.623270,0
195.624,-0.247579,6.726719,-0.069864,5.742591,12.258615,-0.069155,0.623213,0.019735,0.033237,0.623557,0
195.724,-0.185369,6.722336,-0.069919,5.805150,12.254272,-0.069474,0.623441,0.020150,0.033923,0.623800,0
195.824,-0.123055,6.717945,-0.069971,5.867713,12.249909,-0.069738,0.624970,0.020940,0.035166,0.625356,0
195.924,-0.060663,6.713546,-0.070019,5.935044,12.231867,-0.083758,0.623655,0.021244,0.035751,0.624054,0
196.024,0.001335,6.709178,-0.070057,5.997362,12.226672,-0.083934,0.616406,0.022269,0.037916,0.616849,0
196.124,0.062584,6.704869,-0.070077,6.058891,12.221533,-0.084200,0.605420,0.021230,0.036804,0.605830,0
196.224,0.122634,6.700657,-0.070071,6.119253,12.216475,-0.084469,0.593229,0.020113,0.035584,0.593604,0
196.324,0.181419,6.696546,-0.070044,6.178387,12.211506,-0.084645,0.577365,0.021613,0.039285,0.577811,0
196.424,0.238455,6.692579,-0.069978,6.236697,12.200959,-0.092100,0.559448,0.020299,0.038079,0.559854,0
196.524,0.293685,6.688757,-0.069885,6.292295,12.195901,-0.092251,0.539578,0.016546,0.032186,0.539858,0
196.624,0.346933,6.685091,-0.069769,6.345877,12.191041,-0.092342,0.520940,0.017072,0.034396,0.521248,0
196.724,0.398242,6.681582,-0.069621,6.397498,12.186372,-0.092385,0.502399,0.018375,0.038384,0.502770,0
196.824,0.447730,6.678228,-0.069436,6.447209,12.181894,-0.092407,0.482332,0.020336,0.044242,0.482804,0
196.924,0.495375,6.675044,-0.069189,6.504241,12.181746,-0.079701,0.463702,0.022609,0.051152,0.464309,0
197.024,0.541380,6.672063,-0.068796,6.550439,12.178305,-0.079494,0.445261,0.025773,0.060703,0.446082,0
197.124,0.585405,6.669359,-0.068172,6.594568,12.175141,-0.079163,0.426712,0.010941,0.026916,0.426866,0
197.224,0.627308,6.666823,-0.067558,6.636785,12.172141,-0.078799,0.405193,0.009839,0.025492,0.405325,0
197.324,0.667719,6.664511,-0.066752,6.676976,12.169407,-0.078225,0.385023,0.026750,0.072822,0.386046,0
197.424,0.706862,6.662722,-0.065176,6.709642,12.166440,-0.073523,0.367223,0.034314,0.097802,0.368987,0
