t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals,leg
65.068,-1.824236,7.021276,-0.498045,4.246570,12.534599,-0.505754,0.000000,0.000000,0.563083,0.000000,0,approach1
65.168,-1.823023,7.021071,-0.497308,4.247904,12.534332,-0.504724,0.028651,0.019039,0.609203,0.034936,0,approach1
65.268,-1.819326,7.020407,-0.495137,4.251681,12.533573,-0.502237,0.054100,0.034607,0.591453,0.065171,0,approach1
65.368,-1.813047,7.019218,-0.491365,4.258002,12.532309,-0.498110,0.076274,0.048798,0.591522,0.091886,0,approach1
65.468,-1.804362,7.017557,-0.486154,4.266732,12.530577,-0.492646,0.099715,0.063534,0.589628,0.119972,0,approach1
65.568,-1.793221,7.015440,-0.479557,4.277954,12.528368,-0.485794,0.124631,0.077052,0.575782,0.148588,0,approach1
65.668,-1.779586,7.012877,-0.471627,4.291672,12.525696,-0.477603,0.148708,0.090375,0.567980,0.176405,0,approach1
65.768,-1.763378,7.009875,-0.462390,4.307941,12.522578,-0.468108,0.174391,0.103651,0.557937,0.205565,0,approach1
65.868,-1.744561,7.006452,-0.451920,4.326891,12.519009,-0.457329,0.199137,0.115211,0.545900,0.233001,0,approach1
65.968,-1.723089,7.002626,-0.440291,4.348568,12.515015,-0.445424,0.226855,0.127115,0.531810,0.263207,0,approach1
66.068,-1.698958,6.998427,-0.427614,4.372852,12.510642,-0.432516,0.253854,0.137256,0.516348,0.291911,0,approach1
66.168,-1.672074,6.993909,-0.414021,4.399940,12.505912,-0.418572,0.280105,0.144369,0.496047,0.318493,0,approach1
66.268,-1.642584,6.989306,-0.400087,4.429557,12.500887,-0.404239,0.306729,0.149541,0.473132,0.344583,0,approach1
66.368,-1.610654,6.984447,-0.385539,4.461627,12.495615,-0.389346,0.332525,0.154349,0.453502,0.369917,0,approach1
66.468,-1.576237,6.979173,-0.370116,4.496341,12.490081,-0.373673,0.356263,0.160694,0.442311,0.394199,0,approach1
66.568,-1.539252,6.973676,-0.354184,4.533582,12.484384,-0.357378,0.382657,0.167413,0.430624,0.421101,0,approach1
66.668,-1.499586,6.968031,-0.337890,4.573536,12.478551,-0.340820,0.409666,0.170584,0.412174,0.447110,0,approach1
66.768,-1.457207,6.962278,-0.321334,4.616120,12.472622,-0.323951,0.436818,0.173464,0.395044,0.473269,0,approach1
66.868,-1.412025,6.956454,-0.304587,4.661588,12.466607,-0.306952,0.464341,0.175545,0.377879,0.499587,0,approach1
66.968,-1.364088,6.950617,-0.287762,4.709854,12.460576,-0.289949,0.493510,0.176582,0.359383,0.527190,0,approach1
67.068,-1.313196,6.944796,-0.270881,4.761081,12.454561,-0.272766,0.521445,0.178495,0.345045,0.554103,0,approach1
67.168,-1.259402,6.939053,-0.254051,4.815131,12.448653,-0.255743,0.550759,0.182524,0.334870,0.583151,0,approach1
67.268,-1.202498,6.933417,-0.237297,4.872416,12.442828,-0.238809,0.581824,0.187285,0.325934,0.614158,0,approach1
67.368,-1.142406,6.927949,-0.220656,4.932778,12.437211,-0.221953,0.599183,0.193038,0.326193,0.632537,0,approach1
67.468,-1.081093,6.922870,-0.204695,4.994335,12.432027,-0.205677,0.600000,0.189273,0.319855,0.632057,0,approach1
67.568,-1.019649,6.918260,-0.189666,5.056055,12.427328,-0.190415,0.601488,0.180989,0.306022,0.630795,0,approach1
67.668,-0.958080,6.914214,-0.175732,5.110016,12.425824,-0.177310,0.604055,0.169705,0.286854,0.629789,0,approach1
67.768,-0.896465,6.910508,-0.162472,5.166667,12.423727,-0.164600,0.605465,0.160790,0.271936,0.628563,0,approach1
67.868,-0.834840,6.907158,-0.149909,5.228629,12.420229,-0.151897,0.605457,0.153999,0.260979,0.626678,0,approach1
67.968,-0.773231,6.904192,-0.138090,5.290489,12.417138,-0.139880,0.606413,0.147022,0.249273,0.625754,0,approach1
68.068,-0.711617,6.901587,-0.126965,5.352469,12.414414,-0.128564,0.607073,0.138898,0.235771,0.624345,0,approach1
68.168,-0.650038,6.899325,-0.116495,5.414263,12.412065,-0.117874,0.606868,0.133466,0.226944,0.622839,0,approach1
68.268,-0.588528,6.897386,-0.106647,5.465464,12.415056,-0.098853,0.607026,0.125706,0.214107,0.621210,0,approach1
68.368,-0.527161,6.895753,-0.097390,5.519949,12.417629,-0.083382,0.601975,0.120894,0.207826,0.615214,0,approach1
