t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals,leg
33.986,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.086,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.188,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.288,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.388,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.490,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.590,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.690,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.792,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.892,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
34.992,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
35.094,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
35.194,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
35.294,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
35.394,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
35.496,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.006836,0.000000,0.000000,nan,nan,0,stage
35.596,-4.499969,7.000000,0.000001,1.583732,12.576837,-0.006841,-0.037532,-0.021027,0.700500,-0.032700,0,stage
35.696,-4.497973,7.000005,0.000011,1.579462,12.576454,-0.006722,-0.062987,-0.021853,0.420891,-0.057074,0,stage
35.798,-4.498003,6.999685,-0.000631,1.573223,12.575483,-0.007743,-0.075861,-0.034109,0.352285,-0.070870,0,stage
35.898,-4.504264,6.998669,-0.002684,1.565520,12.574136,-0.009471,-0.085303,-0.041148,0.494615,-0.090351,0,stage
35.998,-4.510823,6.997382,-0.005309,1.557730,12.572491,-0.012184,-0.053707,-0.040174,0.586379,-0.068955,0,stage
36.100,-4.517009,6.996838,-0.006471,1.552012,12.570904,-0.012925,-0.032189,-0.023705,0.658234,-0.040690,0,stage
36.200,-4.520090,6.996081,-0.008029,1.548354,12.569689,-0.014483,-0.012762,-0.029738,0.801213,-0.036782,0,stage
36.300,-4.520737,6.995982,-0.008238,1.547518,12.569374,-0.014298,0.013917,-0.016925,0.801213,0.000000,0,stage
36.400,-4.520363,6.996005,-0.008185,1.548132,12.569609,-0.014031,0.030719,-0.017681,-0.543619,0.035893,0,stage
36.502,-4.525628,6.996037,-0.008207,1.551174,12.570527,-0.013513,0.054219,-0.017269,-0.322733,0.057170,0,stage
36.602,-4.529204,6.996050,-0.008241,1.556346,12.571473,-0.013029,0.074499,0.003209,0.045204,0.074575,0,stage
36.702,-4.530989,6.996057,-0.008256,1.563848,12.572107,-0.012706,0.098640,0.001398,0.014880,0.098651,0,stage
36.804,-4.523530,6.996057,-0.008135,1.573669,12.572161,-0.012318,0.121826,0.001735,0.014950,0.121839,0,stage
36.904,-4.510762,6.996029,-0.007983,1.585893,12.572096,-0.011863,0.146590,0.001867,0.013369,0.146603,0,stage
37.004,-4.495610,6.995991,-0.007820,1.600565,12.572013,-0.011457,0.171392,0.001757,0.010763,0.171402,0,stage
37.106,-4.478004,6.995937,-0.007655,1.621149,12.571895,-0.010953,0.194555,0.000010,0.000052,0.194555,0,stage
37.206,-4.458030,6.995861,-0.007504,1.641128,12.571768,-0.010580,0.219158,-0.001440,-0.006900,0.219164,0,stage
37.306,-4.435608,6.995756,-0.007381,1.663512,12.571610,-0.010170,0.243851,-0.004308,-0.018547,0.243893,0,stage
37.408,-4.410774,6.995603,-0.007323,1.688481,12.571405,-0.009877,0.268648,-0.008684,-0.033930,0.268803,0,stage
37.508,-4.383695,6.995344,-0.007442,1.715848,12.571092,-0.009779,0.291903,-0.016900,-0.060716,0.292442,0,stage
