t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals,leg
33.274,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
33.374,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
33.474,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
33.574,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
33.676,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
33.776,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
33.876,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
33.978,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.078,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.178,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.280,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.380,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.480,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.580,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.682,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.782,-4.500000,7.000000,-0.000000,1.584770,12.576859,-0.008330,0.000000,0.000000,nan,nan,0,stage
34.882,-4.499742,7.000001,0.000003,1.583435,12.576829,-0.008422,-0.032019,-0.020215,0.585398,-0.038416,0,stage
34.984,-4.496632,7.000005,0.000010,1.579160,12.576427,-0.008748,-0.060082,-0.026342,0.431435,-0.066143,0,stage
35.084,-4.497038,6.999632,-0.000737,1.572825,12.575332,-0.009987,-0.073065,-0.032965,0.442417,-0.080850,0,stage
35.184,-4.504180,6.998393,-0.003245,1.565077,12.573826,-0.012757,-0.047509,-0.044264,0.774423,-0.066463,0,stage
35.286,-4.508168,6.997988,-0.004085,1.558014,12.571914,-0.014455,-0.043511,-0.030285,0.631130,-0.053892,0,stage
35.386,-4.511660,6.996985,-0.006127,1.554074,12.570601,-0.016700,-0.021114,-0.038142,1.085615,-0.045274,0,stage
35.486,-4.512140,6.996984,-0.006134,1.552277,12.569864,-0.017186,-0.007234,-0.024538,1.085615,0.000000,0,stage
35.586,-4.507618,6.997091,-0.005866,1.552355,12.569920,-0.017117,0.022415,-0.020945,-0.775884,0.031402,0,stage
35.688,-4.504327,6.997051,-0.005909,1.554491,12.571137,-0.017282,0.035886,-0.021476,-0.561020,0.042382,0,stage
35.788,-4.506298,6.996601,-0.006833,1.558274,12.572665,-0.018063,0.053570,-0.031204,-0.548916,0.062796,0,stage
35.888,-4.509195,6.995939,-0.008197,1.564028,12.574191,-0.018937,0.024569,-0.019691,-0.699558,0.032111,0,stage
35.990,-4.512982,6.995497,-0.009146,1.567119,12.574664,-0.019715,0.020888,-0.010638,-0.491048,0.023687,0,stage
36.090,-4.520395,6.995358,-0.009564,1.568170,12.574746,-0.020142,-0.002252,-0.006026,-0.491048,0.000000,0,stage
36.190,-4.530209,6.995537,-0.009392,1.568169,12.574746,-0.019957,-0.024764,-0.001237,0.052421,-0.024798,0,stage
36.292,-4.535521,6.995795,-0.008974,1.565438,12.574946,-0.019914,-0.038476,0.002888,-0.078640,-0.038595,0,stage
36.392,-4.539553,6.996059,-0.008516,1.560781,12.575294,-0.019740,-0.061505,0.002177,-0.037142,-0.061547,0,stage
36.492,-4.545865,6.996473,-0.007792,1.553929,12.575816,-0.019171,-0.084402,0.008754,-0.108481,-0.084901,0,stage
36.594,-4.554260,6.997103,-0.006654,1.544769,12.576593,-0.018162,-0.107204,0.018280,-0.177167,-0.108909,0,stage
36.694,-4.565384,6.998261,-0.004464,1.533506,12.577901,-0.015888,-0.129559,0.041176,-0.322084,-0.136583,0,stage
36.794,-4.579146,7.000409,-0.000242,1.520251,12.580263,-0.011270,-0.134011,0.060410,-0.442081,-0.148264,0,stage
36.894,-4.594875,7.003767,0.006568,1.506352,12.583702,-0.004331,-0.147589,0.085638,-0.547199,-0.172823,0,stage
36.996,-4.611402,7.008135,0.015662,1.491343,12.588265,0.004860,-0.154382,0.108434,-0.635450,-0.191826,0,stage
37.096,-4.627825,7.012997,0.026062,1.475623,12.593713,0.015465,-0.131201,0.100894,-0.679269,-0.168631,0,stage
37.196,-4.642373,7.017974,0.036922,1.462287,12.598719,0.025813,-0.119889,0.105691,-0.746811,-0.163368,0,stage
37.298,-4.654955,7.022524,0.047067,1.450725,12.603508,0.035614,-0.098461,0.100110,-0.818072,-0.144027,0,stage
37.398,-4.666169,7.026511,0.056184,1.441348,12.607924,0.044305,-0.076468,0.091355,-0.897777,-0.122672,0,stage
37.498,-4.675451,7.029944,0.064152,1.433962,12.611940,0.051895,-0.055523,0.079545,-0.984106,-0.100294,0,stage
37.600,-4.682498,7.032661,0.070521,1.428679,12.615402,0.057685,-0.034889,0.064825,-1.097135,-0.076487,0,stage
37.700,-4.687133,7.034201,0.074262,1.425535,12.618089,0.060930,-0.014192,0.041187,-1.161284,0.000000,0,stage
37.800,-4.688091,7.034553,0.075107,1.425388,12.618221,0.061055,0.013377,0.011991,-1.161284,0.000000,1,stage
37.900,-4.688185,7.034545,0.075107,1.425927,12.617756,0.060674,0.026309,0.000520,0.020748,0.026315,1,stage
38.002,-4.691044,7.034328,0.075102,1.427679,12.616672,0.060095,0.038061,-0.006433,-0.175638,0.038655,1,stage
38.102,-4.693880,7.034112,0.075097,1.430617,12.615392,0.059435,0.048329,-0.006474,-0.139736,0.048805,1,stage
38.202,-4.696521,7.033909,0.075089,1.434901,12.614113,0.058817,0.061855,-0.006171,-0.104369,0.062193,1,stage
38.304,-4.699045,7.033712,0.075075,1.440834,12.613038,0.058230,0.076119,-0.006312,-0.086845,0.076406,1,stage
38.404,-4.699348,7.033518,0.074733,1.448871,12.612442,0.057580,0.095441,-0.005908,-0.064906,0.095642,1,stage
38.504,-4.689136,7.033542,0.073271,1.459001,12.612298,0.056086,0.117294,-0.013635,-0.121458,0.118164,1,stage
38.606,-4.676164,7.033583,0.071476,1.474206,12.612091,0.053757,0.139395,-0.019494,-0.145798,0.140889,1,stage
38.706,-4.660823,7.033611,0.069373,1.489416,12.611859,0.051494,0.162316,-0.021777,-0.139953,0.163918,1,stage
38.806,-4.643224,7.033618,0.066987,1.506891,12.611563,0.048847,0.185269,-0.026040,-0.146521,0.187275,1,stage
38.906,-4.623294,7.033591,0.064317,1.526755,12.611189,0.045942,0.208237,-0.029280,-0.146581,0.210494,1,stage
39.008,-4.604935,7.033602,0.062022,1.545159,12.610880,0.043415,0.174122,-0.011652,-0.070150,0.174551,1,stage
39.108,-4.588877,7.033630,0.060118,1.561361,12.610619,0.041273,0.148699,-0.006475,-0.045689,0.148854,1,stage
39.208,-4.575086,7.033657,0.058536,1.575302,12.610396,0.039506,0.128618,-0.003764,-0.030719,0.128678,1,stage
39.310,-4.563389,7.033690,0.057248,1.587099,12.610212,0.037950,0.107193,-0.002562,-0.025089,0.107227,1,stage
39.410,-4.553612,7.033738,0.056234,1.596637,12.610083,0.036683,0.084330,-0.000627,-0.007809,0.084333,1,stage
39.510,-4.545135,7.033858,0.055528,1.603978,12.610052,0.035768,0.061489,0.002272,0.038772,0.061535,1,stage
39.612,-4.536339,7.034263,0.055363,1.609177,12.610198,0.035281,0.038611,0.006187,0.166691,0.039154,1,stage
39.712,-4.526672,7.034801,0.055367,1.613011,12.610553,0.035123,0.066984,0.000322,0.005051,0.066985,1,stage
39.812,-4.519379,7.035449,0.055852,1.619723,12.611119,0.035361,0.075034,0.002910,0.040699,0.075096,1,stage
39.914,-4.510427,7.036369,0.056683,1.628508,12.611845,0.035864,0.112074,0.007686,0.078301,0.098653,1,stage
40.014,-4.499421,7.037493,0.057668,1.639568,12.612750,0.036567,0.135270,0.004390,0.024899,0.122877,1,stage
40.114,-4.486056,7.038829,0.058781,1.652962,12.613813,0.037433,0.158413,0.006358,0.036718,0.144526,1,stage
40.214,-4.470394,7.040394,0.060045,1.668448,12.615035,0.038379,0.179992,0.007177,0.043694,0.167720,1,stage
40.316,-4.452491,7.042183,0.061444,1.686441,12.616450,0.039535,0.204546,0.008207,0.040149,0.190822,1,stage
40.416,-4.432283,7.044207,0.062970,1.706532,12.618028,0.040823,0.226237,0.008361,0.038576,0.212521,1,stage
40.516,-4.409853,7.046458,0.064605,1.728947,12.619788,0.042158,0.249261,0.009106,0.037218,0.236982,1,stage
40.618,-4.385077,7.048954,0.066344,1.753761,12.621738,0.043614,0.273934,0.010713,0.040289,0.260263,1,stage
40.718,-4.357945,7.051701,0.068180,1.780849,12.623878,0.045221,0.297074,0.011497,0.042967,0.282020,1,stage
40.818,-4.328512,7.054701,0.070092,1.810335,12.626214,0.046988,0.320334,0.011442,0.039130,0.306577,1,stage
40.920,-4.296735,7.057961,0.072068,1.842153,12.628751,0.048818,0.343484,0.011416,0.034884,0.343693,1,stage
41.020,-4.262591,7.061485,0.074110,1.876246,12.631490,0.050609,0.345170,0.041132,0.124476,0.347862,1,stage
41.120,-4.227803,7.065153,0.076179,1.911342,12.634372,0.052441,0.349748,0.041093,0.122749,0.352400,1,stage
41.220,-4.192947,7.068884,0.078213,1.946442,12.637304,0.054344,0.344617,0.042410,0.127415,0.348183,1,stage
41.322,-4.158482,7.072610,0.080159,1.981173,12.640233,0.056092,0.341091,0.041388,0.126724,0.343848,1,stage
41.422,-4.124276,7.076342,0.082029,2.015659,12.643172,0.057747,0.341333,0.040163,0.122925,0.343928,1,stage
41.522,-4.090126,7.080102,0.083836,2.050083,12.646132,0.059342,0.341104,0.039426,0.120771,0.343607,1,stage
41.624,-4.056020,7.083885,0.085590,2.084443,12.649108,0.060868,0.341023,0.039767,0.121836,0.343569,1,stage
41.724,-4.021914,7.087696,0.087294,2.118752,12.652107,0.062396,0.341039,0.039414,0.120757,0.343541,1,stage
41.824,-3.987808,7.091537,0.088945,2.153172,12.655141,0.063907,0.341060,0.038634,0.118383,0.343464,1,stage
41.926,-3.953093,7.095449,0.090516,2.187484,12.660141,0.072481,0.376020,0.003587,0.010017,0.376038,1,stage
42.026,-3.915589,7.099627,0.092001,2.225444,12.663688,0.073862,0.403747,0.000799,0.002078,0.403748,1,stage
42.126,-3.875710,7.104073,0.093470,2.265907,12.667465,0.075072,0.425497,-0.000907,-0.002237,0.425498,1,stage
42.228,-3.833520,7.108778,0.094903,2.308657,12.671446,0.076365,0.450233,-0.003648,-0.008508,0.450249,1,stage
42.328,-3.788895,7.113751,0.096285,2.353916,12.675649,0.077468,0.473417,-0.008198,-0.018181,0.473495,1,stage
42.428,-3.741938,7.118970,0.097583,2.401579,12.680054,0.078592,0.497495,-0.012666,-0.026726,0.497673,1,stage
42.528,-3.692615,7.124426,0.098773,2.451524,12.684630,0.079527,0.515974,-0.014994,-0.030502,0.516214,1,stage
42.630,-3.641341,7.130095,0.099887,2.504952,12.689702,0.080090,0.533062,-0.015012,-0.029561,0.533295,1,stage
