t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals,leg
28.952,-3.794195,7.174321,-0.023041,2.394057,12.712937,-0.037943,0.028528,-0.000103,0.049620,0.025022,2,approach0
29.052,-3.794576,7.174325,-0.023052,2.395778,12.711762,-0.037975,0.042131,0.002631,0.018482,0.033713,2,approach0
29.154,-3.795307,7.174337,-0.023062,2.398620,12.710320,-0.038170,0.053329,0.001295,0.052604,0.046647,2,approach0
29.256,-3.796347,7.174355,-0.023073,2.403007,12.708638,-0.038362,0.068337,0.001796,0.026389,0.059480,2,approach0
29.356,-3.797647,7.174380,-0.023084,2.409029,12.706972,-0.038557,0.085215,0.001318,0.031549,0.074118,2,approach0
29.456,-3.798768,7.174401,-0.023094,2.417079,12.705591,-0.038573,0.104646,0.002316,0.024948,0.092830,2,approach0
29.558,-3.797990,7.174368,-0.023124,2.427458,12.704831,-0.038459,0.127621,0.003729,0.024168,0.113696,2,approach0
29.660,-3.786747,7.174343,-0.022660,2.438957,12.704626,-0.037755,0.140390,0.007858,0.058706,0.140633,2,approach0
29.760,-3.772679,7.174458,-0.021806,2.453065,12.704544,-0.036761,0.166433,0.011801,0.067943,0.151275,2,approach0
29.860,-3.756168,7.174753,-0.020523,2.469551,12.704602,-0.035289,0.189321,0.015831,0.087577,0.190050,2,approach0
29.962,-3.737211,7.175226,-0.018836,2.488373,12.704807,-0.033426,0.212213,0.018772,0.092616,0.213127,2,approach0
30.064,-3.715956,7.175869,-0.016799,2.509572,12.705152,-0.031220,0.236553,0.022598,0.099972,0.237740,2,approach0
30.166,-3.692306,7.176715,-0.014376,2.538151,12.705792,-0.028053,0.260940,0.026042,0.104409,0.262369,2,approach0
30.266,-3.666060,7.177767,-0.011591,2.564835,12.706513,-0.025033,0.285388,0.028806,0.105588,0.286986,2,approach0
30.366,-3.637406,7.179015,-0.008517,2.593904,12.707412,-0.021706,0.309982,0.031969,0.107868,0.311794,2,approach0
30.468,-3.606350,7.180497,-0.005127,2.625399,12.708525,-0.018080,0.334452,0.034318,0.107325,0.336387,2,approach0
30.570,-3.572758,7.182210,-0.001476,2.659233,12.709829,-0.014171,0.357565,0.035430,0.103667,0.359495,2,approach0
30.670,-3.536757,7.184142,0.002358,2.695508,12.711337,-0.010031,0.382071,0.036950,0.101199,0.384036,2,approach0
30.770,-3.498247,7.186311,0.006358,2.734309,12.713052,-0.005722,0.406711,0.037752,0.097158,0.408638,2,approach0
30.872,-3.457361,7.188713,0.010476,2.765969,12.714059,-0.010201,0.431395,0.037703,0.091512,0.433208,2,approach0
30.974,-3.413951,7.191363,0.014685,2.803230,12.714955,-0.011634,0.456005,0.037001,0.084993,0.457657,2,approach0
31.074,-3.368157,7.194222,0.018866,2.849453,12.716621,-0.007291,0.482354,0.031546,0.068563,0.483490,2,approach0
31.174,-3.319975,7.197187,0.022789,2.898103,12.718350,-0.003119,0.505922,0.026213,0.054349,0.506670,2,approach0
31.276,-3.269534,7.200110,0.026160,2.949258,12.719972,0.000407,0.531057,0.016541,0.032694,0.531341,2,approach0
31.378,-3.216616,7.202753,0.028543,3.003005,12.721238,0.002959,0.555299,0.003256,0.006157,0.555309,2,approach0
31.480,-3.161231,7.204964,0.029728,3.059019,12.722014,0.004315,0.572971,-0.008122,-0.014884,0.573035,2,approach0
31.580,-3.103941,7.206734,0.029843,3.116833,12.722309,0.004570,0.586960,-0.019213,-0.034357,0.587307,2,approach0
31.680,-3.045184,7.208014,0.028939,3.175942,12.722097,0.003836,0.595459,-0.029155,-0.051366,0.596245,2,approach0
31.782,-2.985405,7.208761,0.027073,3.225301,12.730302,0.004371,0.599470,-0.038760,-0.067787,0.600850,2,approach0
31.884,-2.925163,7.208889,0.024226,3.278541,12.735118,0.003266,0.600636,-0.047775,-0.083324,0.602727,2,approach0
31.984,-2.864789,7.208388,0.020516,3.338957,12.733362,-0.000158,0.600000,-0.053000,-0.092486,0.602575,2,approach0
32.084,-2.804483,7.207401,0.016327,3.399402,12.731147,-0.004117,0.600000,-0.053905,-0.094055,0.602664,2,approach0
32.184,-2.744345,7.206129,0.012080,3.459717,12.728716,-0.008102,0.600000,-0.050932,-0.088897,0.602379,2,approach0
32.286,-2.684241,7.204728,0.008066,3.532216,12.725630,-0.012655,0.600000,-0.047993,-0.083792,0.602113,2,approach0
32.386,-2.624154,7.203205,0.004277,3.558696,12.740207,-0.006956,0.600000,-0.052243,-0.091172,0.602502,2,approach0
32.486,-2.564289,7.201238,0.000068,3.610554,12.741886,-0.008803,0.600000,-0.060135,-0.104850,0.603313,2,approach0
32.588,-2.504332,7.198698,-0.004739,3.670935,12.738869,-0.013289,0.600000,-0.056460,-0.098485,0.602922,2,approach0
32.688,-2.444257,7.195966,-0.009351,3.731263,12.735719,-0.017579,0.600000,-0.052838,-0.092205,0.602560,2,approach0
32.788,-2.384208,7.193097,-0.013707,3.791663,12.732435,-0.021701,0.600000,-0.049242,-0.085962,0.602224,2,approach0
32.888,-2.324185,7.190095,-0.017819,3.847178,12.732464,-0.024601,0.600000,-0.046867,-0.081833,0.602015,2,approach0
32.990,-2.264171,7.186969,-0.021702,3.906279,12.729879,-0.027912,0.600000,-0.045270,-0.079058,0.601880,2,approach0
33.090,-2.204170,7.183722,-0.025362,3.966590,12.726423,-0.031158,0.600000,-0.024105,-0.042159,0.600534,2,approach0
33.190,-2.144343,7.181001,-0.027624,4.026862,12.723527,-0.032916,0.600000,-0.022797,-0.039873,0.600477,2,approach0
33.292,-2.084382,7.178319,-0.029558,4.087074,12.720587,-0.034526,0.600000,-0.021951,-0.038395,0.600443,2,approach0
33.392,-2.024424,7.175579,-0.031384,4.127619,12.702544,-0.046811,0.600000,-0.013372,-0.023397,0.600164,2,approach0
33.492,-1.964467,7.173222,-0.032264,4.182873,12.695585,-0.049840,0.600000,-0.001181,-0.002066,0.600001,2,approach0
33.594,-1.904491,7.171324,-0.032192,4.243110,12.692679,-0.049415,0.600000,-0.001765,-0.003089,0.600003,2,approach0
33.694,-1.844520,7.169455,-0.032074,4.303350,12.689799,-0.049091,0.600000,-0.002577,-0.004510,0.600006,2,approach0
33.794,-1.784548,7.167590,-0.031962,4.363590,12.686933,-0.048815,0.600000,-0.003152,-0.005517,0.600009,2,approach0
33.894,-1.724576,7.165729,-0.031856,4.402020,12.704036,-0.033918,0.600000,-0.013661,-0.023903,0.600171,2,approach0
33.996,-1.664636,7.163591,-0.032294,4.456735,12.706854,-0.030761,0.600679,-0.024669,-0.043095,0.601237,2,approach0
34.096,-1.604612,7.160909,-0.033697,4.517085,12.704193,-0.032076,0.600000,-0.026697,-0.046686,0.600654,2,approach0
34.196,-1.544636,7.157998,-0.035373,4.577377,12.701437,-0.033541,0.600000,-0.026264,-0.045929,0.600633,2,approach0
34.298,-1.484664,7.155033,-0.036952,4.637610,12.698645,-0.034852,0.600000,-0.025923,-0.045334,0.600617,2,approach0
34.398,-1.424689,7.152021,-0.038448,4.684625,12.695520,-0.036300,0.600000,-0.025261,-0.044178,0.600586,2,approach0
34.498,-1.364712,7.148955,-0.039880,4.741583,12.692557,-0.037566,0.600000,-0.024410,-0.042691,0.600547,2,approach0
34.600,-1.304751,7.145845,-0.041234,4.801815,12.689641,-0.038670,0.600000,-0.024156,-0.042248,0.600536,2,approach0
34.700,-1.244792,7.142692,-0.042514,4.862043,12.686697,-0.039612,0.600000,-0.023960,-0.041905,0.600527,2,approach0
34.800,-1.184909,7.139487,-0.043756,4.922385,12.683705,-0.040567,0.600000,-0.023849,-0.041712,0.600522,2,approach0
34.900,-1.125034,7.136197,-0.045018,4.966253,12.662306,-0.043520,0.600000,-0.018403,-0.032194,0.600311,2,approach0
35.002,-1.035111,7.131276,-0.046600,5.022367,12.654576,-0.044795,0.600000,-0.010280,-0.017934,0.600097,2,approach0
35.102,-0.975190,7.128086,-0.047345,5.082595,12.651523,-0.045308,0.600000,-0.011047,-0.018134,0.600099,2,approach0
35.202,-0.915268,7.124874,-0.048049,5.142824,12.648469,-0.045797,0.600000,-0.010933,-0.019171,0.600110,2,approach0
35.304,-0.855348,7.121641,-0.048713,5.203052,12.645392,-0.046252,0.600000,-0.010833,-0.019003,0.600108,2,approach0
35.404,-0.795427,7.118387,-0.049339,5.241919,12.642103,-0.042415,0.600000,-0.013256,-0.021008,0.600132,2,approach0
35.504,-0.735502,7.115113,-0.049930,5.296811,12.639277,-0.041739,0.600000,-0.013972,-0.024345,0.600178,2,approach0
35.606,-0.675577,7.111822,-0.050489,5.369072,12.635969,-0.042092,0.600000,-0.014135,-0.024582,0.600181,2,approach0
35.706,-0.615651,7.108513,-0.051018,5.429317,12.633203,-0.042364,0.600000,-0.014304,-0.024927,0.600186,2,approach0
35.806,-0.555727,7.105188,-0.051518,5.489560,12.630421,-0.042654,0.600000,-0.013706,-0.024408,0.600179,2,approach0
35.908,-0.495807,7.101848,-0.051990,5.547249,12.617672,-0.047650,0.600000,-0.007286,-0.012750,0.600049,2,approach0
36.008,-0.435897,7.098503,-0.052419,5.607480,12.614625,-0.047805,0.600000,-0.005771,-0.009932,0.600030,2,approach0
36.108,-0.375988,7.095158,-0.052799,5.667714,12.611609,-0.047879,0.600000,-0.006107,-0.010478,0.600033,2,approach0
36.208,-0.316079,7.091802,-0.053157,5.727947,12.608588,-0.047955,0.600000,-0.006489,-0.011071,0.600037,2,approach0
36.310,-0.256170,7.088435,-0.053494,5.788180,12.605562,-0.048075,0.600000,-0.006912,-0.012096,0.600044,2,approach0
36.410,-0.196260,7.085057,-0.053812,5.841462,12.601386,-0.039384,0.600000,-0.013108,-0.022934,0.600158,2,approach0
36.510,-0.136344,7.081646,-0.054158,5.901718,12.598870,-0.039572,0.600000,-0.015720,-0.027502,0.600227,2,approach0
36.612,-0.076406,7.078150,-0.054619,5.961971,12.596289,-0.039722,0.600000,-0.017070,-0.029864,0.600268,2,approach0
36.712,-0.016375,7.074539,-0.055235,6.022219,12.593611,-0.040047,0.600000,-0.018487,-0.032342,0.600314,2,approach0
36.812,0.043709,7.070797,-0.056022,6.082461,12.590829,-0.040538,0.600000,-0.019752,-0.034552,0.600358,2,approach0
36.914,0.103657,7.066961,-0.056916,6.121296,12.581869,-0.051363,0.583433,-0.003264,-0.005874,0.583443,2,approach0
37.014,0.161818,7.063612,-0.056975,6.179783,12.578877,-0.051191,0.567296,0.000869,0.001608,0.567297,2,approach0
37.114,0.218036,7.060570,-0.056660,6.236407,12.576189,-0.050696,0.544243,0.002816,0.005433,0.544252,2,approach0
37.214,0.272121,7.057768,-0.056156,6.290770,12.573738,-0.050005,0.524044,0.004047,0.008108,0.524061,2,approach0
37.316,0.324183,7.055161,-0.055548,6.343221,12.571485,-0.049155,0.503949,0.004410,0.009188,0.503971,2,approach0
37.416,0.374255,7.052745,-0.054845,6.381836,12.564302,-0.046256,0.483853,0.006515,0.014136,0.483901,2,approach0
37.516,0.422408,7.050564,-0.053961,6.430229,12.562565,-0.045154,0.462304,0.008254,0.018744,0.462385,2,approach0
37.618,0.468487,7.048639,-0.052882,6.476405,12.561081,-0.043903,0.440645,0.008606,0.020504,0.440738,2,approach0
37.718,0.512173,7.046920,-0.051744,6.520550,12.559784,-0.042536,0.420427,0.008512,0.021256,0.420522,2,approach0
37.818,0.553775,7.045334,-0.050664,6.562546,12.558606,-0.041214,0.400261,0.007981,0.020932,0.400349,2,approach0
37.920,0.593397,7.043886,-0.049594,6.613283,12.553817,-0.048386,0.378752,0.010701,0.029656,0.378918,2,approach0
38.020,0.631032,7.042652,-0.048383,6.651018,12.552652,-0.047009,0.357197,0.011094,0.032599,0.357387,2,approach0
38.120,0.666465,7.041611,-0.047090,6.686651,12.551684,-0.045483,0.335443,0.012271,0.038390,0.335690,2,approach0
38.222,0.699645,7.040743,-0.045756,6.720069,12.550894,-0.043910,0.313882,0.011252,0.037623,0.314105,2,approach0
38.322,0.730625,7.039978,-0.044499,6.751334,12.550206,-0.042373,0.292192,0.010213,0.036684,0.292389,2,approach0
38.422,0.759611,7.039470,-0.042985,6.814416,12.514975,-0.068974,0.269036,0.025066,0.097519,0.270320,2,approach0
