t,step,phase,cmd_deg,joint_deg,x,y,yaw,elapsed
1.0380,settle,standstill,0.0000,-0.0000,-10.499997,0.000000,0.000000,0.000
1.0880,settle,standstill,0.0000,-0.0000,-10.499997,0.000000,0.000000,0.050
1.1380,settle,standstill,0.0000,-0.0000,-10.499997,0.000000,0.000000,0.100
1.1880,settle,standstill,0.0000,-0.0000,-10.499997,0.000000,0.000000,0.150
1.2380,settle,standstill,0.0000,-0.0000,-10.499997,0.000000,0.000000,0.200
1.2880,settle,standstill,0.0000,-0.0000,-10.499997,0.000000,0.000000,0.250
1.3380,settle,standstill,0.0000,-0.0000,-10.499997,0.000000,0.000000,0.300
1.3880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.350
1.4380,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.400
1.4880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.450
1.5380,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.500
1.5880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.550
1.6380,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.600
1.6880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.650
1.7380,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.700
1.7880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.750
1.8380,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.800
1.8880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.850
1.9380,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.900
1.9880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,0.950
2.0380,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,0.000000,1.000
2.0880,settle,standstill,0.0000,-0.0000,-10.499996,0.000000,-0.000000,1.050
2.1380,settle,standstill,0.0000,-0.0000,-10.499996,-0.000000,-0.000000,1.100
2.1880,settle,standstill,0.0000,-0.0000,-10.499996,-0.000000,-0.000000,1.150
2.2380,settle,standstill,0.0000,-0.0000,-10.499996,-0.000000,-0.000000,1.200
2.2880,settle,standstill,0.0000,-0.0000,-10.499996,-0.000000,-0.000000,1.250
2.3380,settle,standstill,0.0000,-0.0000,-10.499996,-0.000000,-0.000000,1.300
2.3880,settle,standstill,0.0000,-0.0000,-10.499996,-0.000000,-0.000000,1.350
2.4380,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.400
2.4880,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.450
2.5380,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.500
2.5880,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.550
2.6380,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.600
2.6880,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.650
2.7380,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.700
2.7880,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.750
2.8380,settle,standstill,0.0000,-0.0000,-10.499995,-0.000000,-0.000000,1.800
2.8880,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,1.850
2.9380,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,1.900
2.9880,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,1.950
3.0380,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,2.000
3.0880,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,2.050
3.1380,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,2.100
3.1880,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,2.150
3.2380,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,2.200
3.2880,settle,standstill,0.0000,-0.0000,-10.499994,-0.000000,-0.000000,2.250
3.3380,settle,standstill,0.0000,-0.0000,-10.499993,-0.000000,-0.000000,2.300
3.3880,settle,standstill,0.0000,-0.0000,-10.499993,-0.000000,-0.000000,2.350
3.4380,settle,standstill,0.0000,-0.0000,-10.499993,-0.000000,-0.000000,2.400
3.4880,settle,standstill,0.0000,-0.0000,-10.499993,-0.000000,-0.000000,2.450
3.5380,settle,standstill,0.0000,-0.0000,-10.499993,-0.000000,-0.000000,2.500
3.5880,settle,standstill,0.0000,-0.0000,-10.499993,-0.000000,-0.000000,2.550
3.6380,settle,standstill,0.0000,-0.0000,-10.499993,-0.000000,-0.000000,2.600
3.6880,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,2.650
3.7380,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,2.700
3.7880,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,2.750
3.8380,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,2.800
3.8880,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,2.850
3.9380,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,2.900
3.9880,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,2.950
4.0380,stand+0.5,standstill,0.5000,-0.0000,-10.499991,-0.000000,-0.000000,0.000
4.0880,stand+0.5,standstill,0.5000,0.4717,-10.499991,-0.000000,-0.000000,0.050
4.1380,stand+0.5,standstill,0.5000,0.4902,-10.499991,-0.000000,-0.000000,0.100
4.1880,stand+0.5,standstill,0.5000,0.4912,-10.499991,-0.000000,-0.000000,0.150
4.2380,stand+0.5,standstill,0.5000,0.4914,-10.499991,-0.000000,-0.000000,0.200
4.2880,stand+0.5,standstill,0.5000,0.4915,-10.499991,-0.000000,-0.000000,0.250
4.3380,stand+0.5,standstill,0.5000,0.4916,-10.499991,-0.000000,-0.000000,0.300
4.3880,stand+0.5,standstill,0.5000,0.4917,-10.499990,-0.000000,-0.000000,0.350
4.4380,stand+0.5,standstill,0.5000,0.4918,-10.499990,-0.000000,-0.000000,0.400
4.4880,stand+0.5,standstill,0.5000,0.4919,-10.499990,-0.000000,-0.000000,0.450
4.5380,stand+0.5,standstill,0.5000,0.4920,-10.499990,-0.000000,-0.000000,0.500
4.5880,stand+0.5,standstill,0.5000,0.4921,-10.499990,-0.000000,-0.000000,0.550
4.6380,stand+0.5,standstill,0.5000,0.4922,-10.499990,-0.000000,-0.000000,0.600
4.6880,stand+0.5,standstill,0.5000,0.4923,-10.499989,-0.000000,-0.000000,0.650
4.7380,stand+0.5,standstill,0.5000,0.4924,-10.499989,-0.000000,-0.000000,0.700
4.7880,stand+0.5,standstill,0.5000,0.4925,-10.499989,-0.000000,-0.000000,0.750
4.8380,stand+0.5,standstill,0.5000,0.4926,-10.499989,-0.000000,-0.000000,0.800
4.8880,stand+0.5,standstill,0.5000,0.4927,-10.499989,-0.000000,-0.000000,0.850
4.9380,stand+0.5,standstill,0.5000,0.4928,-10.499989,-0.000000,-0.000000,0.900
4.9880,stand+0.5,standstill,0.5000,0.4929,-10.499989,-0.000000,-0.000000,0.950
5.0380,stand+0.5,standstill,0.5000,0.4929,-10.499988,-0.000000,-0.000000,1.000
