t,step,phase,cmd_deg,joint_deg,x,y,yaw,elapsed
4.1400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.000
4.1900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.050
4.2400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.100
4.2900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.150
4.3400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.200
4.3900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.250
4.4400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.300
4.4900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.350
4.5400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.400
4.5900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.450
4.6400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.500
4.6900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.550
4.7400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.600
4.7900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.650
4.8400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.700
4.8900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.750
4.9400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.800
4.9900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.850
5.0400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.900
5.0900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.950
5.1400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.000
5.1900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.050
5.2400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.100
5.2900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.150
5.3400,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.200
5.3900,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.250
