t,step,phase,cmd_deg,joint_deg,x,y,yaw,elapsed
3.8840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.000
3.9340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.050
3.9840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.100
4.0340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.150
4.0840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.200
4.1340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.250
4.1840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.300
4.2340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.350
4.2840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.400
4.3340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.450
4.3840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.500
4.4340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.550
4.4840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.600
4.5340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.650
4.5840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.700
4.6340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.750
4.6840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.800
4.7340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.850
4.7840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.900
4.8340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.950
4.8840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.000
4.9340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.050
4.9840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.100
5.0340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.150
5.0840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.200
5.1340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.250
5.1840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.300
5.2340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.350
5.2840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.400
5.3340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.450
5.3840,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.500
5.4340,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.550
