t,step,phase,cmd_deg,joint_deg,x,y,yaw,elapsed
3.9720,settle,standstill,0.0000,-0.0000,-10.499992,-0.000000,-0.000000,0.000
4.0220,settle,standstill,0.0000,-0.0000,-10.499991,-0.000000,-0.000000,0.050
4.0720,settle,standstill,0.0000,-0.0000,-10.499991,-0.000000,-0.000000,0.100
4.1220,settle,standstill,0.0000,-0.0000,-10.499991,-0.000000,-0.000000,0.150
4.1720,settle,standstill,0.0000,-0.0000,-10.499991,-0.000000,-0.000000,0.200
4.2220,settle,standstill,0.0000,-0.0000,-10.499991,-0.000000,-0.000000,0.250
4.2720,settle,standstill,0.0000,-0.0000,-10.499991,-0.000000,-0.000000,0.300
4.3220,settle,standstill,0.0000,-0.0000,-10.499991,-0.000000,-0.000000,0.350
4.3720,settle,standstill,0.0000,-0.0000,-10.499990,-0.000000,-0.000000,0.400
4.4220,settle,standstill,0.0000,-0.0000,-10.499990,-0.000000,-0.000000,0.450
4.4720,settle,standstill,0.0000,-0.0000,-10.499990,-0.000000,-0.000000,0.500
4.5220,settle,standstill,0.0000,-0.0000,-10.499990,-0.000000,-0.000000,0.550
4.5720,settle,standstill,0.0000,-0.0000,-10.499990,-0.000000,-0.000000,0.600
4.6220,settle,standstill,0.0000,-0.0000,-10.499990,-0.000000,-0.000000,0.650
4.6720,settle,standstill,0.0000,-0.0000,-10.499989,-0.000000,-0.000000,0.700
4.7220,settle,standstill,0.0000,-0.0000,-10.499989,-0.000000,-0.000000,0.750
4.7720,settle,standstill,0.0000,-0.0000,-10.499989,-0.000000,-0.000000,0.800
4.8220,settle,standstill,0.0000,-0.0000,-10.499989,-0.000000,-0.000000,0.850
4.8720,settle,standstill,0.0000,-0.0000,-10.499989,-0.000000,-0.000000,0.900
4.9220,settle,standstill,0.0000,-0.0000,-10.499989,-0.000000,-0.000000,0.950
4.9720,settle,standstill,0.0000,-0.0000,-10.499989,-0.000000,-0.000000,1.000
5.0220,settle,standstill,0.0000,-0.0000,-10.499988,-0.000000,-0.000000,1.050
5.0720,settle,standstill,0.0000,-0.0000,-10.499988,-0.000000,-0.000000,1.100
5.1220,settle,standstill,0.0000,-0.0000,-10.499988,-0.000000,-0.000000,1.150
5.1720,settle,standstill,0.0000,-0.0000,-10.499988,-0.000000,-0.000000,1.200
5.2220,settle,standstill,0.0000,-0.0000,-10.499988,-0.000000,-0.000000,1.250
5.2720,settle,standstill,0.0000,-0.0000,-10.499987,-0.000000,-0.000000,1.300
5.3220,settle,standstill,0.0000,-0.0000,-10.499987,-0.000000,-0.000000,1.350
5.3720,settle,standstill,0.0000,-0.0000,-10.499987,-0.000000,-0.000000,1.400
5.4220,settle,standstill,0.0000,-0.0000,-10.499987,-0.000000,-0.000000,1.450
5.4720,settle,standstill,0.0000,-0.0000,-10.499987,-0.000000,-0.000000,1.500
5.5220,settle,standstill,0.0000,-0.0000,-10.499987,-0.000000,-0.000000,1.550
5.5720,settle,standstill,0.0000,-0.0000,-10.499986,-0.000000,-0.000000,1.600
5.6220,settle,standstill,0.0000,-0.0000,-10.499986,-0.000000,-0.000000,1.650
