t,step,phase,cmd_deg,joint_deg,x,y,yaw,elapsed
4.2820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.000
4.3320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.050
4.3820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.100
4.4320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.150
4.4820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.200
4.5320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.250
4.5820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.300
4.6320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.350
4.6820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.400
4.7320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.450
4.7820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.500
4.8320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.550
4.8820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.600
4.9320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.650
4.9820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.700
5.0320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.750
5.0820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.800
5.1320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.850
5.1820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.900
5.2320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,0.950
5.2820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.000
5.3320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.050
5.3820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.100
5.4320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.150
5.4820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.200
5.5320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.250
5.5820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.300
5.6320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.350
5.6820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.400
5.7320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.450
5.7820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.500
5.8320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.550
5.8820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.600
5.9320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.650
5.9820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.700
6.0320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.750
6.0820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.800
6.1320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.850
6.1820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.900
6.2320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,1.950
6.2820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.000
6.3320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.050
6.3820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.100
6.4320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.150
6.4820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.200
6.5320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.250
6.5820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.300
6.6320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.350
6.6820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.400
6.7320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.450
6.7820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.500
6.8320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.550
6.8820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.600
6.9320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.650
6.9820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.700
7.0320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.750
7.0820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.800
7.1320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.850
7.1820,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.900
7.2320,settle,standstill,0.0000,0.0000,-8.000000,7.000000,-0.000000,2.950
7.2820,stand+0.5,standstill,0.5000,0.0000,-8.000000,7.000000,-0.000000,0.000
7.3320,stand+0.5,standstill,0.5000,0.1178,-7.999999,7.000000,-0.000000,0.050
7.3820,stand+0.5,standstill,0.5000,0.1182,-7.999999,7.000000,-0.000000,0.100
7.4320,stand+0.5,standstill,0.5000,0.1186,-7.999999,7.000000,-0.000000,0.150
7.4820,stand+0.5,standstill,0.5000,0.1190,-7.999999,7.000000,-0.000000,0.200
7.5320,stand+0.5,standstill,0.5000,0.1194,-7.999999,7.000000,-0.000000,0.250
7.5820,stand+0.5,standstill,0.5000,0.1197,-7.999999,7.000000,-0.000000,0.300
7.6320,stand+0.5,standstill,0.5000,0.1201,-7.999999,7.000000,-0.000000,0.350
7.6820,stand+0.5,standstill,0.5000,0.1205,-7.999999,7.000000,-0.000000,0.400
7.7320,stand+0.5,standstill,0.5000,0.1209,-7.999999,7.000000,-0.000000,0.450
7.7820,stand+0.5,standstill,0.5000,0.1213,-7.999999,7.000000,-0.000000,0.500
7.8320,stand+0.5,standstill,0.5000,0.1217,-7.999999,7.000000,-0.000000,0.550
7.8820,stand+0.5,standstill,0.5000,0.1220,-7.999999,7.000000,-0.000000,0.600
7.9320,stand+0.5,standstill,0.5000,0.1224,-7.999999,7.000000,-0.000000,0.650
7.9820,stand+0.5,standstill,0.5000,0.1228,-7.999999,7.000000,-0.000000,0.700
8.0320,stand+0.5,standstill,0.5000,0.1232,-7.999999,7.000000,-0.000000,0.750
8.0820,stand+0.5,standstill,0.5000,0.1236,-7.999999,7.000000,-0.000000,0.800
8.1320,stand+0.5,standstill,0.5000,0.1240,-7.999999,7.000000,-0.000000,0.850
8.1820,stand+0.5,standstill,0.5000,0.1244,-7.999999,7.000000,-0.000000,0.900
8.2320,stand+0.5,standstill,0.5000,0.1247,-7.999999,7.000000,-0.000000,0.950
8.2820,stand+0.5,standstill,0.5000,0.1251,-7.999999,7.000000,-0.000000,1.000
8.3320,stand+0.5,standstill,0.5000,0.1255,-7.999999,7.000000,-0.000000,1.050
8.3820,stand+0.5,standstill,0.5000,0.1259,-7.999999,7.000000,-0.000000,1.100
8.4320,stand+0.5,standstill,0.5000,0.1263,-7.999999,7.000000,-0.000000,1.150
8.4820,stand+0.5,standstill,0.5000,0.1267,-7.999999,7.000000,-0.000000,1.200
8.5320,stand+0.5,standstill,0.5000,0.1271,-7.999999,7.000000,-0.000000,1.250
8.5820,stand+0.5,standstill,0.5000,0.1274,-7.999999,7.000000,-0.000000,1.300
8.6320,stand+0.5,standstill,0.5000,0.1278,-7.999999,7.000000,-0.000000,1.350
8.6820,stand-0.5,standstill,-0.5000,0.1282,-7.999999,7.000000,-0.000000,0.000
8.7320,stand-0.5,standstill,-0.5000,-0.1040,-8.000001,7.000000,-0.000000,0.050
8.7820,stand-0.5,standstill,-0.5000,-0.1044,-8.000001,7.000000,-0.000000,0.100
8.8320,stand-0.5,standstill,-0.5000,-0.1047,-8.000001,7.000000,-0.000000,0.150
8.8820,stand-0.5,standstill,-0.5000,-0.1051,-8.000001,7.000000,-0.000000,0.200
8.9320,stand-0.5,standstill,-0.5000,-0.1055,-8.000001,7.000000,-0.000000,0.250
8.9820,stand-0.5,standstill,-0.5000,-0.1059,-8.000001,7.000000,-0.000000,0.300
9.0320,stand-0.5,standstill,-0.5000,-0.1063,-8.000001,7.000000,-0.000000,0.350
9.0820,stand-0.5,standstill,-0.5000,-0.1067,-8.000001,7.000000,-0.000000,0.400
9.1320,stand-0.5,standstill,-0.5000,-0.1070,-8.000001,7.000000,-0.000000,0.450
9.1820,stand-0.5,standstill,-0.5000,-0.1074,-8.000001,7.000000,-0.000000,0.500
9.2320,stand-0.5,standstill,-0.5000,-0.1078,-8.000001,7.000000,-0.000000,0.550
9.2820,stand-0.5,standstill,-0.5000,-0.1082,-8.000001,7.000000,-0.000000,0.600
9.3320,stand-0.5,standstill,-0.5000,-0.1086,-8.000001,7.000000,-0.000000,0.650
9.3820,stand-0.5,standstill,-0.5000,-0.1090,-8.000001,7.000000,-0.000000,0.700
9.4320,stand-0.5,standstill,-0.5000,-0.1094,-8.000001,7.000000,-0.000000,0.750
9.4820,stand-0.5,standstill,-0.5000,-0.1097,-8.000001,7.000000,-0.000000,0.800
9.5320,stand-0.5,standstill,-0.5000,-0.1101,-8.000001,7.000000,-0.000000,0.850
9.5820,stand-0.5,standstill,-0.5000,-0.1105,-8.000001,7.000000,-0.000000,0.900
9.6320,stand-0.5,standstill,-0.5000,-0.1109,-8.000001,7.000000,-0.000000,0.950
