t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
30.124,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.011628,0.000000,0.000000,nan,nan,0
30.226,0.999915,7.000000,0.000000,7.084302,12.533328,-0.011628,-0.025000,0.000115,-0.004848,-0.025000,0
30.328,0.997200,7.000000,0.000000,7.081164,12.533362,-0.011863,-0.046833,-0.000594,0.013314,-0.046838,0
30.430,0.992134,6.999997,-0.000006,7.075683,12.533420,-0.012082,-0.067818,-0.001622,0.025114,-0.067840,0
30.532,0.984828,6.999990,-0.000019,7.068019,12.533501,-0.012389,-0.092525,-0.003294,0.037369,-0.092589,0
30.634,0.975230,6.999977,-0.000048,7.057965,12.533604,-0.012641,-0.114348,-0.002306,0.021171,-0.114374,0
30.734,0.963301,6.999956,-0.000089,7.045671,12.533733,-0.012852,-0.135974,-0.002664,0.020572,-0.136002,0
30.834,0.949117,6.999930,-0.000146,7.031161,12.533879,-0.013138,-0.160567,-0.002088,0.013656,-0.160581,0
30.936,0.932657,6.999898,-0.000216,7.014289,12.534053,-0.013421,-0.183731,-0.003059,0.017478,-0.183759,0
31.038,0.913877,6.999857,-0.000307,6.995169,12.534255,-0.013832,-0.206789,-0.003605,0.018303,-0.206823,0
31.138,0.892806,6.999808,-0.000422,6.973648,12.534478,-0.014236,-0.230040,-0.004049,0.018481,-0.230079,0
31.238,0.869358,6.999749,-0.000563,6.949767,12.534734,-0.014608,-0.253191,-0.004089,0.016955,-0.253228,0
31.340,0.843621,6.999681,-0.000730,6.923671,12.535018,-0.014999,-0.276342,-0.003612,0.013724,-0.276368,0
31.442,0.815555,6.999610,-0.000919,6.895134,12.535326,-0.015393,-0.301025,-0.003484,0.012152,-0.301047,0
31.544,0.784998,6.999534,-0.001133,6.864238,12.535672,-0.015888,-0.333339,-0.003860,0.012517,-0.324204,0
31.644,0.752152,6.999457,-0.001369,6.830900,12.536063,-0.016379,-0.358021,-0.003920,0.010641,-0.347344,0
31.744,0.716869,6.999379,-0.001631,6.795202,12.536500,-0.016885,-0.381270,-0.004465,0.013199,-0.372045,0
31.846,0.679222,6.999301,-0.001921,6.749163,12.537088,-0.017488,-0.405858,-0.003451,0.011070,-0.396626,0
31.948,0.639152,6.999225,-0.002239,6.708108,12.537620,-0.018080,-0.430542,-0.004764,0.010427,-0.421304,0
32.048,0.596569,6.999153,-0.002589,6.664602,12.538196,-0.018652,-0.455215,-0.004236,0.011043,-0.444548,0
