t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
30.124,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.007326,0.000000,0.000000,nan,nan,0
30.226,0.999666,7.000000,-0.000000,7.083725,12.533330,-0.007341,-0.025000,-0.000019,0.000799,-0.025000,0
30.328,0.996637,7.000008,0.000016,7.080202,12.533374,-0.007014,-0.044864,0.001608,-0.037609,-0.044896,0
30.430,0.991511,7.000179,0.000360,7.074490,12.533583,-0.006410,-0.067795,0.005367,-0.082937,-0.068029,0
30.532,0.983949,7.000449,0.000910,7.066400,12.533920,-0.005576,-0.089381,0.006867,-0.080491,-0.089672,0
30.634,0.974083,7.000796,0.001629,7.056117,12.534342,-0.004577,-0.126318,0.009569,-0.075197,-0.112779,0
30.734,0.961926,7.001219,0.002525,7.043455,12.534853,-0.003353,-0.149407,0.011685,-0.077923,-0.135871,0
30.834,0.947459,7.001718,0.003611,7.028590,12.535445,-0.001942,-0.172483,0.012797,-0.081054,-0.160504,0
30.936,0.930658,7.002286,0.004890,7.011350,12.536111,-0.000473,-0.195562,0.014045,-0.076233,-0.183583,0
31.038,0.911547,7.002911,0.006353,6.991726,12.536842,0.001216,-0.220084,0.015357,-0.076374,-0.206833,0
31.138,0.890127,7.003575,0.007987,6.969881,12.537617,0.003060,-0.243162,0.017138,-0.073115,-0.229927,0
31.238,0.866360,7.004266,0.009792,6.945481,12.538431,0.005134,-0.267785,0.018879,-0.072258,-0.254502,0
31.340,0.840111,7.004978,0.011781,6.918690,12.539268,0.007326,-0.292405,0.020542,-0.073631,-0.293199,0
31.442,0.811404,7.005704,0.013970,6.889481,12.540113,0.009741,-0.317022,0.022297,-0.073714,-0.317885,0
31.544,0.780338,7.006426,0.016348,6.857877,12.540957,0.012293,-0.340190,0.022021,-0.067863,-0.340975,0
31.644,0.746923,7.007071,0.018804,6.823895,12.541701,0.014925,-0.363375,0.022396,-0.064623,-0.364135,0
31.744,0.710981,7.007606,0.021304,6.787512,12.542345,0.017692,-0.387980,0.023977,-0.064799,-0.388796,0
31.846,0.672753,7.008068,0.023943,6.740768,12.543011,0.021117,-0.412717,0.023237,-0.059049,-0.413437,0
31.948,0.631966,7.008377,0.026608,6.699019,12.543351,0.023940,-0.436032,0.021635,-0.052052,-0.436623,0
32.048,0.588917,7.008436,0.029111,6.654677,12.543437,0.026602,-0.460761,0.019767,-0.045015,-0.461228,0
32.148,0.543463,7.008216,0.031408,6.608060,12.543198,0.028992,-0.487055,0.015522,-0.033451,-0.487327,0
32.248,0.495497,7.007626,0.033335,6.558883,12.542580,0.031038,-0.511946,0.010907,-0.022367,-0.512074,0
32.350,0.445150,7.006644,0.034806,6.507116,12.541520,0.032525,-0.536813,0.003074,-0.006012,-0.536823,0
32.450,0.392326,7.005163,0.035570,6.452902,12.539889,0.033227,-0.563184,-0.008744,0.016300,-0.563259,0
32.550,0.337051,7.003043,0.035260,6.394812,12.543530,0.025395,-0.587854,-0.025505,0.045525,-0.588464,0
32.652,0.249330,6.998545,0.032226,6.333700,12.550498,0.012433,-0.600000,-0.016592,0.029028,-0.600253,0
32.752,0.189318,6.995751,0.030393,6.273481,12.548822,0.010684,-0.600000,-0.010926,0.019119,-0.600110,0
32.852,0.129373,6.993174,0.028790,6.213243,12.547375,0.009400,-0.600000,-0.011293,0.019759,-0.600117,0
32.952,0.069484,6.990680,0.027162,6.153001,12.545979,0.007988,-0.600000,-0.011888,0.020801,-0.600130,0
33.054,0.009588,6.988269,0.025505,6.092754,12.544654,0.006557,-0.600000,-0.012651,0.022136,-0.600147,0
33.154,-0.050340,6.985925,0.023783,6.027747,12.536762,0.008565,-0.600000,-0.013458,0.023547,-0.600166,0
33.254,-0.109198,6.983580,0.021791,5.961206,12.525023,0.012159,-0.573588,-0.027755,0.050764,-0.574328,0
33.356,-0.166133,6.981126,0.019227,5.903895,12.523076,0.009930,-0.551719,-0.031577,0.060024,-0.552715,0
33.456,-0.220887,6.978682,0.016290,5.848698,12.521091,0.007204,-0.534432,-0.033486,0.065695,-0.535587,0
33.556,-0.273704,6.976354,0.013198,5.795236,12.519184,0.004298,-0.514075,-0.035228,0.071830,-0.515404,0
33.658,-0.324609,6.974146,0.009967,5.736693,12.514835,0.001123,-0.495269,-0.036107,0.076400,-0.496718,0
33.758,-0.373581,6.972063,0.006617,5.676625,12.509341,-0.002294,-0.475146,-0.038992,0.085955,-0.476907,0
33.858,-0.420563,6.970001,0.002950,5.629107,12.507650,-0.005738,-0.454894,-0.042649,0.098127,-0.457093,0
33.958,-0.465603,6.967940,-0.001084,5.583478,12.505930,-0.009504,-0.434420,-0.045894,0.110475,-0.437084,0
34.060,-0.508611,6.965865,-0.005510,5.540045,12.504176,-0.013608,-0.415275,-0.049105,0.123527,-0.418463,0
34.160,-0.549660,6.963815,-0.010250,5.510316,12.504599,-0.021231,-0.394649,-0.053909,0.142457,-0.398688,0
34.260,-0.588747,6.961723,-0.015428,5.488393,12.506355,-0.030789,-0.375412,-0.055426,0.153799,-0.379896,0
34.362,-0.625883,6.959693,-0.020827,5.450882,12.504859,-0.035950,-0.354828,-0.058772,0.172194,-0.360154,0
34.462,-0.660996,6.957645,-0.026581,5.415360,12.503300,-0.041446,-0.332446,-0.061816,0.192814,-0.338723,0
34.562,-0.693867,6.955617,-0.032574,5.381995,12.501726,-0.047163,-0.313009,-0.061225,0.202565,-0.319542,0
34.664,-0.724630,6.953742,-0.038501,5.355834,12.492585,-0.049190,-0.291026,-0.059394,0.211097,-0.297632,0
34.764,-0.753375,6.952030,-0.044297,5.334194,12.479467,-0.049274,-0.269274,-0.060198,0.230560,-0.276593,0
