t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
28.362,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.008836,0.000000,0.000000,nan,nan,0
28.462,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.008836,0.000000,0.000000,nan,nan,0
28.564,0.999376,7.000034,0.000069,7.083606,12.533348,-0.008834,-0.030297,0.003420,-0.117988,-0.030509,0
28.664,0.995579,7.000104,0.000208,7.080153,12.533439,-0.008973,-0.053988,0.002667,-0.051820,-0.054060,0
28.764,0.989526,7.000212,0.000429,7.074322,12.533594,-0.009032,-0.075612,0.003184,-0.044190,-0.075686,0
28.866,0.981240,7.000360,0.000735,7.064488,12.533855,-0.008915,-0.100036,0.004781,-0.050138,-0.100162,0
28.968,0.970640,7.000548,0.001130,7.053833,12.534141,-0.008754,-0.121905,0.004758,-0.040957,-0.122007,0
29.070,0.957773,7.000771,0.001612,7.040841,12.534491,-0.008528,-0.143510,0.005829,-0.042623,-0.143641,0
29.170,0.942737,7.001029,0.002183,7.025642,12.534896,-0.008203,-0.166554,0.006508,-0.041004,-0.166694,0
29.270,0.925423,7.001319,0.002852,7.008196,12.535358,-0.007757,-0.191127,0.008527,-0.046813,-0.191337,0
29.372,0.905745,7.001642,0.003625,6.988357,12.535885,-0.007199,-0.212916,0.008872,-0.043724,-0.213120,0
29.474,0.883801,7.001994,0.004506,6.966195,12.536468,-0.006524,-0.235950,0.010780,-0.047936,-0.236221,0
29.574,0.859545,7.002372,0.005505,6.941746,12.537108,-0.005693,-0.260608,0.013121,-0.052817,-0.260972,0
29.674,0.832876,7.002776,0.006636,6.914939,12.537802,-0.004832,-0.283725,0.015534,-0.057426,-0.284194,0
29.776,0.803858,7.003203,0.007909,6.885834,12.538550,-0.003803,-0.306844,0.016122,-0.055112,-0.307311,0
29.878,0.772530,7.003646,0.009333,6.854233,12.539355,-0.002599,-0.331386,0.019204,-0.060774,-0.331999,0
29.978,0.738748,7.004107,0.010939,6.820239,12.540207,-0.001250,-0.354582,0.021969,-0.064962,-0.355332,0
30.078,0.702551,7.004582,0.012743,6.783848,12.541113,0.000312,-0.379204,0.024662,-0.068182,-0.380087,0
30.180,0.663970,7.005062,0.014763,6.745013,12.542065,0.002137,-0.403805,0.028786,-0.074712,-0.404935,0
30.282,0.622899,7.005544,0.017030,6.703651,12.543061,0.004220,-0.426954,0.031996,-0.078525,-0.428273,0
30.384,0.579455,7.006017,0.019562,6.660023,12.544078,0.006486,-0.452964,0.036965,-0.085478,-0.454623,0
30.484,0.533428,7.006477,0.022401,6.613692,12.545134,0.009091,-0.477507,0.041585,-0.091189,-0.479500,0
30.584,0.484810,7.006908,0.025590,6.564787,12.546214,0.012040,-0.503566,0.049025,-0.101870,-0.506191,0
30.686,0.433634,7.007300,0.029172,6.502617,12.547515,0.016212,-0.526497,0.055894,-0.111012,-0.529758,0
30.788,0.379949,7.007624,0.033157,6.448073,12.548564,0.020119,-0.555562,0.058056,-0.109288,-0.558896,0
30.888,0.323726,7.007855,0.037590,6.391217,12.549550,0.024351,-0.572103,0.063823,-0.116605,-0.576015,0
30.988,0.265876,7.007962,0.042422,6.333400,12.549566,0.033520,-0.584307,0.068360,-0.122231,-0.588699,0
31.090,0.206923,7.007920,0.047635,6.274071,12.549781,0.039590,-0.593851,0.072467,-0.127437,-0.598706,0
31.192,0.147135,7.007710,0.053234,6.213883,12.550075,0.045029,-0.598451,0.076159,-0.132836,-0.603770,0
31.292,0.086861,7.007317,0.059214,6.153295,12.550197,0.050910,-0.602093,0.080006,-0.138630,-0.607925,0
31.392,0.026253,7.006729,0.065588,6.092243,12.550138,0.057199,-0.604771,0.084415,-0.145525,-0.611232,0
31.494,-0.034643,7.005930,0.072377,6.030985,12.549888,0.063856,-0.608281,0.090493,-0.150417,-0.614445,0
31.596,-0.095774,7.004907,0.079605,5.952484,12.542553,0.074848,-0.608738,0.094589,-0.157129,-0.615695,0
31.698,-0.156976,7.003647,0.087281,5.886674,12.539837,0.083420,-0.609093,0.099808,-0.166283,-0.617834,0
31.798,-0.218293,7.002163,0.095387,5.825014,12.538615,0.091380,-0.600000,0.068291,-0.171897,-0.618054,0
31.898,-0.278951,7.000359,0.103812,5.764421,12.537069,0.099597,-0.600000,0.067281,-0.118281,-0.604222,0
32.000,-0.338795,6.998243,0.112512,5.704320,12.535251,0.108180,-0.600000,0.065969,-0.116342,-0.604084,0
32.100,-0.398550,6.995856,0.121717,5.643500,12.545482,0.107757,-0.600000,0.077050,-0.119272,-0.604293,0
32.200,-0.458299,6.993177,0.131473,5.583254,12.546915,0.115048,-0.600000,0.078575,-0.138456,-0.605797,0
32.300,-0.518040,6.990191,0.141813,5.523202,12.544973,0.125294,-0.599947,0.078240,-0.135194,-0.605525,0
32.402,-0.607423,6.985108,0.158459,5.463255,12.542720,0.136119,-0.599367,0.084888,-0.139953,-0.605706,0
32.502,-0.666899,6.981290,0.170374,5.403428,12.540141,0.147694,-0.598415,0.091583,-0.159332,-0.606092,0
32.602,-0.726238,6.977137,0.182934,5.352073,12.538053,0.153809,-0.597455,0.097534,-0.163732,-0.606122,0
32.702,-0.785439,6.972709,0.196032,5.294500,12.535432,0.165015,-0.595995,0.103813,-0.174779,-0.606111,0
32.804,-0.844432,6.967912,0.209846,5.235096,12.532219,0.178402,-0.595724,0.109690,-0.190980,-0.606756,0
32.904,-0.903311,6.962722,0.224440,5.175875,12.528625,0.192559,-0.593560,0.117901,-0.205618,-0.606332,0
33.004,-0.961933,6.957134,0.239821,5.116694,12.524629,0.207518,-0.592057,0.125456,-0.218928,-0.606534,0
33.106,-1.020264,6.950988,0.256306,5.019207,12.537182,0.205138,-0.589556,0.136262,-0.238080,-0.606669,0
33.206,-1.078354,6.944323,0.273847,4.960590,12.533475,0.222359,-0.587594,0.146160,-0.255474,-0.607305,0
33.306,-1.136099,6.937182,0.292363,4.902212,12.529285,0.240651,-0.582813,0.157124,-0.275858,-0.605713,0
33.408,-1.193402,6.929541,0.311838,4.844261,12.524585,0.259756,-0.579094,0.165752,-0.291950,-0.604682,0
33.508,-1.250179,6.921379,0.332261,4.786664,12.519345,0.279918,-0.573697,0.176815,-0.312977,-0.602989,0
33.608,-1.306421,6.912701,0.353708,4.749780,12.418583,0.383584,-0.567777,0.186541,-0.332191,-0.600612,0
33.708,-1.361903,6.903558,0.376191,4.694230,12.407707,0.405819,-0.560131,0.196543,-0.353001,-0.596938,0
33.810,-1.416972,6.893793,0.399745,4.639509,12.396315,0.429073,-0.551195,0.206107,-0.374133,-0.592157,0
33.910,-1.471221,6.883245,0.423800,4.585665,12.384189,0.452903,-0.544765,0.213774,-0.390839,-0.589196,0
34.010,-1.524934,6.871906,0.448601,4.532631,12.371354,0.477494,-0.536892,0.220999,-0.407960,-0.584893,0
34.112,-1.577632,6.860092,0.473342,4.514802,12.458972,0.407598,-0.530313,0.222858,-0.415554,-0.579646,0
34.212,-1.630230,6.847545,0.498189,4.462356,12.449520,0.432297,-0.524330,0.222719,-0.419529,-0.574117,0
34.312,-1.681408,6.834201,0.522790,4.410754,12.439103,0.456817,-0.516187,0.221785,-0.423803,-0.566286,0
34.414,-1.730154,6.820179,0.546838,4.360185,12.427751,0.480918,-0.508987,0.216622,-0.420252,-0.557497,0
