t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
30.124,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.008875,0.000000,0.000000,nan,nan,0
30.226,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.008875,0.000000,0.000000,nan,nan,0
30.328,0.999995,7.000000,0.000001,7.084112,12.533339,-0.008900,-0.025000,0.002998,-0.125236,-0.025197,0
30.430,0.997886,7.000390,0.000782,7.080693,12.533590,-0.008329,-0.048430,0.008347,-0.179031,-0.049217,0
30.532,0.992812,7.000821,0.001656,7.074947,12.534076,-0.007727,-0.070412,0.008010,-0.118886,-0.070913,0
30.634,0.985985,7.001053,0.002147,7.066931,12.534515,-0.007443,-0.095096,0.006029,-0.066468,-0.095306,0
30.734,0.976194,7.001350,0.002788,7.056534,12.534938,-0.007024,-0.118590,0.007185,-0.063532,-0.118830,0
30.834,0.963968,7.001699,0.003564,7.043563,12.535423,-0.006484,-0.143220,0.008138,-0.059596,-0.143475,0
30.936,0.949054,7.002097,0.004479,7.028350,12.535973,-0.005761,-0.167909,0.010687,-0.066732,-0.168284,0
31.038,0.931685,7.002550,0.005559,7.010412,12.536618,-0.004834,-0.192558,0.011666,-0.063530,-0.192947,0
31.138,0.911736,7.003054,0.006814,6.990080,12.537335,-0.003790,-0.218640,0.013900,-0.066653,-0.219127,0
31.238,0.889348,7.003604,0.008250,6.967319,12.538125,-0.002528,-0.243266,0.015063,-0.064926,-0.243779,0
31.340,0.864496,7.004193,0.009877,6.942020,12.538986,-0.001060,-0.267991,0.019001,-0.074309,-0.268732,0
31.442,0.837139,7.004828,0.011737,6.914288,12.539926,0.000664,-0.292689,0.020357,-0.072901,-0.293468,0
31.544,0.807271,7.005493,0.013829,6.883882,12.540929,0.002592,-0.317270,0.021516,-0.071087,-0.318074,0
31.644,0.774851,7.006173,0.016151,6.850995,12.541976,0.004722,-0.343306,0.024591,-0.075069,-0.344275,0
31.744,0.739878,7.006862,0.018743,6.815579,12.543069,0.007137,-0.369405,0.027764,-0.078755,-0.370553,0
31.846,0.702314,7.007555,0.021644,6.769667,12.544437,0.010490,-0.409358,0.033116,-0.084186,-0.396873,0
31.948,0.662149,7.008244,0.024886,6.728375,12.545612,0.013614,-0.436810,0.036759,-0.085286,-0.423040,0
32.048,0.619291,7.008908,0.028493,6.684506,12.546796,0.017165,-0.462904,0.041152,-0.090973,-0.449381,0
32.148,0.573783,7.009538,0.032503,6.637892,12.547984,0.021029,-0.490277,0.044352,-0.094755,-0.477067,0
32.248,0.525516,7.010099,0.036951,6.588526,12.549135,0.025397,-0.517737,0.049733,-0.097345,-0.504784,0
32.350,0.474525,7.010557,0.041877,6.536419,12.550233,0.030322,-0.545118,0.055605,-0.103135,-0.532660,0
32.450,0.420803,7.010893,0.047332,6.481569,12.551248,0.035719,-0.572533,0.061154,-0.109049,-0.560517,0
32.550,0.364309,7.011077,0.053377,6.423984,12.552147,0.041832,-0.599767,0.079395,-0.114564,-0.588341,0
32.652,0.275044,7.011303,0.064276,6.360376,12.555099,0.048080,-0.600000,0.083802,-0.145616,-0.606418,0
32.752,0.214850,7.011301,0.072482,6.294778,12.558984,0.054487,-0.600000,0.092995,-0.151963,-0.606995,0
32.852,0.154627,7.011198,0.081525,6.234318,12.559916,0.063229,-0.600000,0.096391,-0.167111,-0.608476,0
32.952,0.094420,7.010813,0.091121,6.173742,12.560593,0.072475,-0.600000,0.099154,-0.169058,-0.608677,0
33.054,0.034244,7.010156,0.101229,6.113237,12.560972,0.082292,-0.600000,0.101314,-0.175476,-0.609358,0
33.154,-0.026238,7.009121,0.111794,6.052803,12.560997,0.092529,-0.600000,0.102847,-0.178076,-0.609641,0
33.254,-0.086812,7.007513,0.122498,5.981983,12.556930,0.104348,-0.600000,0.103711,-0.179539,-0.609802,0
33.356,-0.147452,7.005272,0.133235,5.905986,12.550273,0.116827,-0.600000,0.100962,-0.174879,-0.609293,0
33.456,-0.208021,7.002276,0.143723,5.845571,12.548181,0.127168,-0.600000,0.100305,-0.173763,-0.609173,0
33.556,-0.268075,6.998619,0.154126,5.785175,12.545446,0.137385,-0.600000,0.099114,-0.171741,-0.608959,0
33.658,-0.327481,6.994275,0.164376,5.724791,12.542025,0.147493,-0.600000,0.099040,-0.171615,-0.608945,0
33.758,-0.386901,6.989301,0.174605,5.668049,12.539107,0.156296,-0.600000,0.098858,-0.171307,-0.608913,0
33.858,-0.446335,6.983722,0.184863,5.613145,12.536332,0.164460,-0.600000,0.100957,-0.174871,-0.609292,0
33.958,-0.505791,6.977592,0.195275,5.552885,12.531327,0.174648,-0.600000,0.100534,-0.174152,-0.609215,0
34.060,-0.565015,6.970861,0.205657,5.492739,12.525725,0.184862,-0.600000,0.099812,-0.172927,-0.609084,0
34.160,-0.624308,6.963469,0.216005,5.432591,12.519483,0.195007,-0.600000,0.098490,-0.170681,-0.608847,0
34.260,-0.684379,6.955275,0.226362,5.373285,12.483125,0.230079,-0.600000,0.096383,-0.167097,-0.608475,0
34.362,-0.744428,6.945953,0.235619,5.316901,12.427390,0.276843,-0.601878,0.067676,-0.117519,-0.606059,0
34.462,-0.804057,6.934979,0.242225,5.257756,12.413966,0.283557,-0.602791,0.040941,-0.071194,-0.604322,0
34.562,-0.863302,6.922412,0.246311,5.199081,12.399036,0.287773,-0.602305,0.017388,-0.030303,-0.602581,0
34.664,-0.922073,6.908563,0.248149,5.140769,12.382811,0.289764,-0.602221,-0.005167,0.009009,-0.602245,0
34.764,-0.980403,6.893642,0.247871,5.076845,12.369572,0.285332,-0.600897,-0.021864,0.038186,-0.601335,0
34.864,-1.038419,6.878098,0.246107,5.010071,12.358266,0.276949,-0.600000,-0.021568,0.037726,-0.600427,0
34.966,-1.096378,6.862512,0.243993,4.940886,12.337293,0.274186,-0.600000,-0.029780,0.052068,-0.600814,0
35.066,-1.154207,6.846828,0.241347,4.883159,12.319636,0.271286,-0.600000,-0.039333,0.068725,-0.601420,0
35.166,-1.211990,6.830855,0.237746,4.825502,12.301685,0.267353,-0.600000,-0.049766,0.086871,-0.602271,0
35.266,-1.269770,6.814604,0.233111,4.769193,12.299119,0.251266,-0.600000,-0.060772,0.105953,-0.603384,0
35.368,-1.327535,6.798158,0.227472,4.712221,12.292319,0.237905,-0.600000,-0.044803,0.078245,-0.601841,0
35.468,-1.385403,6.782288,0.222348,4.654257,12.275707,0.232584,-0.600000,-0.055975,0.097644,-0.602872,0
35.568,-1.443417,6.766542,0.216902,4.596223,12.259217,0.226841,-0.600000,-0.067610,0.117770,-0.604185,0
35.670,-1.501520,6.750585,0.210367,4.538108,12.242504,0.219998,-0.600000,-0.078972,0.137332,-0.605703,0
