t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
31.744,1.000000,7.000000,-0.000000,7.084598,12.533325,-0.007949,0.000000,0.000000,nan,nan,0
31.846,1.000000,7.000000,-0.000000,7.085059,12.533316,-0.007992,0.025000,-0.000735,-0.030857,0.025012,0
31.948,1.001504,7.000000,0.000001,7.088304,12.533211,-0.008282,0.046819,-0.002931,-0.065639,0.046920,0
32.048,1.005992,6.999868,-0.000264,7.093747,12.532994,-0.008742,0.067843,-0.005264,-0.081289,0.068068,0
32.148,1.012657,6.999636,-0.000720,7.101412,12.532654,-0.009525,0.092354,-0.007081,-0.080331,0.092653,0
32.248,1.021865,6.999292,-0.001388,7.111463,12.532195,-0.010460,0.115536,-0.009104,-0.082551,0.115930,0
32.350,1.033229,6.998849,-0.002233,7.123868,12.531587,-0.011553,0.138620,-0.010700,-0.080876,0.139074,0
32.450,1.047080,6.998267,-0.003321,7.138655,12.530841,-0.012931,0.161672,-0.012751,-0.082623,0.162226,0
32.550,1.063284,6.997573,-0.004579,7.155681,12.529962,-0.014518,0.184769,-0.014259,-0.080854,0.185374,0
32.652,1.091956,6.996317,-0.006766,7.175063,12.528944,-0.016276,0.209400,-0.015392,-0.077028,0.210022,0
32.752,1.114039,6.995328,-0.008409,7.196872,12.527775,-0.018107,0.232514,-0.017487,-0.078806,0.233238,0
32.852,1.138517,6.994209,-0.010193,7.221032,12.526452,-0.020170,0.255625,-0.019001,-0.077890,0.256402,0
32.952,1.165338,6.992951,-0.012111,7.247446,12.524968,-0.022253,0.280279,-0.020412,-0.076322,0.281097,0
33.054,1.194479,6.991549,-0.014150,7.276389,12.523304,-0.024455,0.303395,-0.022363,-0.077242,0.304303,0
33.154,1.225990,6.989992,-0.016306,7.307586,12.521464,-0.026718,0.326522,-0.023325,-0.074866,0.327439,0
33.254,1.259860,6.988274,-0.018561,7.341134,12.519439,-0.029158,0.351190,-0.023858,-0.071211,0.352082,0
