t_sim,gt_x,gt_y,gt_yaw,cmd_v,cmd_w,steer,traction,refusals
11.862,-8.000000,7.000000,-0.000000,0.300000,0.000000,nan,nan,0
11.882,-8.000000,7.000000,-0.000000,0.300000,0.000000,0.000000,0.300000,0
11.902,-7.997316,7.000000,-0.000001,0.300000,0.000000,0.000000,0.300000,0
11.922,-7.997316,7.000000,-0.000001,0.300000,0.000000,0.000000,0.300000,0
11.942,-7.997316,7.000000,-0.000001,0.300000,0.000000,0.000000,0.300000,0
11.962,-7.986047,6.999998,-0.000004,0.300000,0.000000,0.000000,0.300000,0
11.982,-7.986047,6.999998,-0.000004,0.300000,0.000000,0.000000,0.300000,0
12.002,-7.971047,6.999996,-0.000009,0.300000,0.000000,0.000000,0.300000,0
12.022,-7.971047,6.999996,-0.000009,0.300000,0.000000,0.000000,0.300000,0
12.042,-7.971047,6.999996,-0.000009,0.300000,0.000000,0.000000,0.300000,0
12.062,-7.956047,6.999993,-0.000013,0.300000,0.000000,0.000000,0.300000,0
12.082,-7.956047,6.999993,-0.000013,0.300000,0.000000,0.000000,0.300000,0
12.102,-7.941047,6.999991,-0.000017,0.300000,0.000000,0.000000,0.300000,0
12.122,-7.941047,6.999991,-0.000017,0.300000,0.000000,0.000000,0.300000,0
12.142,-7.941047,6.999991,-0.000017,0.300000,0.000000,0.000000,0.300000,0
12.162,-7.926047,6.999988,-0.000022,0.300000,0.000000,0.000000,0.300000,0
12.182,-7.926047,6.999988,-0.000022,0.300000,0.000000,0.000000,0.300000,0
12.202,-7.911047,6.999986,-0.000026,0.300000,0.000000,0.000000,0.300000,0
12.222,-7.911047,6.999986,-0.000026,0.300000,0.000000,0.000000,0.300000,0
12.242,-7.911047,6.999986,-0.000026,0.300000,0.000000,0.000000,0.300000,0
12.262,-7.896047,6.999983,-0.000030,0.300000,0.000000,0.000000,0.300000,0
12.282,-7.896047,6.999983,-0.000030,0.300000,0.000000,0.000000,0.300000,0
12.302,-7.881047,6.999981,-0.000034,0.300000,0.000000,0.000000,0.300000,0
12.322,-7.881047,6.999981,-0.000034,0.300000,0.000000,0.000000,0.300000,0
12.342,-7.881047,6.999981,-0.000034,0.300000,0.000000,0.000000,0.300000,0
12.684,-7.881047,6.999981,-0.000034,0.300000,0.000000,0.000000,0.300000,0
12.704,-7.761047,6.999960,-0.000065,0.300000,0.000000,0.000000,0.300000,0
12.724,-7.761047,6.999960,-0.000065,0.300000,0.000000,0.000000,0.300000,0
12.744,-7.761047,6.999960,-0.000065,0.300000,0.000000,0.000000,0.300000,0
12.764,-7.746047,6.999957,-0.000068,0.300000,0.000000,0.000000,0.300000,0
12.784,-7.746047,6.999957,-0.000068,0.300000,0.000000,0.000000,0.300000,0
12.804,-7.731047,6.999954,-0.000072,0.300000,0.000000,0.000000,0.300000,0
12.824,-7.731047,6.999954,-0.000072,0.300000,0.000000,0.000000,0.300000,0
12.844,-7.731047,6.999954,-0.000072,0.300000,0.000000,0.000000,0.300000,0
12.864,-7.716047,6.999951,-0.000075,0.300000,0.000000,0.000000,0.300000,0
12.884,-7.716047,6.999951,-0.000075,0.300000,0.000000,0.000000,0.300000,0
12.904,-7.701047,6.999948,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.924,-7.701047,6.999948,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.944,-7.701047,6.999948,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.964,-7.686047,6.999946,-0.000082,0.300000,0.000000,0.000000,0.300000,0
12.984,-7.686047,6.999946,-0.000082,0.300000,0.000000,0.000000,0.300000,0
13.004,-7.671047,6.999943,-0.000085,0.300000,0.000000,0.000000,0.300000,0
13.024,-7.671047,6.999943,-0.000085,0.300000,0.000000,0.000000,0.300000,0
13.044,-7.671047,6.999943,-0.000085,0.300000,0.000000,0.000000,0.300000,0
13.064,-7.656047,6.999940,-0.000088,0.300000,0.000000,0.000000,0.300000,0
13.084,-7.656047,6.999940,-0.000088,0.300000,0.000000,0.000000,0.300000,0
13.104,-7.641047,6.999937,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.124,-7.641047,6.999937,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.144,-7.641047,6.999937,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.164,-7.626047,6.999934,-0.000095,0.300000,0.000000,0.000000,0.300000,0
13.184,-7.626047,6.999934,-0.000095,0.300000,0.000000,0.000000,0.300000,0
13.204,-7.611047,6.999931,-0.000098,0.300000,0.000000,0.000000,0.300000,0
13.224,-7.611047,6.999931,-0.000098,0.300000,0.000000,0.000000,0.300000,0
13.244,-7.611047,6.999931,-0.000098,0.300000,0.000000,0.000000,0.300000,0
13.264,-7.596047,6.999928,-0.000101,0.300000,0.000000,0.000000,0.300000,0
13.284,-7.596047,6.999928,-0.000101,0.300000,0.000000,0.000000,0.300000,0
13.304,-7.581047,6.999925,-0.000104,0.300000,0.000000,0.000000,0.300000,0
13.324,-7.581047,6.999925,-0.000104,0.300000,0.000000,0.000000,0.300000,0
13.344,-7.581047,6.999925,-0.000104,0.300000,0.000000,0.000000,0.300000,0
13.364,-7.566047,6.999922,-0.000107,0.300000,0.000000,0.000000,0.300000,0
13.384,-7.566047,6.999922,-0.000107,0.300000,0.000000,0.000000,0.300000,0
13.404,-7.551047,6.999919,-0.000110,0.300000,0.000000,0.000000,0.300000,0
13.424,-7.551047,6.999919,-0.000110,0.300000,0.000000,0.000000,0.300000,0
13.444,-7.551047,6.999919,-0.000110,0.300000,0.000000,0.000000,0.300000,0
13.464,-7.536047,6.999915,-0.000113,0.300000,0.000000,0.000000,0.300000,0
13.484,-7.536047,6.999915,-0.000113,0.300000,0.000000,0.000000,0.300000,0
13.504,-7.521047,6.999912,-0.000116,0.300000,0.000000,0.000000,0.300000,0
13.524,-7.521047,6.999912,-0.000116,0.300000,0.000000,0.000000,0.300000,0
13.544,-7.521047,6.999912,-0.000116,0.300000,0.000000,0.000000,0.300000,0
13.564,-7.506047,6.999909,-0.000118,0.300000,0.000000,0.000000,0.300000,0
13.584,-7.506047,6.999909,-0.000118,0.300000,0.000000,0.000000,0.300000,0
13.604,-7.491047,6.999906,-0.000121,0.300000,0.000000,0.000000,0.300000,0
13.624,-7.491047,6.999906,-0.000121,0.300000,0.000000,0.000000,0.300000,0
13.644,-7.491047,6.999906,-0.000121,0.300000,0.000000,0.000000,0.300000,0
13.664,-7.476047,6.999903,-0.000124,0.300000,0.000000,0.000000,0.300000,0
13.684,-7.476047,6.999903,-0.000124,0.300000,0.000000,0.000000,0.300000,0
13.704,-7.461047,6.999900,-0.000126,0.300000,0.000000,0.000000,0.300000,0
13.724,-7.461047,6.999900,-0.000126,0.300000,0.000000,0.000000,0.300000,0
13.744,-7.461047,6.999900,-0.000126,0.300000,0.000000,0.000000,0.300000,0
13.764,-7.446047,6.999896,-0.000129,0.300000,0.000000,0.000000,0.300000,0
13.784,-7.446047,6.999896,-0.000129,0.300000,0.000000,0.000000,0.300000,0
13.804,-7.431047,6.999893,-0.000132,0.300000,0.000000,0.000000,0.300000,0
13.824,-7.431047,6.999893,-0.000132,0.300000,0.000000,0.000000,0.300000,0
13.844,-7.431047,6.999893,-0.000132,0.300000,0.000000,0.000000,0.300000,0
13.864,-7.416047,6.999890,-0.000134,0.300000,0.000000,0.000000,0.300000,0
13.884,-7.416047,6.999890,-0.000134,0.300000,0.000000,0.000000,0.300000,0
13.904,-7.401047,6.999887,-0.000137,0.300000,0.000000,0.000000,0.300000,0
13.924,-7.401047,6.999887,-0.000137,0.300000,0.000000,0.000000,0.300000,0
13.944,-7.401047,6.999887,-0.000137,0.300000,0.000000,0.000000,0.300000,0
13.964,-7.386047,6.999883,-0.000139,0.300000,0.000000,0.000000,0.300000,0
13.984,-7.386047,6.999883,-0.000139,0.300000,0.000000,0.000000,0.300000,0
14.004,-7.371047,6.999880,-0.000142,0.300000,0.000000,0.000000,0.300000,0
14.024,-7.371047,6.999880,-0.000142,0.300000,0.000000,0.000000,0.300000,0
14.044,-7.371047,6.999880,-0.000142,0.300000,0.000000,0.000000,0.300000,0
14.064,-7.356047,6.999877,-0.000144,0.300000,0.000000,0.000000,0.300000,0
14.084,-7.356047,6.999877,-0.000144,0.300000,0.000000,0.000000,0.300000,0
14.104,-7.341047,6.999873,-0.000146,0.300000,0.000000,0.000000,0.300000,0
14.124,-7.341047,6.999873,-0.000146,0.300000,0.000000,0.000000,0.300000,0
14.144,-7.341047,6.999873,-0.000146,0.300000,0.000000,0.000000,0.300000,0
14.164,-7.326047,6.999870,-0.000149,0.300000,0.000000,0.000000,0.300000,0
14.184,-7.326047,6.999870,-0.000149,0.300000,0.000000,0.000000,0.300000,0
14.204,-7.311047,6.999867,-0.000151,0.300000,0.000000,0.000000,0.300000,0
14.224,-7.311047,6.999867,-0.000151,0.300000,0.000000,0.000000,0.300000,0
14.244,-7.311047,6.999867,-0.000151,0.300000,0.000000,0.000000,0.300000,0
14.264,-7.296047,6.999863,-0.000153,0.300000,0.000000,0.000000,0.300000,0
14.284,-7.296047,6.999863,-0.000153,0.300000,0.000000,0.000000,0.300000,0
14.304,-7.281047,6.999860,-0.000155,0.300000,0.000000,0.000000,0.300000,0
14.324,-7.281047,6.999860,-0.000155,0.300000,0.000000,0.000000,0.300000,0
14.344,-7.281047,6.999860,-0.000155,0.300000,0.000000,0.000000,0.300000,0
14.364,-7.266047,6.999856,-0.000158,0.300000,0.000000,0.000000,0.300000,0
