t_sim,gt_x,gt_y,gt_yaw,cmd_v,cmd_w,steer,traction,refusals
11.748,-1.400000,-6.750000,-0.000000,0.300000,0.000000,nan,nan,0
11.768,-1.400000,-6.750000,-0.000000,0.300000,0.000000,0.000000,0.300000,0
11.788,-1.400000,-6.750000,-0.000000,0.300000,0.000000,0.000000,0.300000,0
11.808,-1.395410,-6.750001,-0.000001,0.300000,0.000000,0.000000,0.300000,0
11.828,-1.395410,-6.750001,-0.000001,0.300000,0.000000,0.000000,0.300000,0
11.848,-1.395410,-6.750001,-0.000001,0.300000,0.000000,0.000000,0.300000,0
11.868,-1.382447,-6.750003,-0.000005,0.300000,0.000000,0.000000,0.300000,0
11.888,-1.382447,-6.750003,-0.000005,0.300000,0.000000,0.000000,0.300000,0
11.908,-1.367447,-6.750005,-0.000010,0.300000,0.000000,0.000000,0.300000,0
11.928,-1.367447,-6.750005,-0.000010,0.300000,0.000000,0.000000,0.300000,0
11.948,-1.367447,-6.750005,-0.000010,0.300000,0.000000,0.000000,0.300000,0
11.968,-1.352447,-6.750007,-0.000014,0.300000,0.000000,0.000000,0.300000,0
11.988,-1.352447,-6.750007,-0.000014,0.300000,0.000000,0.000000,0.300000,0
12.008,-1.337447,-6.750010,-0.000018,0.300000,0.000000,0.000000,0.300000,0
12.028,-1.337447,-6.750010,-0.000018,0.300000,0.000000,0.000000,0.300000,0
12.048,-1.337447,-6.750010,-0.000018,0.300000,0.000000,0.000000,0.300000,0
12.068,-1.322447,-6.750012,-0.000023,0.300000,0.000000,0.000000,0.300000,0
12.088,-1.322447,-6.750012,-0.000023,0.300000,0.000000,0.000000,0.300000,0
12.108,-1.307447,-6.750015,-0.000027,0.300000,0.000000,0.000000,0.300000,0
12.128,-1.307447,-6.750015,-0.000027,0.300000,0.000000,0.000000,0.300000,0
12.148,-1.307447,-6.750015,-0.000027,0.300000,0.000000,0.000000,0.300000,0
12.168,-1.292447,-6.750017,-0.000031,0.300000,0.000000,0.000000,0.300000,0
12.188,-1.292447,-6.750017,-0.000031,0.300000,0.000000,0.000000,0.300000,0
12.208,-1.277447,-6.750020,-0.000035,0.300000,0.000000,0.000000,0.300000,0
12.228,-1.277447,-6.750020,-0.000035,0.300000,0.000000,0.000000,0.300000,0
12.248,-1.277447,-6.750020,-0.000035,0.300000,0.000000,0.000000,0.300000,0
12.268,-1.262447,-6.750022,-0.000039,0.300000,0.000000,0.000000,0.300000,0
12.288,-1.262447,-6.750022,-0.000039,0.300000,0.000000,0.000000,0.300000,0
12.308,-1.247447,-6.750025,-0.000043,0.300000,0.000000,0.000000,0.300000,0
12.328,-1.247447,-6.750025,-0.000043,0.300000,0.000000,0.000000,0.300000,0
12.348,-1.247447,-6.750025,-0.000043,0.300000,0.000000,0.000000,0.300000,0
12.368,-1.232447,-6.750027,-0.000047,0.300000,0.000000,0.000000,0.300000,0
12.388,-1.232447,-6.750027,-0.000047,0.300000,0.000000,0.000000,0.300000,0
12.408,-1.217447,-6.750030,-0.000051,0.300000,0.000000,0.000000,0.300000,0
12.428,-1.217447,-6.750030,-0.000051,0.300000,0.000000,0.000000,0.300000,0
12.448,-1.217447,-6.750030,-0.000051,0.300000,0.000000,0.000000,0.300000,0
12.468,-1.202447,-6.750033,-0.000055,0.300000,0.000000,0.000000,0.300000,0
12.488,-1.202447,-6.750033,-0.000055,0.300000,0.000000,0.000000,0.300000,0
12.508,-1.187447,-6.750036,-0.000058,0.300000,0.000000,0.000000,0.300000,0
12.528,-1.187447,-6.750036,-0.000058,0.300000,0.000000,0.000000,0.300000,0
12.548,-1.187447,-6.750036,-0.000058,0.300000,0.000000,0.000000,0.300000,0
12.568,-1.172447,-6.750038,-0.000062,0.300000,0.000000,0.000000,0.300000,0
12.588,-1.172447,-6.750038,-0.000062,0.300000,0.000000,0.000000,0.300000,0
12.608,-1.157447,-6.750041,-0.000065,0.300000,0.000000,0.000000,0.300000,0
12.628,-1.157447,-6.750041,-0.000065,0.300000,0.000000,0.000000,0.300000,0
12.648,-1.157447,-6.750041,-0.000065,0.300000,0.000000,0.000000,0.300000,0
12.668,-1.142447,-6.750044,-0.000069,0.300000,0.000000,0.000000,0.300000,0
12.688,-1.142447,-6.750044,-0.000069,0.300000,0.000000,0.000000,0.300000,0
12.708,-1.127447,-6.750047,-0.000073,0.300000,0.000000,0.000000,0.300000,0
12.728,-1.127447,-6.750047,-0.000073,0.300000,0.000000,0.000000,0.300000,0
12.748,-1.127447,-6.750047,-0.000073,0.300000,0.000000,0.000000,0.300000,0
12.768,-1.112447,-6.750049,-0.000076,0.300000,0.000000,0.000000,0.300000,0
12.788,-1.112447,-6.750049,-0.000076,0.300000,0.000000,0.000000,0.300000,0
12.808,-1.097447,-6.750052,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.828,-1.097447,-6.750052,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.848,-1.097447,-6.750052,-0.000079,0.300000,0.000000,0.000000,0.300000,0
12.868,-1.082447,-6.750055,-0.000083,0.300000,0.000000,0.000000,0.300000,0
12.888,-1.082447,-6.750055,-0.000083,0.300000,0.000000,0.000000,0.300000,0
12.908,-1.067447,-6.750058,-0.000086,0.300000,0.000000,0.000000,0.300000,0
12.928,-1.067447,-6.750058,-0.000086,0.300000,0.000000,0.000000,0.300000,0
12.948,-1.067447,-6.750058,-0.000086,0.300000,0.000000,0.000000,0.300000,0
12.968,-1.052447,-6.750061,-0.000089,0.300000,0.000000,0.000000,0.300000,0
12.988,-1.052447,-6.750061,-0.000089,0.300000,0.000000,0.000000,0.300000,0
13.008,-1.037447,-6.750064,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.028,-1.037447,-6.750064,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.048,-1.037447,-6.750064,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.068,-1.022447,-6.750067,-0.000096,0.300000,0.000000,0.000000,0.300000,0
13.088,-1.022447,-6.750067,-0.000096,0.300000,0.000000,0.000000,0.300000,0
13.108,-1.007447,-6.750070,-0.000099,0.300000,0.000000,0.000000,0.300000,0
13.128,-1.007447,-6.750070,-0.000099,0.300000,0.000000,0.000000,0.300000,0
13.148,-1.007447,-6.750070,-0.000099,0.300000,0.000000,0.000000,0.300000,0
13.168,-0.992447,-6.750073,-0.000102,0.300000,0.000000,0.000000,0.300000,0
13.188,-0.992447,-6.750073,-0.000102,0.300000,0.000000,0.000000,0.300000,0
13.208,-0.977447,-6.750076,-0.000105,0.300000,0.000000,0.000000,0.300000,0
13.228,-0.977447,-6.750076,-0.000105,0.300000,0.000000,0.000000,0.300000,0
