t_sim,gt_x,gt_y,gt_yaw,gt_v,est_v,cmd_v,cmd_w,sm_v,sm_w,gate_v,gate_w,gate_age,traction,steer,env_enable,env_ceiling,env_permit,env_mode,env_publishing,mode_applied,heartbeat,gate_state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,0.0,0,0,1,-1,-1,-1
0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,0.0,0,0,1,-1,-1,-1
0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.1599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.1818,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.2,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.2199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.24,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.2599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.28,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.3,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.3199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.3399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.3599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.38,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.3999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.4199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.4399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.4599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.4801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.5,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.5199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.54,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.5599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.5802,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.6002,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.6199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.6404,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.6599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.6801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.7,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.7199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.7403,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.76,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.78,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.7999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.8199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.8399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.86,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
