utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T08:52:24Z,3.84,14177.8,0,0.0
2026-08-07T08:52:25Z,5.21,13801.5,9,671.0
2026-08-07T08:52:27Z,5.21,13677.0,8,788.1
2026-08-07T08:52:28Z,5.21,13452.6,10,1052.6
2026-08-07T08:52:30Z,5.21,13402.9,10,1075.6
2026-08-07T08:52:32Z,5.12,13370.2,10,1076.9
2026-08-07T08:52:33Z,5.12,13390.3,10,1079.4
2026-08-07T08:52:35Z,5.12,13361.1,10,1079.4
2026-08-07T08:52:36Z,5.91,13357.0,10,1081.5
2026-08-07T08:52:38Z,5.91,13356.4,10,1081.5
2026-08-07T08:52:39Z,5.91,13337.4,10,1081.5
2026-08-07T08:52:41Z,6.24,13345.7,17,1333.0
2026-08-07T08:52:42Z,6.24,13139.2,17,1476.1
2026-08-07T08:52:44Z,6.24,13126.1,17,1481.3
2026-08-07T08:52:45Z,6.06,13119.9,17,1495.5
2026-08-07T08:52:47Z,6.06,13120.4,17,1495.5
2026-08-07T08:52:48Z,6.06,13122.2,17,1495.5
2026-08-07T08:52:50Z,6.06,13128.3,17,1495.5
2026-08-07T08:52:51Z,5.81,13127.7,17,1495.5
2026-08-07T08:52:53Z,5.81,13122.8,17,1551.6
2026-08-07T08:52:54Z,5.81,13094.4,17,1558.5
2026-08-07T08:52:56Z,6.07,13088.6,17,1558.5
2026-08-07T08:52:58Z,6.07,13085.2,17,1558.5
2026-08-07T08:52:59Z,6.07,13088.6,17,1558.5
2026-08-07T08:53:01Z,6.14,13088.7,17,1558.5
2026-08-07T08:53:02Z,6.14,13088.3,17,1558.5
2026-08-07T08:53:04Z,6.14,13088.3,17,1558.5
2026-08-07T08:53:05Z,6.05,13093.6,17,1558.5
2026-08-07T08:53:07Z,6.05,13095.7,17,1558.5
2026-08-07T08:53:08Z,6.05,13083.6,17,1558.5
2026-08-07T08:53:10Z,6.05,13082.8,17,1558.5
2026-08-07T08:53:12Z,6.37,13082.7,17,1558.5
2026-08-07T08:53:13Z,6.37,13085.1,17,1558.5
2026-08-07T08:53:15Z,6.37,13080.1,17,1558.5
2026-08-07T08:53:16Z,6.5,13082.7,17,1558.5
2026-08-07T08:53:18Z,6.5,13080.6,17,1558.5
2026-08-07T08:53:19Z,6.5,13083.6,17,1558.5
2026-08-07T08:53:21Z,5.98,13088.8,19,1610.7
2026-08-07T08:53:23Z,5.98,13036.0,19,1655.2
2026-08-07T08:53:24Z,5.98,13031.6,19,1663.0
2026-08-07T08:53:26Z,5.74,13030.6,19,1663.8
2026-08-07T08:53:27Z,5.74,13029.6,19,1664.4
2026-08-07T08:53:29Z,5.74,13030.3,19,1664.7
2026-08-07T08:53:30Z,5.44,13030.1,19,1664.8
2026-08-07T08:53:32Z,5.44,13026.9,19,1665.3
2026-08-07T08:53:34Z,5.44,13081.0,17,1564.8
