t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
55.978,-3.000000,-5.500000,-0.000000,2.985783,0.065378,-0.007312,0.000000,0.000000,nan,nan,0
56.078,-3.000000,-5.500000,-0.000000,2.985783,0.065378,-0.007312,0.025000,0.000217,nan,nan,0
56.178,-2.997612,-5.499991,0.000018,2.988504,0.065372,-0.007062,0.046706,0.001518,nan,nan,0
56.278,-2.992844,-5.499933,0.000134,2.993616,0.065413,-0.006763,0.070884,0.003551,nan,nan,0
56.380,-2.985657,-5.499779,0.000437,3.001091,0.065546,-0.006250,0.093997,0.005560,nan,nan,0
56.480,-2.976061,-5.499520,0.000943,3.010951,0.065754,-0.005492,0.117185,0.007362,nan,nan,0
56.580,-2.964164,-5.499171,0.001610,3.023043,0.066045,-0.004589,0.140297,0.008421,0.062944,0.140576,0
56.680,-2.949766,-5.498724,0.002446,3.037678,0.066417,-0.003498,0.164837,0.010311,0.065584,0.165193,0
56.782,-2.932929,-5.498189,0.003418,3.054739,0.066873,-0.002311,0.190935,0.011503,0.063172,0.191316,0
56.882,-2.913534,-5.497553,0.004536,3.074345,0.067414,-0.000893,0.215680,0.014154,0.068798,0.216191,0
56.982,-2.891856,-5.496801,0.005816,3.096338,0.068078,0.000692,0.238880,0.015395,0.067565,0.239427,0
57.084,-2.867576,-5.495920,0.007262,3.120764,0.068857,0.002380,0.264952,0.015785,0.062474,0.265470,0
57.184,-2.840761,-5.494924,0.008822,3.147732,0.069744,0.004159,0.289622,0.016459,0.059601,0.290137,0
57.284,-2.811430,-5.493808,0.010488,3.177276,0.070752,0.006109,0.314290,0.018733,0.062504,0.314905,0
57.386,-2.779660,-5.492561,0.012256,3.215997,0.072128,0.008565,0.340494,0.018497,0.056979,0.341048,0
57.486,-2.745344,-5.491181,0.014110,3.251073,0.073422,0.010708,0.365182,0.018238,0.052392,0.365684,0
57.586,-2.708454,-5.489667,0.016028,3.288731,0.074856,0.012846,0.391413,0.017297,0.046366,0.391834,0
57.686,-2.669008,-5.488026,0.017969,3.329023,0.076414,0.015032,0.416117,0.017777,0.044826,0.416535,0
57.788,-2.627056,-5.486263,0.019905,3.371673,0.078092,0.017144,0.442381,0.016669,0.039543,0.442727,0
57.888,-2.582565,-5.484384,0.021808,3.417095,0.079884,0.019246,0.468651,0.015314,0.034297,0.468927,0
57.988,-2.535474,-5.482414,0.023608,3.465112,0.081761,0.021248,0.494948,0.013190,0.027974,0.495142,0
58.090,-2.485813,-5.480430,0.025151,3.515778,0.083616,0.022954,0.521285,0.008215,0.016545,0.521356,0
58.190,-2.433610,-5.478572,0.026180,3.569133,0.085319,0.024047,0.547667,0.001857,0.003560,0.547671,0
58.290,-2.378869,-5.476961,0.026508,3.625015,0.086719,0.024437,0.574011,-0.008937,-0.016346,0.574088,0
58.392,-2.321612,-5.475854,0.025716,3.683793,0.087521,0.023564,0.599923,-0.027158,-0.047496,0.600601,0
58.492,-2.261969,-5.475504,0.023473,3.744700,0.087138,0.018922,0.600000,-0.027189,-0.047544,0.600679,0
58.592,-2.201941,-5.475304,0.021191,3.805124,0.086959,0.016270,0.600000,-0.023585,-0.041251,0.600511,0
58.694,-2.141923,-5.475174,0.019035,3.865385,0.086872,0.014395,0.600000,-0.022654,-0.039623,0.600471,0
58.794,-2.081905,-5.475112,0.017001,3.925776,0.086736,0.012612,0.600000,-0.021735,-0.038017,0.600434,0
58.894,-2.021888,-5.475112,0.015079,3.986103,0.086548,0.010879,0.600000,-0.020935,-0.036619,0.600403,0
