utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:00:25Z,3.99,14161.9,0,0.0
2026-08-07T09:00:27Z,3.83,13866.8,9,677.7
2026-08-07T09:00:28Z,3.83,13709.1,8,682.8
2026-08-07T09:00:30Z,3.83,13469.3,8,983.7
2026-08-07T09:00:31Z,3.61,13423.0,8,988.8
2026-08-07T09:00:33Z,3.61,13386.0,10,1071.8
2026-08-07T09:00:34Z,3.61,13366.0,10,1089.9
2026-08-07T09:00:36Z,3.61,13345.8,10,1091.1
2026-08-07T09:00:37Z,4.2,13342.4,10,1091.7
2026-08-07T09:00:38Z,4.2,13339.4,10,1091.7
2026-08-07T09:00:40Z,4.2,13317.6,10,1091.9
2026-08-07T09:00:41Z,4.58,13164.2,17,1470.6
2026-08-07T09:00:43Z,4.58,13121.4,17,1497.9
2026-08-07T09:00:45Z,4.58,13108.6,17,1503.5
2026-08-07T09:00:46Z,4.58,13103.4,17,1503.5
2026-08-07T09:00:48Z,4.86,13106.5,17,1503.5
2026-08-07T09:00:49Z,4.86,13099.9,17,1503.5
2026-08-07T09:00:51Z,4.86,13107.1,17,1503.5
2026-08-07T09:00:52Z,5.43,13106.5,17,1503.5
2026-08-07T09:00:54Z,5.43,13076.0,17,1565.9
2026-08-07T09:00:55Z,5.43,13062.7,17,1565.9
2026-08-07T09:00:57Z,5.4,13065.1,17,1565.9
2026-08-07T09:00:58Z,5.4,13069.8,17,1565.9
2026-08-07T09:01:00Z,5.4,13077.0,17,1565.9
2026-08-07T09:01:01Z,5.04,13076.5,17,1565.9
2026-08-07T09:01:03Z,5.04,13074.9,17,1565.9
2026-08-07T09:01:04Z,5.04,13075.7,17,1565.9
2026-08-07T09:01:06Z,5.04,13076.9,17,1565.9
2026-08-07T09:01:07Z,4.88,13076.8,17,1565.9
2026-08-07T09:01:09Z,4.88,13078.5,17,1565.9
2026-08-07T09:01:10Z,4.88,13077.3,17,1565.9
2026-08-07T09:01:12Z,4.57,13074.1,17,1565.9
2026-08-07T09:01:13Z,4.57,13071.5,17,1565.9
2026-08-07T09:01:15Z,4.57,13072.1,17,1565.9
2026-08-07T09:01:16Z,4.2,13071.3,17,1565.9
2026-08-07T09:01:18Z,4.2,13073.7,17,1565.9
2026-08-07T09:01:19Z,4.2,13076.5,17,1565.9
2026-08-07T09:01:21Z,4.2,13075.0,19,1595.9
2026-08-07T09:01:22Z,4.83,13031.2,19,1655.9
2026-08-07T09:01:24Z,4.83,13024.0,19,1660.5
2026-08-07T09:01:25Z,4.83,13008.7,19,1673.0
2026-08-07T09:01:27Z,4.44,13008.4,19,1674.0
2026-08-07T09:01:28Z,4.44,13004.4,19,1672.7
2026-08-07T09:01:30Z,4.44,13005.9,19,1672.7
2026-08-07T09:01:31Z,4.24,13006.3,19,1669.2
2026-08-07T09:01:33Z,4.24,13011.5,19,1670.7
2026-08-07T09:01:34Z,4.24,13009.1,19,1670.7
2026-08-07T09:01:36Z,4.24,13009.1,19,1670.7
2026-08-07T09:01:37Z,4.95,13010.0,19,1670.5
2026-08-07T09:01:39Z,4.95,13009.9,19,1671.1
2026-08-07T09:01:40Z,4.95,13008.1,19,1672.2
2026-08-07T09:01:42Z,5.27,13059.7,17,1573.4
