t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
55.724,-3.000000,-5.500000,-0.000000,2.985783,0.065378,-0.007915,0.000000,0.000000,nan,nan,0
55.824,-3.000000,-5.500000,-0.000000,2.985783,0.065378,-0.007915,0.000000,0.000000,nan,nan,0
55.924,-2.998858,-5.499972,0.000056,2.987627,0.065445,-0.007998,0.032133,0.004048,0.131515,0.032412,0
56.026,-2.994817,-5.499784,0.000429,2.993245,0.065675,-0.007843,0.072299,0.005671,0.080425,0.058520,0
56.126,-2.987935,-5.499497,0.000994,3.000543,0.065924,-0.007487,0.096981,0.008734,0.091907,0.083352,0
56.226,-2.978581,-5.499097,0.001769,3.010384,0.066270,-0.006937,0.121592,0.010515,0.090557,0.108091,0
56.328,-2.966758,-5.498579,0.002752,3.022638,0.066709,-0.006279,0.146199,0.012520,0.094585,0.131406,0
56.428,-2.952477,-5.497938,0.003937,3.037432,0.067246,-0.005310,0.170813,0.015741,0.092577,0.157536,0
56.528,-2.935761,-5.497157,0.005346,3.054609,0.067905,-0.004144,0.195389,0.016794,0.091567,0.182230,0
56.630,-2.916518,-5.496228,0.006967,3.074213,0.068672,-0.002711,0.220103,0.020050,0.093572,0.206956,0
56.730,-2.894906,-5.495149,0.008786,3.096349,0.069577,-0.001173,0.244599,0.022562,0.091702,0.231636,0
56.830,-2.870945,-5.493891,0.010833,3.121049,0.070662,0.000740,0.270669,0.025980,0.101460,0.256664,0
56.930,-2.844342,-5.492371,0.013234,3.148168,0.071957,0.003003,0.295266,0.035510,0.102406,0.282756,0
57.032,-2.815420,-5.490471,0.016189,3.177930,0.073752,0.005898,0.320777,0.041659,0.125966,0.309618,0
57.132,-2.784028,-5.488028,0.019932,3.210187,0.076057,0.009607,0.346157,0.050357,0.146866,0.334704,0
57.232,-2.750183,-5.484945,0.024573,3.244914,0.078939,0.014127,0.371294,0.060463,0.159709,0.362482,0
