utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:21:48Z,4.92,14202.5,0,0.0
2026-08-07T09:21:49Z,4.77,13788.4,8,636.5
2026-08-07T09:21:51Z,4.77,13709.0,8,947.3
2026-08-07T09:21:52Z,4.77,13481.9,10,1047.0
2026-08-07T09:21:54Z,4.39,13419.6,10,1085.5
2026-08-07T09:21:55Z,4.39,13398.3,10,1084.9
2026-08-07T09:21:57Z,4.39,13393.7,10,1085.6
2026-08-07T09:21:58Z,4.39,13387.3,10,1085.9
2026-08-07T09:22:00Z,5.08,13370.1,10,1085.9
2026-08-07T09:22:01Z,5.08,13375.3,17,1329.8
2026-08-07T09:22:03Z,5.08,13220.7,17,1419.6
2026-08-07T09:22:04Z,5.15,13208.1,17,1485.9
2026-08-07T09:22:06Z,5.15,13165.5,17,1499.8
2026-08-07T09:22:07Z,5.15,13160.5,17,1500.3
2026-08-07T09:22:09Z,4.98,13155.9,17,1500.3
2026-08-07T09:22:10Z,4.98,13158.3,17,1500.3
2026-08-07T09:22:12Z,4.98,13159.7,17,1500.3
2026-08-07T09:22:13Z,4.98,13169.6,17,1500.3
2026-08-07T09:22:15Z,5.22,13164.8,17,1500.3
2026-08-07T09:22:16Z,5.22,13160.9,17,1564.5
2026-08-07T09:22:18Z,5.22,13126.0,17,1564.5
2026-08-07T09:22:19Z,4.88,13123.4,17,1564.5
2026-08-07T09:22:21Z,4.88,13121.2,17,1564.5
2026-08-07T09:22:22Z,4.88,13122.5,17,1564.5
2026-08-07T09:22:24Z,4.89,13122.2,17,1564.5
2026-08-07T09:22:25Z,4.89,13120.4,17,1564.5
2026-08-07T09:22:27Z,4.89,13122.1,17,1564.5
2026-08-07T09:22:28Z,4.89,13124.0,17,1564.5
2026-08-07T09:22:30Z,5.3,13128.7,17,1564.5
2026-08-07T09:22:31Z,5.3,13123.3,17,1564.5
2026-08-07T09:22:33Z,5.3,13125.5,17,1564.5
2026-08-07T09:22:34Z,5.2,13126.6,17,1564.5
2026-08-07T09:22:36Z,5.2,13129.2,17,1564.5
2026-08-07T09:22:37Z,5.2,13128.0,17,1564.5
2026-08-07T09:22:39Z,5.02,13129.5,17,1564.5
2026-08-07T09:22:40Z,5.02,13128.6,17,1564.5
2026-08-07T09:22:42Z,5.02,13124.0,17,1564.5
2026-08-07T09:22:43Z,5.02,13127.3,17,1564.5
2026-08-07T09:22:45Z,5.1,13093.5,19,1658.2
2026-08-07T09:22:47Z,5.1,13071.4,19,1662.4
2026-08-07T09:22:48Z,5.1,13067.7,19,1669.6
2026-08-07T09:22:50Z,4.85,13065.6,19,1669.7
2026-08-07T09:22:51Z,4.85,13065.1,19,1670.8
2026-08-07T09:22:53Z,4.85,13067.8,19,1671.3
2026-08-07T09:22:54Z,4.54,13065.0,19,1671.3
2026-08-07T09:22:56Z,4.54,13058.2,19,1671.3
2026-08-07T09:22:57Z,4.54,13051.1,19,1671.3
2026-08-07T09:22:59Z,4.54,13054.8,19,1671.3
2026-08-07T09:23:00Z,4.34,13054.6,19,1671.6
2026-08-07T09:23:02Z,4.34,13055.3,19,1671.6
2026-08-07T09:23:03Z,4.34,13057.7,19,1671.6
2026-08-07T09:23:05Z,4.87,13059.6,19,1671.6
2026-08-07T09:23:06Z,4.87,13056.4,19,1671.6
2026-08-07T09:23:08Z,4.87,13055.0,19,1671.6
2026-08-07T09:23:09Z,4.64,13054.8,19,1671.6
2026-08-07T09:23:11Z,4.64,13107.0,17,1571.6
