t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
56.624,-3.000000,-5.500000,-0.000000,2.985783,0.065378,-0.008743,0.000000,0.000000,nan,nan,0
56.724,-3.000235,-5.499962,0.000076,2.986541,0.065354,-0.008782,0.033858,-0.006798,-0.207778,0.034602,0
56.824,-3.002551,-5.499757,0.000487,2.990111,0.065050,-0.008661,0.059670,-0.008240,-0.144003,0.060294,0
56.924,-2.999954,-5.500034,-0.000065,2.995703,0.064593,-0.009616,0.081039,-0.015727,-0.201020,0.082705,0
57.026,-2.992321,-5.500768,-0.001523,3.005713,0.063479,-0.011669,0.104779,-0.022751,-0.224158,0.107468,0
57.126,-2.982289,-5.501786,-0.003506,3.016601,0.062142,-0.014113,0.128602,-0.029809,-0.238741,0.132356,0
57.226,-2.969407,-5.503365,-0.006535,3.030096,0.060346,-0.017507,0.153561,-0.039804,-0.265728,0.159147,0
57.328,-2.954245,-5.505339,-0.010225,3.045838,0.058067,-0.021489,0.177102,-0.046485,-0.268922,0.183704,0
57.428,-2.936640,-5.507798,-0.014694,3.064218,0.055286,-0.026295,0.203657,-0.053767,-0.270419,0.211337,0
57.528,-2.916465,-5.510746,-0.019879,3.084919,0.052034,-0.031744,0.227410,-0.060478,-0.272454,0.225416,0
57.630,-2.893785,-5.514187,-0.025726,3.108193,0.048252,-0.037880,0.252755,-0.066545,-0.269706,0.262235,0
57.730,-2.868633,-5.518122,-0.032142,3.133838,0.043941,-0.044583,0.278278,-0.076438,-0.280794,0.289621,0
57.830,-2.840941,-5.522733,-0.039384,3.162281,0.038781,-0.052154,0.304506,-0.085062,-0.285310,0.317334,0
57.930,-2.810357,-5.528130,-0.047516,3.193145,0.032843,-0.060693,0.330696,-0.093546,-0.288721,0.344975,0
58.032,-2.777004,-5.534336,-0.056454,3.226565,0.026062,-0.070044,0.357119,-0.101344,-0.289596,0.372635,0
58.132,-2.741087,-5.541404,-0.066170,3.262527,0.018366,-0.080241,0.383669,-0.109782,-0.291864,0.400612,0
