t_sim,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw,cmd_v,cmd_w,steer,traction,refusals
66.524,-3.000000,-5.500000,-0.000000,2.985783,0.065378,-0.007915,0.000000,0.000000,nan,nan,0
66.624,-3.000000,-5.500000,-0.000000,2.985783,0.065378,-0.007915,0.000000,0.000000,nan,nan,0
66.724,-2.999782,-5.499999,0.000002,2.985966,0.065377,-0.007915,0.025000,0.000236,0.009919,0.025001,0
66.826,-2.996800,-5.499996,0.000007,2.989063,0.065354,-0.008170,0.056086,-0.002059,-0.038533,0.056128,0
66.926,-2.991935,-5.500054,-0.000108,2.994195,0.065241,-0.008473,0.070977,-0.002340,-0.034606,0.071019,0
67.026,-2.984434,-5.500187,-0.000371,3.003499,0.064990,-0.009130,0.093976,-0.004410,-0.049236,0.094090,0
67.126,-2.974638,-5.500397,-0.000780,3.013758,0.064681,-0.009781,0.117137,-0.006094,-0.054571,0.117312,0
67.228,-2.962476,-5.500689,-0.001337,3.026529,0.064259,-0.010551,0.146715,-0.006099,-0.043622,0.146854,0
67.328,-2.947639,-5.501064,-0.002038,3.041891,0.063741,-0.011475,0.166000,-0.007432,-0.046973,0.166184,0
67.428,-2.930711,-5.501496,-0.002818,3.059392,0.063143,-0.012504,0.193384,-0.008754,-0.047497,0.193602,0
67.528,-2.911137,-5.502004,-0.003707,3.079456,0.062442,-0.013668,0.214443,-0.009301,-0.045510,0.214665,0
67.630,-2.889316,-5.502578,-0.004672,3.101762,0.061652,-0.014843,0.236512,-0.010189,-0.045205,0.236754,0
67.730,-2.865222,-5.503219,-0.005706,3.126107,0.060778,-0.016063,0.259690,-0.010409,-0.042063,0.259920,0
67.830,-2.838473,-5.503946,-0.006824,3.153565,0.059774,-0.017380,0.285269,-0.011128,-0.040937,0.285509,0
67.930,-2.809501,-5.504747,-0.007997,3.183038,0.058674,-0.018718,0.308714,-0.010482,-0.035637,0.308910,0
68.030,-2.777897,-5.505634,-0.009227,3.215008,0.057463,-0.020223,0.335044,-0.011828,-0.037050,0.335274,0
68.130,-2.743769,-5.506605,-0.010496,3.249694,0.056127,-0.021700,0.359492,-0.010980,-0.032059,0.359677,0
68.230,-2.707128,-5.507650,-0.011770,3.286833,0.054691,-0.023200,0.396505,-0.011341,-0.029749,0.387253,0
68.330,-2.667757,-5.508766,-0.013027,3.318659,0.053451,-0.024365,0.413325,-0.010470,-0.026591,0.413471,0
68.430,-2.625550,-5.509931,-0.014206,3.369799,0.051503,-0.026161,0.453758,-0.010046,-0.023243,0.453881,0
68.530,-2.580224,-5.511158,-0.015322,3.415633,0.049765,-0.027436,0.473680,-0.007861,-0.017423,0.473752,0
68.630,-2.532775,-5.512411,-0.016325,3.463844,0.047972,-0.028638,0.501625,-0.005211,-0.010907,0.501654,0
68.730,-2.482564,-5.513648,-0.017118,3.514726,0.046162,-0.029671,0.529305,-0.001102,-0.002187,0.529306,0
68.830,-2.429624,-5.514805,-0.017590,3.568331,0.044410,-0.030307,0.550922,0.003512,0.006693,0.550934,0
68.930,-2.374009,-5.515668,-0.017363,3.624711,0.042999,-0.030082,0.575929,0.013637,0.024858,0.576107,0
69.030,-2.315496,-5.515963,-0.015992,3.682568,0.042612,-0.027682,0.600000,0.026873,0.046993,0.600663,0
69.130,-2.255390,-5.515731,-0.013744,3.737705,0.044446,-0.021737,0.600000,0.016684,0.029189,0.600256,0
69.230,-2.195397,-5.515491,-0.011736,3.797975,0.044219,-0.019920,0.600000,0.014267,0.024961,0.600187,0
69.330,-2.135404,-5.515205,-0.009866,3.858199,0.044027,-0.018277,0.600000,0.013020,0.022781,0.600156,0
69.430,-2.075402,-5.514869,-0.008114,3.918520,0.043872,-0.016778,0.600000,0.011761,0.020579,0.600127,0
69.530,-2.015362,-5.514513,-0.006524,3.978739,0.043720,-0.015411,0.600000,0.010875,0.019028,0.600109,0
69.630,-1.955343,-5.514124,-0.005050,4.037428,0.043971,-0.014038,0.600000,0.009586,0.016775,0.600084,0
69.730,-1.895276,-5.513727,-0.003729,4.113603,0.046105,-0.012098,0.600000,0.007584,0.013272,0.600053,0
69.838,-1.835245,-5.513357,-0.002611,4.172672,0.045985,-0.011121,0.600000,0.006940,0.012449,0.600046,0
69.938,-1.775249,-5.512974,-0.001592,4.234125,0.045884,-0.010277,0.600000,0.006305,0.011034,0.600037,0
70.038,-1.715253,-5.512560,-0.000630,4.294417,0.045813,-0.009563,0.600000,0.005413,0.009985,0.600030,0
70.138,-1.655258,-5.512118,0.000277,4.356267,0.047107,-0.006080,0.600000,0.004764,0.008337,0.600021,0
70.238,-1.595327,-5.511721,0.000988,4.422206,0.053209,0.005697,0.600000,-0.007070,-0.012371,0.600046,0
70.340,-1.535452,-5.511879,0.000572,4.482540,0.053309,0.004983,0.600000,-0.009934,-0.017382,0.600091,0
70.440,-1.475446,-5.512156,-0.000016,4.542865,0.053329,0.004239,0.600000,-0.009560,-0.016729,0.600084,0
70.540,-1.415443,-5.512482,-0.000633,4.603166,0.053256,0.003309,0.600000,-0.014831,-0.025948,0.600202,0
70.640,-1.355434,-5.513074,-0.001679,4.661158,0.051755,0.001192,0.600000,-0.013304,-0.023277,0.600163,0
70.740,-1.295429,-5.513699,-0.002668,4.712224,0.046394,-0.003514,0.600000,-0.005638,-0.012978,0.600051,0
70.840,-1.235434,-5.514354,-0.003602,4.771319,0.045744,-0.004666,0.600000,-0.004503,-0.008343,0.600021,0
70.940,-1.175487,-5.515033,-0.004477,4.832819,0.045035,-0.005779,0.600000,-0.003405,-0.005959,0.600011,0
71.040,-1.115539,-5.515699,-0.005226,4.893119,0.044340,-0.006724,0.600000,-0.001890,-0.003307,0.600003,0
71.140,-1.055600,-5.516356,-0.005874,4.955093,0.041800,-0.008981,0.600000,-0.000945,-0.001653,0.600001,0
71.240,-0.995610,-5.517137,-0.006695,5.022031,0.033116,-0.015926,0.600241,0.011426,0.019985,0.600361,0
71.340,-0.935488,-5.517509,-0.006615,5.082316,0.032448,-0.015825,0.600000,0.016786,0.029368,0.600259,0
71.440,-0.875356,-5.517255,-0.005385,5.142611,0.032186,-0.014711,0.600000,0.015908,0.027831,0.600232,0
71.540,-0.815345,-5.516937,-0.004175,5.202907,0.031974,-0.013695,0.600000,0.013916,0.024348,0.600178,0
