utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:34:42Z,31.17,14181.1,0,0.0
2026-08-07T09:34:44Z,31.17,14147.4,0,0.0
2026-08-07T09:34:47Z,33.72,14123.8,9,374.6
2026-08-07T09:34:49Z,33.72,13785.8,9,685.4
2026-08-07T09:34:52Z,35.99,13649.6,8,1221.4
2026-08-07T09:34:55Z,35.99,13288.5,8,991.5
2026-08-07T09:34:57Z,38.39,13470.4,8,991.7
2026-08-07T09:35:00Z,38.39,13442.2,10,1048.9
2026-08-07T09:35:03Z,40.84,13396.7,10,1089.3
2026-08-07T09:35:05Z,40.84,13378.7,10,1089.3
2026-08-07T09:35:08Z,42.86,13380.9,10,1089.3
2026-08-07T09:35:11Z,42.86,13367.0,10,1091.5
2026-08-07T09:35:13Z,44.47,13373.1,10,1091.7
2026-08-07T09:35:16Z,44.47,13350.6,10,1091.0
2026-08-07T09:35:19Z,46.11,13347.9,10,1090.9
2026-08-07T09:35:21Z,46.11,13343.4,10,1090.9
2026-08-07T09:35:23Z,47.63,13389.2,10,1090.9
2026-08-07T09:35:26Z,47.63,13349.0,17,1418.7
2026-08-07T09:35:29Z,49.66,13164.0,17,1499.6
2026-08-07T09:35:32Z,50.73,13117.7,17,1500.3
2026-08-07T09:35:34Z,50.73,13134.9,17,1500.3
2026-08-07T09:35:37Z,51.71,13124.2,17,1500.3
2026-08-07T09:35:40Z,51.71,13135.5,17,1500.3
2026-08-07T09:35:42Z,52.7,13134.1,17,1500.3
2026-08-07T09:35:45Z,52.7,13114.4,17,1500.3
2026-08-07T09:35:48Z,53.6,13132.4,17,1500.3
2026-08-07T09:35:51Z,53.6,13106.8,17,1500.3
2026-08-07T09:35:53Z,54.43,13128.6,17,1500.3
2026-08-07T09:35:56Z,54.43,13119.6,17,1500.3
2026-08-07T09:35:59Z,55.44,13130.7,17,1500.3
2026-08-07T09:36:01Z,55.44,13130.0,17,1500.3
2026-08-07T09:36:04Z,56.13,13111.8,17,1500.3
2026-08-07T09:36:07Z,56.52,13132.5,17,1500.3
2026-08-07T09:36:10Z,56.52,13121.0,17,1500.3
2026-08-07T09:36:13Z,58.96,13128.7,17,1500.3
2026-08-07T09:36:15Z,58.96,13132.2,17,1500.3
2026-08-07T09:36:18Z,59.6,13129.8,17,1500.3
2026-08-07T09:36:21Z,59.6,13131.6,17,1500.6
2026-08-07T09:36:24Z,60.91,13134.0,17,1500.6
2026-08-07T09:36:26Z,60.91,13127.9,17,1500.6
2026-08-07T09:36:29Z,61.48,13116.6,17,1500.6
2026-08-07T09:36:32Z,61.68,13131.3,17,1500.6
2026-08-07T09:36:34Z,61.68,13118.8,17,1551.5
2026-08-07T09:36:37Z,62.35,13105.3,17,1560.3
2026-08-07T09:36:40Z,62.35,13101.9,17,1560.4
2026-08-07T09:36:43Z,62.56,13098.0,17,1560.4
2026-08-07T09:36:45Z,62.56,13100.7,17,1560.4
2026-08-07T09:36:48Z,63.0,13099.3,17,1560.4
2026-08-07T09:36:51Z,63.0,13100.7,17,1560.0
2026-08-07T09:36:53Z,63.4,13099.3,17,1560.0
2026-08-07T09:36:56Z,63.4,13100.0,17,1560.0
2026-08-07T09:36:59Z,63.93,13096.0,17,1559.8
2026-08-07T09:37:02Z,63.93,13092.0,19,1608.2
2026-08-07T09:37:05Z,63.85,13062.8,19,1662.0
2026-08-07T09:37:08Z,63.87,13034.3,19,1664.6
2026-08-07T09:37:10Z,63.87,13024.6,19,1666.2
2026-08-07T09:37:13Z,64.52,13026.8,19,1666.5
2026-08-07T09:37:16Z,64.52,13028.2,19,1666.6
2026-08-07T09:37:18Z,64.48,13029.2,19,1666.6
2026-08-07T09:37:21Z,64.48,13028.4,19,1666.8
2026-08-07T09:37:25Z,64.36,13030.7,19,1667.3
2026-08-07T09:37:27Z,64.25,13031.5,19,1667.9
2026-08-07T09:37:30Z,64.25,13080.6,17,1567.5
2026-08-07T09:37:33Z,65.11,13070.9,17,1567.2
