utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T08:46:54Z,1.6,14184.7,0,0.0
2026-08-07T08:46:55Z,1.63,13804.9,8,636.7
2026-08-07T08:46:57Z,1.63,13673.7,8,1054.3
2026-08-07T08:46:58Z,1.63,13456.2,8,982.7
2026-08-07T08:47:00Z,2.3,13400.8,10,1079.6
2026-08-07T08:47:01Z,2.3,13371.3,10,1081.0
2026-08-07T08:47:03Z,2.3,13366.3,10,1081.6
2026-08-07T08:47:04Z,2.3,13365.3,10,1082.2
2026-08-07T08:47:06Z,2.28,13345.3,10,1084.0
2026-08-07T08:47:07Z,2.28,13365.5,13,1138.5
2026-08-07T08:47:09Z,2.28,13153.4,17,1465.5
2026-08-07T08:47:10Z,3.14,13129.6,17,1471.7
2026-08-07T08:47:12Z,3.14,13135.1,17,1488.9
2026-08-07T08:47:13Z,3.14,13120.5,17,1488.9
2026-08-07T08:47:15Z,3.68,13132.2,17,1488.9
2026-08-07T08:47:16Z,3.68,13115.3,17,1488.9
2026-08-07T08:47:18Z,3.68,13139.6,17,1488.9
2026-08-07T08:47:19Z,3.68,13105.8,17,1488.9
2026-08-07T08:47:21Z,4.91,13114.8,17,1551.4
2026-08-07T08:47:22Z,4.91,13103.0,17,1551.4
2026-08-07T08:47:24Z,4.91,13103.1,17,1551.4
2026-08-07T08:47:25Z,5.4,13110.1,17,1551.4
2026-08-07T08:47:27Z,5.4,13108.2,17,1551.4
2026-08-07T08:47:28Z,5.4,13110.8,17,1551.4
2026-08-07T08:47:30Z,5.13,13112.8,17,1551.4
2026-08-07T08:47:31Z,5.13,13114.1,17,1551.4
2026-08-07T08:47:33Z,5.13,13115.3,17,1551.4
2026-08-07T08:47:34Z,5.13,13112.5,17,1551.4
2026-08-07T08:47:36Z,5.04,13111.6,17,1551.4
2026-08-07T08:47:37Z,5.04,13116.5,17,1551.4
2026-08-07T08:47:39Z,5.04,13115.5,17,1551.4
2026-08-07T08:47:40Z,4.63,13116.1,17,1551.4
2026-08-07T08:47:42Z,4.63,13115.1,17,1551.4
2026-08-07T08:47:43Z,4.63,13115.7,17,1551.4
2026-08-07T08:47:45Z,4.26,13119.0,17,1551.4
2026-08-07T08:47:46Z,4.26,13112.7,17,1551.4
2026-08-07T08:47:48Z,4.26,13114.6,19,1608.0
2026-08-07T08:47:49Z,4.26,13061.3,19,1646.7
2026-08-07T08:47:51Z,4.4,13060.7,19,1654.6
2026-08-07T08:47:52Z,4.4,13102.3,17,1555.3
