t_s,model_x,model_y,model_yaw,viz_front_x,viz_front_y,viz_front_qz,viz_front_qw
2.233207,-1.774910,-5.500390,-0.000315,-0.514744,-5.050872,0.382512,0.923951
4.430822,-1.060910,-5.500670,-0.000383,0.134272,-5.051170,0.382495,0.923958
6.830726,-0.426912,-5.500940,-0.000413,0.790280,-5.051467,0.382486,0.923961
8.856850,0.245088,-5.501240,-0.000430,1.434285,-5.051758,0.382481,0.923963
10.935513,0.838088,-5.501500,-0.000438,2.033287,-5.052027,0.382479,0.923964
13.027730,1.475090,-5.501780,-0.000443,2.689288,-5.052322,0.382478,0.923965
15.094583,2.099090,-5.502060,-0.000445,3.337289,-5.052612,0.382477,0.923965
17.179827,2.757090,-5.502350,-0.000446,3.987289,-5.052903,0.382477,0.923965
19.205287,3.407090,-5.502640,-0.000447,4.639289,-5.053195,0.382477,0.923965
21.459537,4.055090,-5.502930,-0.000447,5.336289,-5.053507,0.382477,0.923965
23.667979,4.790090,-5.503260,-0.000447,6.032289,-5.053818,0.382477,0.923965
25.734965,5.442090,-5.503550,-0.000447,6.688289,-5.054111,0.382477,0.923965
27.757185,6.093090,-5.503850,-0.000447,7.288288,-5.054379,0.382477,0.923965
29.928739,6.698090,-5.504120,-0.000447,7.991288,-5.054693,0.382477,0.923965
