t_s,link_up,reading_a_mmps,seq_a,a_advanced,seq_a_frozen_s,reading_b_mmps,seq_b,b_advanced,seq_b_frozen_s,motion_present,motion_valid,mot_silence_s
0.000,0,0,0,0,,0,0,0,,1,0,
0.051,0,0,0,0,,0,0,0,,1,0,
0.101,0,0,0,0,,0,0,0,,1,0,
0.150,0,0,0,0,,0,0,0,,1,0,
0.202,0,0,0,0,,0,0,0,,1,0,
0.250,0,0,0,0,,0,0,0,,1,0,
0.300,0,0,0,0,,0,0,0,,1,0,
0.352,0,0,0,0,,0,0,0,,1,0,
0.402,0,0,0,0,,0,0,0,,1,0,
0.451,0,0,0,0,,0,0,0,,1,0,
0.500,0,0,0,0,,0,0,0,,1,0,
0.552,0,0,0,0,,0,0,0,,1,0,
0.601,0,0,0,0,,0,0,0,,1,0,
0.651,0,0,0,0,,0,0,0,,1,0,
0.700,0,0,0,0,,0,0,0,,1,0,
0.751,0,0,0,0,,0,0,0,,1,0,
0.802,0,0,0,0,,0,0,0,,1,0,
0.851,0,0,0,0,,0,0,0,,1,0,
0.902,0,0,0,0,,0,0,0,,1,0,
0.951,0,0,0,0,,0,0,0,,1,0,
1.000,0,0,0,0,,0,0,0,,1,0,
1.052,0,0,0,0,,0,0,0,,1,0,
1.102,0,0,0,0,,0,0,0,,1,0,
1.150,0,0,0,0,,0,0,0,,1,0,
1.200,0,0,0,0,,0,0,0,,1,0,
1.251,0,0,0,0,,0,0,0,,1,0,
1.301,0,0,0,0,,0,0,0,,1,0,
1.351,0,0,0,0,,0,0,0,,1,0,
1.402,0,0,0,0,,0,0,0,,1,0,
1.451,0,0,0,0,,0,0,0,,1,0,
1.501,0,0,0,0,,0,0,0,,1,0,
1.552,0,0,0,0,,0,0,0,,1,0,
1.600,0,0,0,0,,0,0,0,,1,0,
1.651,0,0,0,0,,0,0,0,,1,0,
1.702,0,0,0,0,,0,0,0,,1,0,
1.752,0,0,0,0,,0,0,0,,1,0,
1.801,0,0,0,0,,0,0,0,,1,0,
1.851,0,0,0,0,,0,0,0,,1,0,
1.901,0,0,0,0,,0,0,0,,1,0,
1.950,0,0,0,0,,0,0,0,,1,0,
2.001,0,0,0,0,,0,0,0,,1,0,
2.050,0,0,0,0,,0,0,0,,1,0,
2.102,0,0,0,0,,0,0,0,,1,0,
2.152,0,0,0,0,,0,0,0,,1,0,
2.201,0,0,0,0,,0,0,0,,1,0,
2.250,0,0,0,0,,0,0,0,,1,0,
2.302,0,0,0,0,,0,0,0,,1,0,
2.351,0,0,0,0,,0,0,0,,1,0,
2.400,1,0,0,0,,0,0,0,,1,0,
2.452,1,0,0,0,,0,0,0,,1,0,
2.501,1,0,0,0,,0,0,0,,1,0,
2.550,1,0,0,0,,0,0,0,,1,0,
2.601,1,0,0,0,,0,0,0,,1,0,
2.652,1,0,0,0,,0,0,0,,1,0,
2.700,1,0,0,0,,0,0,0,,1,0,
2.751,1,0,0,0,,0,0,0,,1,0,
2.802,1,0,0,0,,0,0,0,,1,0,
2.851,1,0,0,0,,0,0,0,,1,0,
2.901,1,0,0,0,,0,0,0,,1,0,
2.952,1,0,0,0,,0,0,0,,1,0,
3.001,1,0,0,0,,0,0,0,,1,0,
3.052,1,0,0,0,,0,0,0,,1,0,
3.102,1,0,0,0,,0,0,0,,1,0,
3.152,1,0,0,0,,0,0,0,,1,0,
3.201,1,0,0,0,,0,0,0,,1,0,
3.251,1,0,0,0,,0,0,0,,1,0,
3.300,1,0,0,0,,0,0,0,,1,0,
3.350,1,0,0,0,,0,0,0,,1,0,
3.402,1,0,0,0,,0,0,0,,1,0,
3.452,1,0,0,0,,0,0,0,,1,0,
3.502,1,0,0,0,,0,0,0,,1,0,
3.551,1,0,0,0,,0,0,0,,1,0,
3.601,1,0,0,0,,0,0,0,,1,0,
3.651,1,0,0,0,,0,0,0,,1,0,
3.701,1,0,0,0,,0,0,0,,1,0,
3.752,1,0,0,0,,0,0,0,,1,0,
3.800,1,0,0,0,,0,0,0,,1,0,
3.852,1,0,0,0,,0,0,0,,1,0,
3.901,1,0,0,0,,0,0,0,,1,0,
3.951,1,0,0,0,,0,0,0,,1,0,
4.000,1,0,0,0,,0,0,0,,1,0,
4.052,1,0,0,0,,0,0,0,,1,0,
4.100,1,0,0,0,,0,0,0,,1,0,
4.151,1,0,0,0,,0,0,0,,1,0,
4.200,1,0,0,0,,0,0,0,,1,0,
