t_s,link_up,reading_a_mmps,seq_a,a_advanced,seq_a_frozen_s,reading_b_mmps,seq_b,b_advanced,seq_b_frozen_s,motion_present,motion_valid,mot_silence_s
0.000,0,0,0,0,,0,0,0,,1,0,
0.051,0,0,0,0,,0,0,0,,1,0,
0.101,0,0,0,0,,0,0,0,,1,0,
0.151,0,0,0,0,,0,0,0,,1,0,
0.200,0,0,0,0,,0,0,0,,1,0,
0.251,0,0,0,0,,0,0,0,,1,0,
0.301,0,0,0,0,,0,0,0,,1,0,
0.351,0,0,0,0,,0,0,0,,1,0,
0.402,0,0,0,0,,0,0,0,,1,0,
0.451,0,0,0,0,,0,0,0,,1,0,
0.501,0,0,0,0,,0,0,0,,1,0,
0.552,0,0,0,0,,0,0,0,,1,0,
0.602,0,0,0,0,,0,0,0,,1,0,
0.651,0,0,0,0,,0,0,0,,1,0,
0.700,0,0,0,0,,0,0,0,,1,0,
0.751,0,0,0,0,,0,0,0,,1,0,
0.801,0,0,0,0,,0,0,0,,1,0,
0.851,0,0,0,0,,0,0,0,,1,0,
0.902,0,0,0,0,,0,0,0,,1,0,
0.951,0,0,0,0,,0,0,0,,1,0,
1.002,0,0,0,0,,0,0,0,,1,0,
1.052,0,0,0,0,,0,0,0,,1,0,
1.101,0,0,0,0,,0,0,0,,1,0,
1.150,0,0,0,0,,0,0,0,,1,0,
1.202,0,0,0,0,,0,0,0,,1,0,
1.252,0,0,0,0,,0,0,0,,1,0,
1.301,0,0,0,0,,0,0,0,,1,0,
1.352,0,0,0,0,,0,0,0,,1,0,
1.401,0,0,0,0,,0,0,0,,1,0,
1.451,0,0,0,0,,0,0,0,,1,0,
1.500,0,0,0,0,,0,0,0,,1,0,
1.550,0,0,0,0,,0,0,0,,1,0,
1.601,0,0,0,0,,0,0,0,,1,0,
1.651,0,0,0,0,,0,0,0,,1,0,
1.700,0,0,0,0,,0,0,0,,1,0,
1.752,0,0,0,0,,0,0,0,,1,0,
1.801,0,0,0,0,,0,0,0,,1,0,
1.852,0,0,0,0,,0,0,0,,1,0,
1.901,0,0,0,0,,0,0,0,,1,0,
1.952,0,0,0,0,,0,0,0,,1,0,
2.001,0,0,0,0,,0,0,0,,1,0,
2.052,0,0,0,0,,0,0,0,,1,0,
2.102,0,0,0,0,,0,0,0,,1,0,
2.151,0,0,0,0,,0,0,0,,1,0,
2.201,0,0,0,0,,0,0,0,,1,0,
2.251,0,0,0,0,,0,0,0,,1,0,
2.301,0,0,0,0,,0,0,0,,1,0,
2.350,0,0,0,0,,0,0,0,,1,0,
2.400,1,0,0,0,,0,0,0,,1,0,
2.450,1,0,0,0,,0,0,0,,1,0,
2.501,1,0,0,0,,0,0,0,,1,0,
2.552,1,0,0,0,,0,0,0,,1,0,
2.600,1,0,0,0,,0,0,0,,1,0,
2.650,1,0,0,0,,0,0,0,,1,0,
2.700,1,0,0,0,,0,0,0,,1,0,
2.751,1,308,1,1,0.000,0,0,0,,1,0,
2.802,1,306,2,1,0.000,295,1,1,0.000,1,1,0.015
2.852,1,293,3,1,0.000,297,2,1,0.000,1,1,0.015
2.900,1,303,4,1,0.000,300,3,1,0.000,1,1,0.013
2.951,1,295,5,1,0.000,299,4,1,0.000,1,1,0.013
3.001,1,299,6,1,0.000,303,5,1,0.000,1,1,0.015
3.050,1,307,7,1,0.000,293,6,1,0.000,1,1,0.013
3.102,1,289,8,1,0.000,311,7,1,0.000,1,1,0.015
3.150,1,310,9,1,0.000,299,8,1,0.000,1,1,0.014
3.201,1,288,10,1,0.000,288,9,1,0.000,1,1,0.015
3.251,1,308,11,1,0.000,308,10,1,0.000,1,1,0.013
3.301,1,296,12,1,0.000,307,11,1,0.000,1,1,0.015
3.352,1,306,13,1,0.000,295,12,1,0.000,1,1,0.014
3.402,1,296,14,1,0.000,300,13,1,0.000,1,1,0.015
3.451,1,307,15,1,0.000,304,14,1,0.000,1,1,0.013
3.500,1,296,16,1,0.000,300,15,1,0.000,1,1,0.013
3.551,1,292,17,1,0.000,304,16,1,0.000,1,1,0.014
3.602,1,307,18,1,0.000,296,17,1,0.000,1,1,0.015
3.650,1,292,19,1,0.000,296,18,1,0.000,1,1,0.013
3.701,1,311,20,1,0.000,296,19,1,0.000,1,1,0.013
3.751,1,296,21,1,0.000,311,20,1,0.000,1,1,0.013
3.801,1,296,22,1,0.000,300,21,1,0.000,1,1,0.013
