t_s,link_up,reading_a_mmps,seq_a,a_advanced,seq_a_frozen_s,reading_b_mmps,seq_b,b_advanced,seq_b_frozen_s,motion_present,motion_valid,mot_silence_s
0.000,0,0,0,0,,0,0,0,,1,0,
0.051,0,0,0,0,,0,0,0,,1,0,
0.102,0,0,0,0,,0,0,0,,1,0,
0.150,1,0,0,0,,0,0,0,,1,0,
0.200,1,307,1,1,0.000,289,1,1,0.000,1,1,0.017
0.252,1,303,2,1,0.000,307,2,1,0.000,1,1,0.034
0.302,1,289,3,1,0.000,304,3,1,0.000,1,1,0.035
0.351,1,306,4,1,0.000,299,4,1,0.000,1,1,0.034
0.401,1,300,5,1,0.000,296,5,1,0.000,1,1,0.035
0.451,1,300,5,0,0.050,296,5,0,0.050,1,1,0.034
0.502,1,216,6,1,0.000,208,6,1,0.000,1,1,0.034
0.552,1,301,7,1,0.000,301,7,1,0.000,1,1,0.034
0.601,1,302,8,1,0.000,299,8,1,0.000,1,1,0.034
0.650,1,297,9,1,0.000,293,9,1,0.000,1,1,0.034
0.700,1,300,10,1,0.000,311,10,1,0.000,1,1,0.032
0.752,1,307,11,1,0.000,296,11,1,0.000,1,1,0.034
0.802,1,292,12,1,0.000,307,12,1,0.000,1,1,0.035
0.851,1,300,13,1,0.000,296,13,1,0.000,1,1,0.033
0.901,1,307,14,1,0.000,296,14,1,0.000,1,1,0.035
0.951,1,299,15,1,0.000,299,15,1,0.000,1,1,0.035
1.001,1,296,16,1,0.000,303,16,1,0.000,1,1,0.035
1.051,1,300,17,1,0.000,304,17,1,0.000,1,1,0.034
1.102,1,307,18,1,0.000,292,18,1,0.000,1,1,0.035
1.151,1,292,19,1,0.000,303,19,1,0.000,1,1,0.034
1.201,1,296,20,1,0.000,304,20,1,0.000,1,1,0.035
1.251,1,307,21,1,0.000,296,21,1,0.000,1,1,0.034
1.301,1,301,22,1,0.000,297,22,1,0.000,1,1,0.033
1.351,1,302,23,1,0.000,298,23,1,0.000,1,1,0.035
1.401,1,294,24,1,0.000,305,24,1,0.000,1,1,0.034
1.450,1,298,25,1,0.000,305,25,1,0.000,1,1,0.032
1.500,1,304,26,1,0.000,293,26,1,0.000,1,1,0.032
1.550,1,300,27,1,0.000,307,27,1,0.000,1,1,0.032
1.600,1,299,28,1,0.000,295,28,1,0.000,1,1,0.032
1.651,1,304,29,1,0.000,301,29,1,0.000,1,1,0.035
1.701,1,292,30,1,0.000,307,30,1,0.000,1,1,0.034
1.752,1,313,31,1,0.000,284,31,1,0.000,1,1,0.035
1.801,1,291,32,1,0.000,309,32,1,0.000,1,1,0.034
1.852,1,303,33,1,0.000,303,33,1,0.000,1,1,0.035
1.901,1,296,34,1,0.000,292,34,1,0.000,1,1,0.034
1.951,1,303,35,1,0.000,307,35,1,0.000,1,1,0.034
2.002,1,293,36,1,0.000,293,36,1,0.000,1,1,0.035
2.052,1,306,37,1,0.000,299,37,1,0.000,1,1,0.034
2.101,1,300,38,1,0.000,304,38,1,0.000,1,1,0.034
2.151,1,300,39,1,0.000,300,39,1,0.000,1,1,0.034
2.201,1,297,40,1,0.000,300,40,1,0.000,1,1,0.035
2.251,1,303,41,1,0.000,299,41,1,0.000,1,1,0.034
2.301,1,300,42,1,0.000,307,42,1,0.000,1,1,0.034
2.351,1,303,43,1,0.000,303,43,1,0.000,1,1,0.032
2.401,1,295,44,1,0.000,292,44,1,0.000,1,1,0.032
2.451,1,294,45,1,0.000,309,45,1,0.000,1,1,0.032
2.501,1,307,46,1,0.000,292,46,1,0.000,1,1,0.032
2.550,1,303,47,1,0.000,296,47,1,0.000,1,1,0.032
2.602,1,300,48,1,0.000,303,48,1,0.000,1,1,0.034
2.651,1,292,49,1,0.000,303,49,1,0.000,1,1,0.034
2.701,1,311,50,1,0.000,292,50,1,0.000,1,1,0.034
2.751,1,300,51,1,0.000,307,51,1,0.000,1,1,0.034
2.800,1,296,52,1,0.000,300,52,1,0.000,1,1,0.032
2.850,1,304,53,1,0.000,300,53,1,0.000,1,1,0.032
2.902,1,300,54,1,0.000,296,54,1,0.000,1,1,0.034
2.951,1,299,55,1,0.000,299,55,1,0.000,1,1,0.034
3.001,1,297,56,1,0.000,312,56,1,0.000,1,1,0.034
3.051,1,303,57,1,0.000,292,57,1,0.000,1,1,0.034
3.100,1,292,58,1,0.000,296,58,1,0.000,1,1,0.032
