t_s,link_up,reading_a_mmps,seq_a,a_advanced,seq_a_frozen_s,reading_b_mmps,seq_b,b_advanced,seq_b_frozen_s,motion_present,motion_valid,mot_silence_s
0.000,0,0,0,0,,0,0,0,,1,0,
0.051,0,0,0,0,,0,0,0,,1,0,
0.102,0,0,0,0,,0,0,0,,1,0,
0.151,0,0,0,0,,0,0,0,,1,0,
0.201,0,0,0,0,,0,0,0,,1,0,
0.252,0,0,0,0,,0,0,0,,1,0,
0.301,0,0,0,0,,0,0,0,,1,0,
0.350,0,0,0,0,,0,0,0,,1,0,
0.402,0,0,0,0,,0,0,0,,1,0,
0.451,0,0,0,0,,0,0,0,,1,0,
0.502,0,0,0,0,,0,0,0,,1,0,
0.551,0,0,0,0,,0,0,0,,1,0,
0.601,0,0,0,0,,0,0,0,,1,0,
0.650,0,0,0,0,,0,0,0,,1,0,
0.702,0,0,0,0,,0,0,0,,1,0,
0.751,0,0,0,0,,0,0,0,,1,0,
0.802,0,0,0,0,,0,0,0,,1,0,
0.850,0,0,0,0,,0,0,0,,1,0,
0.900,0,0,0,0,,0,0,0,,1,0,
0.951,0,0,0,0,,0,0,0,,1,0,
1.001,0,0,0,0,,0,0,0,,1,0,
1.051,0,0,0,0,,0,0,0,,1,0,
1.104,0,0,0,0,,0,0,0,,1,0,
1.152,0,0,0,0,,0,0,0,,1,0,
1.202,0,0,0,0,,0,0,0,,1,0,
1.251,0,0,0,0,,0,0,0,,1,0,
1.301,0,0,0,0,,0,0,0,,1,0,
1.351,1,0,0,0,,0,0,0,,1,0,
1.400,1,0,0,0,,0,0,0,,1,0,
1.450,1,0,0,0,,0,0,0,,1,0,
1.501,1,0,0,0,,0,0,0,,1,0,
1.551,1,0,0,0,,0,0,0,,1,0,
1.600,1,0,0,0,,0,0,0,,1,0,
1.650,1,0,0,0,,0,0,0,,1,0,
1.702,1,0,0,0,,0,0,0,,1,0,
1.752,1,0,0,0,,0,0,0,,1,0,
1.802,1,0,0,0,,0,0,0,,1,0,
1.851,1,0,0,0,,0,0,0,,1,0,
1.901,1,0,0,0,,0,0,0,,1,0,
1.951,1,0,0,0,,0,0,0,,1,0,
2.000,1,0,0,0,,0,0,0,,1,0,
2.052,1,0,0,0,,0,0,0,,1,0,
2.102,1,0,0,0,,0,0,0,,1,0,
2.151,1,0,0,0,,0,0,0,,1,0,
2.201,1,0,0,0,,0,0,0,,1,0,
2.252,1,0,0,0,,0,0,0,,1,0,
2.301,1,0,0,0,,0,0,0,,1,0,
2.350,1,0,0,0,,0,0,0,,1,0,
2.402,1,0,0,0,,0,0,0,,1,0,
2.452,1,0,0,0,,0,0,0,,1,0,
2.502,1,0,0,0,,0,0,0,,1,0,
2.552,1,0,0,0,,0,0,0,,1,0,
2.602,1,0,0,0,,0,0,0,,1,0,
2.651,1,0,0,0,,0,0,0,,1,0,
2.702,1,0,0,0,,0,0,0,,1,0,
2.752,1,0,0,0,,0,0,0,,1,0,
2.801,1,0,0,0,,0,0,0,,1,0,
2.850,1,0,0,0,,0,0,0,,1,0,
2.902,1,0,0,0,,0,0,0,,1,0,
2.951,1,0,0,0,,0,0,0,,1,0,
3.000,1,0,0,0,,0,0,0,,1,0,
3.052,1,0,0,0,,0,0,0,,1,0,
3.101,1,0,0,0,,0,0,0,,1,0,
3.151,1,0,0,0,,0,0,0,,1,0,
3.202,1,0,0,0,,0,0,0,,1,0,
3.250,1,0,0,0,,0,0,0,,1,0,
3.302,1,0,0,0,,0,0,0,,1,0,
3.352,1,0,0,0,,0,0,0,,1,0,
3.402,1,0,0,0,,0,0,0,,1,0,
3.451,1,0,0,0,,0,0,0,,1,0,
3.501,1,0,0,0,,0,0,0,,1,0,
3.552,1,0,0,0,,0,0,0,,1,0,
3.601,1,0,0,0,,0,0,0,,1,0,
3.650,1,0,0,0,,0,0,0,,1,0,
3.701,1,0,0,0,,0,0,0,,1,0,
3.750,1,0,0,0,,0,0,0,,1,0,
3.802,1,0,0,0,,0,0,0,,1,0,
3.851,1,0,0,0,,0,0,0,,1,0,
3.900,1,0,0,0,,0,0,0,,1,0,
3.952,1,0,0,0,,0,0,0,,1,0,
4.002,1,0,0,0,,0,0,0,,1,0,
4.050,1,0,0,0,,0,0,0,,1,0,
4.101,1,0,0,0,,0,0,0,,1,0,
4.152,1,0,0,0,,0,0,0,,1,0,
4.201,1,0,0,0,,0,0,0,,1,0,
