wall_utc,monotonic_s,cycle,session_state,hb_value,hb_running,HmiTractionRequest,HmiSteerRequest,HmiForkRequest,HmiTeleopRequest,HmiResetRequest,write_rtt_ms,since_last_good_write_ms
2026-07-29T06:17:05.553+00:00,130933.9369,1,CONNECTED,1,True,0.0,0.0,0.0,False,False,1.263,0.1
2026-07-29T06:17:05.653+00:00,130934.0375,2,CONNECTED,2,True,0.0,0.0,0.0,False,False,1.206,0.1
2026-07-29T06:17:05.753+00:00,130934.1376,3,CONNECTED,3,True,0.0,0.0,0.0,False,True,1.251,0.1
2026-07-29T06:17:05.853+00:00,130934.2372,4,CONNECTED,4,True,0.0,0.0,0.0,True,False,1.287,0.1
2026-07-29T06:17:05.953+00:00,130934.3372,5,CONNECTED,5,True,0.0,0.0,0.0,True,False,1.25,0.1
2026-07-29T06:17:06.053+00:00,130934.4381,6,CONNECTED,6,True,0.0,0.0,0.0,True,False,0.9,0.1
2026-07-29T06:17:06.153+00:00,130934.5377,7,CONNECTED,7,True,0.6,-0.655,0.0,True,False,1.156,0.1
2026-07-29T06:17:06.254+00:00,130934.6372,8,CONNECTED,8,True,0.6,-0.655,0.0,True,False,2.369,0.1
2026-07-29T06:17:06.354+00:00,130934.7375,9,CONNECTED,9,True,0.6,-0.655,0.0,True,False,1.849,0.1
2026-07-29T06:17:06.453+00:00,130934.8377,10,CONNECTED,10,True,0.6,-0.655,0.0,True,False,0.921,0.1
2026-07-29T06:17:06.553+00:00,130934.9372,11,CONNECTED,11,True,0.6,-0.655,0.0,True,False,0.953,0.1
2026-07-29T06:17:06.653+00:00,130935.0376,12,CONNECTED,12,True,0.6,-0.655,0.0,True,False,0.977,0.1
2026-07-29T06:17:06.753+00:00,130935.1376,13,CONNECTED,13,True,0.6,-0.655,0.0,True,False,0.828,0.1
2026-07-29T06:17:06.853+00:00,130935.2377,14,CONNECTED,14,True,0.6,-0.655,0.0,True,False,1.047,0.1
2026-07-29T06:17:06.953+00:00,130935.3378,15,CONNECTED,15,True,0.6,-0.655,0.0,True,False,1.025,0.1
