wall_utc,monotonic_s,cycle,session_state,hb_value,hb_running,HmiTractionRequest,HmiSteerRequest,HmiForkRequest,HmiTeleopRequest,HmiResetRequest,write_rtt_ms,since_last_good_write_ms,page_state,page_age_ms
2026-07-29T16:37:39.705+00:00,168144.2049,1,CONNECTED,1,True,0.0,0.0,0.0,False,False,1.081,0.0,LIVE,4.6
2026-07-29T16:37:39.805+00:00,168144.3055,2,CONNECTED,2,True,0.0,0.0,0.0,False,False,0.957,0.1,LIVE,51.7
2026-07-29T16:37:39.906+00:00,168144.4058,3,CONNECTED,3,True,0.0,0.0,0.0,False,True,1.171,0.1,LIVE,65.0
2026-07-29T16:37:40.005+00:00,168144.5053,4,CONNECTED,4,True,0.0,0.0,0.0,True,False,0.789,0.1,LIVE,41.5
2026-07-29T16:37:40.106+00:00,168144.606,5,CONNECTED,5,True,0.0,0.0,0.0,True,False,1.272,0.1,LIVE,38.3
2026-07-29T16:37:40.205+00:00,168144.7052,6,CONNECTED,6,True,0.0,0.0,0.0,True,False,0.885,0.1,LIVE,32.3
2026-07-29T16:37:40.306+00:00,168144.8062,7,CONNECTED,7,True,0.6,-0.655,0.0,True,False,1.158,0.1,LIVE,62.7
2026-07-29T16:37:40.406+00:00,168144.906,8,CONNECTED,8,True,0.6,-0.655,0.0,True,False,1.447,0.3,LIVE,163.0
2026-07-29T16:37:40.505+00:00,168145.0056,9,CONNECTED,9,True,0.6,-0.655,0.0,True,False,0.893,0.1,LIVE,60.0
2026-07-29T16:37:40.606+00:00,168145.1059,10,CONNECTED,10,True,0.6,-0.655,0.0,True,False,1.036,0.1,LIVE,160.4
2026-07-29T16:37:40.706+00:00,168145.2057,11,CONNECTED,11,True,0.6,-0.655,0.0,True,False,0.937,0.1,LIVE,58.5
2026-07-29T16:37:40.807+00:00,168145.3064,12,CONNECTED,12,True,0.6,-0.655,0.0,True,False,1.323,0.1,LIVE,159.5
2026-07-29T16:37:40.906+00:00,168145.4061,13,CONNECTED,13,True,0.6,-0.655,0.0,True,False,1.244,0.1,LIVE,57.0
2026-07-29T16:37:41.006+00:00,168145.5057,14,CONNECTED,14,True,0.6,-0.655,0.0,True,False,0.855,0.1,LIVE,19.7
2026-07-29T16:37:41.106+00:00,168145.6057,15,CONNECTED,15,True,0.6,-0.655,0.0,True,False,0.925,0.1,LIVE,12.6
2026-07-29T16:37:41.206+00:00,168145.7058,16,CONNECTED,16,True,0.6,-0.655,0.0,True,False,0.898,0.1,LIVE,8.8
2026-07-29T16:37:41.306+00:00,168145.8058,17,CONNECTED,17,True,0.6,-0.655,0.0,True,False,0.921,0.1,LIVE,54.3
2026-07-29T16:37:41.405+00:00,168145.9054,18,CONNECTED,18,True,0.6,-0.655,0.0,True,False,0.887,0.1,LIVE,153.8
2026-07-29T16:37:41.505+00:00,168146.0052,19,CONNECTED,19,True,0.6,-0.655,0.0,True,False,0.904,0.1,LIVE,52.6
2026-07-29T16:37:41.605+00:00,168146.1054,20,CONNECTED,20,True,0.6,-0.655,0.0,True,False,0.914,0.1,LIVE,152.9
