# measure_pose_arrivals run1 moving, shuttle 25 s legs at 0.35 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=180.0
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,arrival_s,interval_s,messages_in_interval
0.0,True,,104854.6,21,95.3,-104.8546,,
0.1047,True,,104925.4,21,67.8,-104.8207,,
0.176,True,,104997.3,21,42.4,-104.8213,,
0.2476,True,,105069.8,21,13.3,-104.8222,,
0.3199,True,,105168.4,21,11.5,-104.8485,,
0.4183,True,,105266.4,21,11.0,-104.8481,,
0.5162,True,,105360.1,21,3.8,-104.8439,,
0.6103,True,,105432.3,21,76.0,-104.822,,
0.6825,True,,105499.0,21,45.2,-104.8165,,
0.7492,True,,105577.5,21,20.5,-104.8283,,
0.8278,True,,105663.8,21,12.1,-104.836,,
0.9139,True,,105756.2,21,104.5,-104.8423,,
1.0062,True,,105856.1,21,2.7,-104.8499,,
1.1061,True,,105942.3,21,88.9,-104.8362,,
1.1928,True,,106008.1,21,55.6,-104.8153,,
1.2583,True,,106077.5,21,21.6,-104.8192,,
1.3276,True,,106152.1,21,96.2,-104.8245,,
1.4247,True,,106278.6,21,4.1,-104.8539,,
1.5293,True,,106359.3,21,84.8,-104.83,,
1.6097,True,,106438.9,21,74.6,-104.8292,,
1.6895,True,,106536.2,21,71.9,-104.8467,,
1.7874,True,,106613.3,21,47.5,-104.8259,,
1.8637,True,,106711.0,21,53.0,-104.8473,,
1.9609,True,,106788.8,21,27.8,-104.8279,,
2.039,True,,106868.1,21,107.0,-104.8291,,
2.1183,True,,106950.0,21,80.3,-104.8317,,
2.2004,True,,107024.9,21,62.5,-104.8245,,
2.2757,True,,107116.4,21,57.9,-104.8407,,
2.3672,True,,107193.2,21,33.0,-104.826,,
2.4435,True,,107260.9,21,6.7,-104.8174,,
2.5116,True,,107334.8,21,80.7,-104.8232,,
2.5858,True,,107410.8,21,48.1,-104.825,,
2.6616,True,,107495.8,21,34.8,-104.8342,,
2.7463,True,,107580.6,21,18.5,-104.8343,,
2.8312,True,,107655.2,21,93.2,-104.824,,
2.9062,True,,107754.4,21,98.0,-104.8482,,
3.0058,True,,107824.7,21,69.7,-104.8189,,
3.0759,True,,107921.7,21,63.1,-104.8458,,
3.2013,True,,108040.0,21,86.5,-104.8387,,
3.2908,True,,108142.5,21,86.5,-104.8517,,
3.3937,True,,108214.2,21,57.4,-104.8205,,
3.4647,True,,108301.5,21,46.9,-104.8368,,
3.5529,True,,108370.6,21,13.3,-104.8177,,
3.6221,True,,108442.8,21,85.4,-104.8207,,
3.694,True,,108515.3,21,60.0,-104.8213,,
3.7664,True,,108588.4,21,31.0,-104.822,,
3.84,True,,108660.2,21,102.8,-104.8202,,
3.9117,True,,108734.6,21,71.6,-104.8229,,
3.9864,True,,108816.3,21,60.5,-104.8299,,
4.0678,True,,108886.2,21,33.8,-104.8184,,
4.1376,True,,108956.1,21,0.8,-104.8185,,
4.2078,True,,109018.0,21,62.6,-104.8102,,
4.2698,True,,109087.8,21,34.3,-104.818,,
4.3396,True,,109165.0,21,9.5,-104.8254,,
4.4166,True,,109236.0,21,80.6,-104.8194,,
4.4877,True,,109319.7,21,65.9,-104.832,,
4.5714,True,,109419.2,21,60.3,-104.8478,,
4.6711,True,,109493.3,21,35.0,-104.8222,,
4.7451,True,,109572.3,21,13.6,-104.8272,,
4.824,True,,109668.8,21,12.2,-104.8448,,
4.9209,True,,109743.4,21,86.9,-104.8225,,
5.0213,True,,109843.6,21,87.3,-104.8223,,
5.0959,True,,109936.1,21,80.0,-104.8402,,
5.1887,True,,110004.0,21,48.7,-104.8153,,
5.2559,True,,110099.1,21,43.4,-104.8432,,
5.3514,True,,110166.9,21,12.6,-104.8155,,
5.4192,True,,110241.7,21,87.4,-104.8225,,
5.4939,True,,110304.4,21,50.4,-104.8105,,
5.5566,True,,110377.7,21,22.1,-104.8211,,
