# measure_pose_arrivals run3b moving, 14 s legs at 0.35 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.1
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
0.0,True,,9714.6,259,85.0,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.7146,,,,
0.1037,True,,9773.3,259,46.3,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6696,,,,
0.1622,True,,9852.8,259,27.5,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6906,,,,
0.2423,True,,9901.3,259,76.1,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.659,,,,
0.2904,True,,9961.9,259,37.0,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6715,,,,
0.3513,True,,10028.1,259,103.2,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6768,,,,
0.4174,True,,10091.3,259,62.2,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6739,,,,
0.4806,True,,10160.7,259,34.5,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6801,,,,
0.5501,True,,10247.3,259,25.0,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6972,,,,
0.6368,True,,10319.0,259,96.6,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6822,,,,
0.7089,True,,10373.4,259,48.1,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6645,,,,
0.7631,True,,10423.8,259,1.3,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6607,,,,
0.8261,True,,10500.5,259,78.0,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6744,,,,
0.8903,True,,10569.8,259,40.5,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6795,,,,
0.9601,True,,10656.3,259,34.5,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6962,,,,
1.0464,True,,10714.3,259,92.5,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6679,,,,
1.1045,True,,10772.6,259,46.7,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6681,,,,
1.1628,True,,10826.0,259,100.2,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6632,,,,
1.2166,True,,10889.0,259,58.3,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6724,,,,
1.28,True,,10950.9,259,27.1,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6709,,,,
1.3414,True,,11019.7,259,95.9,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6783,,,,
1.4106,True,,11137.1,259,2.8,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.7265,,,,
1.5279,True,,11186.0,259,51.8,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6581,,,,
1.5769,True,,11246.4,259,6.5,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6695,,,,
1.6381,True,,11311.7,259,71.8,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6736,,,,
1.703,True,,11376.3,259,49.3,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6733,,,,
1.7673,True,,11469.8,259,43.3,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.7025,,,,
1.8607,True,,11557.8,259,31.9,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6971,,,,
1.9485,True,,11621.1,259,95.2,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6726,,,,
2.0115,True,,11672.6,259,44.8,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6611,,,,
2.0634,True,,11725.0,259,97.2,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6616,,,,
2.1157,True,,11802.5,259,74.1,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6868,,,,
2.1928,True,,11884.7,259,52.6,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6919,,,,
2.275,True,,11948.7,259,21.1,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6737,,,,
2.3511,True,,12015.2,259,87.6,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6641,,,,
2.4048,True,,12096.3,259,64.2,6.150282052741201,12.507580912303922,-0.8024384757311526,-9.6915,,,,
