# measure_pose_arrivals run4 moving SLOW, 30 s legs at 0.15 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.05
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
0.0,True,,8707.9,366,4.5,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.7079,,,,
0.0842,True,,8788.4,366,85.0,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.7042,,,,
0.1652,True,,8866.0,366,67.4,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.7008,,,,
0.2427,True,,8915.1,366,15.3,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6724,,,,
0.2918,True,,8984.4,366,84.7,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6926,,,,
0.3609,True,,9033.7,366,33.2,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6728,,,,
0.41,True,,9083.5,366,83.0,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6735,,,,
0.4602,True,,9132.4,366,33.8,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6722,,,,
0.5091,True,,9195.3,366,96.7,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6862,,,,
0.5726,True,,9248.2,366,45.8,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6756,,,,
0.6248,True,,9362.6,366,65.3,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.7378,,,,
0.74,True,,9414.8,366,13.9,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6748,,,,
0.7919,True,,9486.5,366,85.6,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6946,,,,
0.8635,True,,9548.8,366,49.4,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6853,,,,
0.9259,True,,9612.0,366,14.2,6.307520430323954,12.203721368365109,-0.7324777628469598,-8.6861,,,,
