event,name,clock,t_start_ns,t_end_ns,interval_ns,value,note
startup,configured_signal_set,-,,,,forklift+warning,"configured signal set: forklift+warning — forklift 4in/3out/5diag (opcua-nodes.md §10), warning 1in/0out/0diag (opcua-nodes.md §13); 5 input slots, 3 output slots, 5 diagnostics, 14 nodes touched, write allowlist 6 keys; silence rule: ForkliftWarningFieldOccupied asserts True after 0.500s of silence (opcua-nodes.md §13.2 W1)"
session,session_timeout_ms,-,,,,10000.0,granted; requested 10000 (granted as requested)
session,secure_channel_lifetime_ms,-,,,,3600000.0,granted; requested 3600000
session,keepalive_period_s,-,,,,3.3333,derived from the granted timeout / 3 (§3.2 S3)
session,namespace_index:server_interfaces,-,,,,2,http://www.siemens.com/simatic-s7-opcua
session,namespace_index:interface,-,,,,3,http://DemoCell
session,connect,-,,,,,opc.tcp://172.19.176.1:4841
read_rt,ForkliftTractionSpeedRef,monotonic,399833676517522,399833677458506,940984,0.0,
L5,cmd_traction_speed,monotonic,399833677458506,399833677669871,211365,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399833677680917,399833678376357,695440,0.0,
L5,cmd_steer_angle,monotonic,399833678376357,399833678475322,98965,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399833678479839,399833679087645,607806,0.0,
L5,cmd_fork_speed,monotonic,399833679087645,399833679165939,78294,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399833648925690,399833679179098,30253408,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399833648925690,399833676506912,27581222,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399833679182378,399833682083782,2901404,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399833648925690,399833682083782,33158092,0.0,
L1,ForkliftObstacleInStopZone,monotonic,399833648462816,399833682110935,33648119,True,
L1cs,ForkliftObstacleInStopZone,monotonic,399833648462816,399833676506912,28044096,True,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleInStopZone,monotonic,399833682119396,399833683186656,1067260,True,
L3,ForkliftObstacleInStopZone,monotonic,399833648462816,399833683186656,34723840,True,
session,input_image_rewritten,-,,,,2/5,"written in one cycle; configured set forklift+warning; R1 withheld ForkliftForkHeight,ForkliftLinearSpeed,ForkliftWarningFieldOccupied"
diagnostics,Status/*,-,,,,"{'ForkliftTeleopActive': False, 'ForkliftObstacleStopActive': False, 'ForkliftSpeedLimitActive': False, 'ForkliftResetRequired': True, 'HmiLinkOk': False}",
R1,cycle,monotonic,399833676506912,399833727442707,50935795,,
read_rt,ForkliftTractionSpeedRef,monotonic,399833727458573,399833728615823,1157250,0.0,
L5,cmd_traction_speed,monotonic,399833728615823,399833728825365,209542,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399833728836110,399833729808151,972041,0.0,
L5,cmd_steer_angle,monotonic,399833729808151,399833729929883,121732,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399833729935524,399833731290266,1354742,0.0,
L5,cmd_fork_speed,monotonic,399833731290266,399833731395691,105425,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399833648925690,399833731409089,82483399,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399833648925690,399833727442707,78517017,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399833731413267,399833732650677,1237410,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399833648925690,399833732650677,83724987,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399833679182378,399833731413267,52230889,,
R1,cycle,monotonic,399833727442707,399833776847954,49405247,,
read_rt,ForkliftTractionSpeedRef,monotonic,399833776860294,399833778117894,1257600,0.0,
L5,cmd_traction_speed,monotonic,399833778117894,399833778322494,204600,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399833778330624,399833779350956,1020332,0.0,
L5,cmd_steer_angle,monotonic,399833779350956,399833779478899,127943,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399833779485497,399833780419054,933557,0.0,
L5,cmd_fork_speed,monotonic,399833780419054,399833780513409,94355,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399833748784570,399833780526822,31742252,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399833748784570,399833776847954,28063384,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399833780530929,399833781554285,1023356,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399833748784570,399833781554285,32769715,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399833731413267,399833780530929,49117662,,
R1,cycle,monotonic,399833776847954,399833826777572,49929618,,
read_rt,ForkliftTractionSpeedRef,monotonic,399833826788987,399833827909869,1120882,0.0,
L5,cmd_traction_speed,monotonic,399833827909869,399833828109633,199764,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399833828119113,399833828980819,861706,0.0,
