pose,k,stamp,observed,tru_lat_m,tru_range_m,tru_height_m,tru_yaw_rad,est_lat_m,est_range_m,est_yaw_rad,e_lat_m,e_range_m,e_2d_m,e_yaw_rad,tf,map_est_x,map_est_y,map_tru_x,map_tru_y,e_map_xy_m,pocket_u,pocket_v,face_a,face_b,inliers,valid,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,face_frac_band_roi,depth_at_pocket_px_m,chain_check_m,plane_a,plane_b,plane_c_m,plane_n,plane_c_err_m,t_decode_s,t_observe_s
staging,0,856.550000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.467137,0.003410,0.059929,-4.038395,2.266752,60911,-0.196976,0.073481,0.083130
staging,1,856.616000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464705,0.000977,0.059114,-4.039768,2.267142,60989,-0.196585,0.015190,0.072308
staging,2,856.682000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.471877,0.008150,0.059347,-4.039251,2.266914,60951,-0.196813,0.011180,0.075326
staging,3,856.748000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464041,0.000314,0.059398,-4.039611,2.266794,60920,-0.196933,0.010878,0.070082
staging,4,856.814000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.467679,0.003952,0.059469,-4.040001,2.266940,60954,-0.196787,0.010012,0.071999
staging,5,856.880000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.468070,0.004343,0.059370,-4.038513,2.266984,60959,-0.196743,0.010101,0.072262
staging,6,856.946000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.467060,0.003333,0.059638,-4.037210,2.266884,60950,-0.196843,0.012523,0.079870
staging,7,857.012000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.466145,0.002418,0.059221,-4.040084,2.267051,60971,-0.196676,0.012160,0.072973
staging,8,857.078000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.463702,-0.000025,0.059495,-4.037979,2.266841,60947,-0.196886,0.011902,0.072335
staging,9,857.144000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462918,-0.000809,0.059444,-4.040529,2.266942,60949,-0.196785,0.010981,0.071014
staging,10,857.210000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.465075,0.001348,0.059459,-4.041099,2.266992,60955,-0.196735,0.011044,0.072469
staging,11,857.276000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464448,0.000721,0.059879,-4.039317,2.266952,60949,-0.196775,0.009920,0.067802
staging,12,857.342000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.459569,-0.004158,0.059415,-4.037065,2.266878,60956,-0.196849,0.010379,0.071412
staging,13,857.408000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.467358,0.003631,0.059636,-4.038070,2.266838,60945,-0.196889,0.010953,0.066471
staging,14,857.474000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.467108,0.003381,0.059632,-4.040956,2.266931,60951,-0.196796,0.009824,0.072085
staging,15,857.540000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.463723,-0.000004,0.059390,-4.039581,2.266929,60958,-0.196798,0.009933,0.067320
staging,16,857.606000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.461949,-0.001778,0.059148,-4.039686,2.267082,60985,-0.196645,0.009803,0.070657
staging,17,857.672000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.463639,-0.000088,0.059622,-4.040855,2.266999,60962,-0.196728,0.010867,0.070212
staging,18,857.738000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.466773,0.003046,0.059313,-4.040066,2.266851,60931,-0.196876,0.010466,0.068372
staging,19,857.804000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.457950,-0.005777,0.059265,-4.039388,2.266822,60920,-0.196905,0.010446,0.066690
staging,20,857.870000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462349,-0.001378,0.059594,-4.038513,2.267006,60965,-0.196721,0.010964,0.068898
staging,21,857.936000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.460968,-0.002759,0.059557,-4.038273,2.266955,60958,-0.196772,0.010455,0.067340
staging,22,858.002000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.466889,0.003162,0.059698,-4.037850,2.266933,60948,-0.196794,0.011195,0.071744
staging,23,858.068000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.458101,-0.005626,0.059408,-4.039768,2.266877,60937,-0.196850,0.010291,0.066818
staging,24,858.134000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.461832,-0.001895,0.059306,-4.038724,2.266887,60933,-0.196840,0.011279,0.065841
staging,25,858.200000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.469333,0.005606,0.059195,-4.039261,2.266821,60919,-0.196906,0.010855,0.067449
staging,26,858.266000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.458258,-0.005469,0.059662,-4.040325,2.266882,60939,-0.196845,0.011108,0.070554
staging,27,858.332000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.457852,-0.005875,0.059827,-4.040473,2.267050,60982,-0.196677,0.009962,0.067005
staging,28,858.398000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464920,0.001193,0.059101,-4.039436,2.266905,60959,-0.196822,0.010625,0.069114
staging,29,858.464000,0,-0.399987,2.463727,-0.222700,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464663,0.000936,0.059619,-4.041353,2.266966,60949,-0.196761,0.010167,0.068231
approach_1.50m,0,870.938000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.816529,-0.002009,0.188273,-3.493617,2.193585,58619,0.375047,0.011599,0.067744
approach_1.50m,1,871.004000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.816428,-0.002111,0.188389,-3.493773,2.193617,58618,0.375079,0.011576,0.067469
approach_1.50m,2,871.070000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.821674,0.003136,0.187851,-3.493389,2.193759,58648,0.375221,0.010593,0.068298
approach_1.50m,3,871.136000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.823171,0.004633,0.187783,-3.496588,2.193720,58639,0.375182,0.012299,0.070542
approach_1.50m,4,871.202000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.820542,0.002004,0.188283,-3.496208,2.193754,58649,0.375216,0.010647,0.069028
approach_1.50m,5,871.268000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.820278,0.001740,0.188707,-3.496180,2.193619,58629,0.375081,0.011612,0.069060
approach_1.50m,6,871.334000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.824612,0.006074,0.188217,-3.495288,2.193708,58626,0.375170,0.011226,0.068749
approach_1.50m,7,871.400000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.818459,-0.000079,0.188193,-3.495313,2.193675,58639,0.375137,0.010746,0.068881
approach_1.50m,8,871.466000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.817413,-0.001126,0.188267,-3.492227,2.193545,58630,0.375007,0.010928,0.067412
approach_1.50m,9,871.532000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.812184,-0.006355,0.188280,-3.495562,2.193737,58649,0.375199,0.010667,0.069972
approach_1.50m,10,871.598000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.811068,-0.007470,0.187930,-3.495791,2.193674,58621,0.375136,0.010775,0.070053
approach_1.50m,11,871.664000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.823714,0.005175,0.188069,-3.495908,2.193754,58634,0.375215,0.011342,0.069891
approach_1.50m,12,871.730000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.817063,-0.001476,0.188315,-3.494651,2.193788,58642,0.375250,0.011111,0.070958
approach_1.50m,13,871.796000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.814758,-0.003781,0.188091,-3.496551,2.193704,58622,0.375166,0.010917,0.070882
approach_1.50m,14,871.862000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.813814,-0.004724,0.188393,-3.494862,2.193647,58633,0.375109,0.011240,0.067157
approach_1.50m,15,871.928000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.824652,0.006114,0.188317,-3.496531,2.193750,58633,0.375212,0.010898,0.069052
approach_1.50m,16,871.994000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.818174,-0.000364,0.187906,-3.495628,2.193727,58634,0.375189,0.010417,0.072495
approach_1.50m,17,872.060000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.815004,-0.003534,0.188033,-3.498340,2.193835,58635,0.375297,0.010172,0.066379
approach_1.50m,18,872.126000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.821246,0.002708,0.188831,-3.494615,2.193673,58647,0.375135,0.011433,0.068696
approach_1.50m,19,872.192000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.819894,0.001355,0.188077,-3.496991,2.193812,58637,0.375274,0.010363,0.070324
approach_1.50m,20,872.258000,0,-0.399990,1.818538,0.149800,-0.000000,,,,,,,,1,,,-24.100622,6.345861,,,,,,,,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.815874,-0.002664,0.188293,-3.498242,2.193725,58626,0.375187,0.010792,0.074349
