pose,k,stamp,observed,tru_lat_m,tru_range_m,tru_height_m,tru_yaw_rad,est_lat_m,est_range_m,est_yaw_rad,e_lat_m,e_range_m,e_2d_m,e_yaw_rad,tf,map_est_x,map_est_y,map_tru_x,map_tru_y,e_map_xy_m,pocket_u,pocket_v,face_a,face_b,inliers,valid,roi_u0,roi_u1,roi_v0,roi_v1,face_width_m,face_height_m,pocket_span_m,floor_found,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,face_frac_band_roi,depth_at_pocket_px_m,chain_check_m,plane_a,plane_b,plane_c_m,plane_n,plane_c_err_m,t_decode_s,t_observe_s
staging,0,466.424000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398652,2.456404,-0.001052,0.001335,-0.007323,0.007444,-0.001052,1,-24.055029,6.370033,-24.100622,6.345861,0.051605,265.250000,207.000000,-0.002792,1.174973,344,238214,182,347,202,213,1.202273,0.080152,0.557416,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.463516,-0.000211,-0.003072,1.292655,2.576482,344,0.112755,0.071821,0.065194
staging,1,466.490000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.396838,2.456443,-0.001778,0.003149,-0.007284,0.007935,-0.001778,1,-24.053215,6.370059,-24.100622,6.345861,0.053226,265.500000,207.000000,-0.004715,1.188977,342,238214,182,347,202,213,1.202306,0.080154,0.553786,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.459624,-0.004103,-0.005192,1.309246,2.577689,342,0.113962,0.012984,0.050448
staging,2,466.556000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398714,2.456787,-0.001899,0.001273,-0.006940,0.007055,-0.001899,1,-24.052852,6.370369,-24.100622,6.345861,0.053691,265.250000,207.000000,-0.005024,1.204408,342,238214,182,347,202,213,1.202484,0.080166,0.557513,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.469539,0.005812,-0.005539,1.327870,2.579637,342,0.115910,0.012005,0.045988
staging,3,466.622000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398630,2.456268,-0.000566,0.001357,-0.007459,0.007581,-0.000566,1,-24.052744,6.369894,-24.100622,6.345861,0.053571,265.250000,207.000000,-0.001524,1.196331,342,238214,182,347,202,213,1.202221,0.080148,0.557392,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.466814,0.003087,-0.001680,1.318742,2.578874,342,0.115147,0.010810,0.047551
staging,4,466.688000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398832,2.457510,0.000037,0.001155,-0.006217,0.006324,0.000037,1,-24.052895,6.371030,-24.100622,6.345861,0.053958,265.250000,207.000000,0.000105,1.239772,344,238214,182,347,202,213,1.202857,0.080190,0.557689,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.466337,0.002610,0.000116,1.371846,2.585097,344,0.121370,0.013477,0.046282
staging,5,466.754000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398830,2.457502,-0.000496,0.001157,-0.006225,0.006332,-0.000496,1,-24.051024,6.371009,-24.100622,6.345861,0.055610,265.250000,207.000000,-0.001304,1.217563,345,238214,182,347,202,213,1.202839,0.080189,0.557679,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.463587,-0.000140,-0.001440,1.344506,2.582435,345,0.118708,0.011407,0.048773
staging,6,466.820000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398783,2.457212,-0.002063,0.001204,-0.006515,0.006626,-0.002063,1,-24.050756,6.370742,-24.100622,6.345861,0.055729,265.250000,207.000000,-0.005439,1.246465,349,238214,182,347,202,213,1.202723,0.080182,0.557623,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.458805,-0.004922,-0.006017,1.378980,2.584529,349,0.120802,0.013712,0.047451
staging,7,466.886000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398754,2.457033,-0.000966,0.001233,-0.006694,0.006807,-0.000966,1,-24.050639,6.370577,-24.100622,6.345861,0.055760,265.250000,207.000000,-0.002513,1.210700,346,238214,182,347,202,213,1.202606,0.080174,0.557571,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.468563,0.004836,-0.002773,1.335962,2.581010,346,0.117283,0.010262,0.048437
staging,8,466.952000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.397408,2.459970,-0.000758,0.002579,-0.003757,0.004557,-0.000757,1,-24.049233,6.369608,-24.100622,6.345861,0.056610,265.500000,208.000000,-0.001970,1.187063,352,238214,182,347,202,215,1.204026,0.094863,0.554580,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464561,0.000834,-0.002163,1.303323,2.577621,352,0.113893,0.014817,0.047616
staging,9,467.018000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.397090,2.457999,-0.000224,0.002897,-0.005728,0.006419,-0.000224,1,-24.048766,6.371447,-24.100622,6.345861,0.057825,265.500000,207.000000,-0.000602,1.294810,350,238214,182,347,202,213,1.203138,0.080209,0.554172,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464082,0.000354,-0.000669,1.439201,2.591429,350,0.127702,0.011534,0.048493
staging,10,467.084000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.399246,2.460066,-0.000725,0.000740,-0.003661,0.003735,-0.000725,1,-24.050798,6.369707,-24.100622,6.345861,0.055236,265.250000,208.000000,-0.001909,1.196114,356,238214,182,347,202,215,1.204078,0.094867,0.558253,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462020,-0.001707,-0.002097,1.314227,2.578668,356,0.114941,0.014518,0.046455
staging,11,467.150000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398690,2.456634,-0.000339,0.001297,-0.007093,0.007210,-0.000339,1,-24.050167,6.370209,-24.100622,6.345861,0.056023,265.250000,207.000000,-0.000914,1.107862,341,238214,182,347,202,213,1.202335,0.080156,0.557446,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464565,0.000838,-0.001000,1.212322,2.569844,341,0.106117,0.011074,0.047559
staging,12,467.216000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398694,2.456662,-0.000687,0.001293,-0.007065,0.007182,-0.000687,1,-24.050054,6.370234,-24.100622,6.345861,0.056135,265.250000,207.000000,-0.001803,1.195109,349,238214,182,347,202,213,1.202413,0.080161,0.557481,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462436,-0.001291,-0.001987,1.317189,2.579086,349,0.115358,0.014442,0.048480
staging,13,467.282000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398663,2.456471,0.000364,0.001324,-0.007256,0.007375,0.000364,1,-24.049898,6.370057,-24.100622,6.345861,0.056200,265.250000,207.000000,0.000928,1.205398,352,238214,182,347,202,213,1.202324,0.080155,0.557442,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462959,-0.000768,0.001024,1.330187,2.580494,352,0.116767,0.011564,0.049294
staging,14,467.348000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398722,2.456832,-0.001321,0.001265,-0.006895,0.007010,-0.001321,1,-24.049827,6.370387,-24.100622,6.345861,0.056407,265.250000,207.000000,-0.003478,1.222464,349,238214,182,347,202,213,1.202517,0.080168,0.557529,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.465025,0.001298,-0.003841,1.350102,2.581907,349,0.118180,0.014172,0.046675
staging,15,467.414000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398748,2.456997,-0.001105,0.001238,-0.006730,0.006843,-0.001105,1,-24.049771,6.370537,-24.100622,6.345861,0.056522,265.250000,207.000000,-0.002867,1.162893,350,238214,182,347,202,213,1.202554,0.080170,0.557546,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462412,-0.001315,-0.003151,1.278032,2.575761,350,0.112034,0.011088,0.048183
staging,16,467.480000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.396933,2.457027,-0.001897,0.003054,-0.006700,0.007363,-0.001897,1,-24.047899,6.370550,-24.100622,6.345861,0.058218,265.500000,207.000000,-0.004917,1.101607,345,238214,182,347,202,213,1.202528,0.080169,0.553889,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.464865,0.001138,-0.005375,1.204169,2.568860,345,0.105133,0.013662,0.047418
staging,17,467.546000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398697,2.456679,-0.002779,0.001290,-0.007048,0.007165,-0.002779,1,-24.049584,6.370245,-24.100622,6.345861,0.056564,265.250000,207.000000,-0.007372,1.253489,344,238214,182,347,202,213,1.202470,0.080165,0.557505,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.461544,-0.002183,-0.008159,1.387225,2.584411,344,0.120684,0.011369,0.049754
staging,18,467.612000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398744,2.456967,-0.000289,0.001243,-0.006760,0.006874,-0.000289,1,-24.049512,6.370508,-24.100622,6.345861,0.056743,265.250000,207.000000,-0.000798,1.193247,350,238214,182,347,202,213,1.202559,0.080171,0.557550,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.468155,0.004428,-0.000880,1.315098,2.579368,350,0.115641,0.011853,0.046157
staging,19,467.678000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.397028,2.457618,-0.000416,0.002959,-0.006109,0.006787,-0.000416,1,-24.047673,6.371089,-24.100622,6.345861,0.058652,265.500000,207.000000,-0.001109,1.242095,350,238214,182,347,202,213,1.202914,0.080194,0.554069,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.461494,-0.002233,-0.001228,1.374446,2.585240,350,0.121513,0.012121,0.047774
staging,20,467.744000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.397471,2.460358,-0.000619,0.002516,-0.003369,0.004205,-0.000619,1,-24.047998,6.369951,-24.100622,6.345861,0.057876,265.500000,208.000000,-0.001651,1.229232,346,238214,182,347,202,215,1.204245,0.094880,0.554682,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.461255,-0.002472,-0.001819,1.354271,2.582463,346,0.118736,0.015312,0.050601
staging,21,467.810000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.396812,2.456280,-0.000758,0.003175,-0.007447,0.008095,-0.000758,1,-24.047217,6.369861,-24.100622,6.345861,0.058550,265.500000,207.000000,-0.002004,1.238316,345,238214,182,347,202,213,1.202258,0.080151,0.553766,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.467876,0.004149,-0.002217,1.369738,2.583337,345,0.119609,0.011714,0.048629
staging,22,467.876000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.397414,2.460005,-0.000565,0.002573,-0.003722,0.004525,-0.000565,1,-24.047674,6.369627,-24.100622,6.345861,0.058037,265.500000,208.000000,-0.001509,1.219671,349,238214,182,347,202,215,1.204066,0.094866,0.554599,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462395,-0.001332,-0.001661,1.342744,2.581138,349,0.117411,0.011837,0.047734
staging,23,467.942000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.399308,2.460443,-0.000056,0.000679,-0.003284,0.003353,-0.000056,1,-24.049450,6.370041,-24.100622,6.345861,0.056597,265.250000,208.000000,-0.000180,1.115776,350,238214,182,347,202,215,1.204203,0.094877,0.558312,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.463283,-0.000444,-0.000197,1.218306,2.571006,350,0.107279,0.011697,0.049428
staging,24,468.008000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398762,2.457083,-0.002534,0.001224,-0.006644,0.006756,-0.002534,1,-24.048802,6.370608,-24.100622,6.345861,0.057426,265.250000,207.000000,-0.006736,1.274626,353,238214,182,347,202,213,1.202682,0.080179,0.557604,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.460777,-0.002950,-0.007469,1.413219,2.587219,353,0.123492,0.011880,0.049103
staging,25,468.074000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398698,2.456686,-0.000472,0.001289,-0.007041,0.007158,-0.000472,1,-24.048668,6.370243,-24.100622,6.345861,0.057391,265.250000,207.000000,-0.001271,1.168149,341,238214,182,347,202,213,1.202404,0.080160,0.557478,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.459340,-0.004387,-0.001398,1.284671,2.576300,341,0.112573,0.012554,0.048186
staging,26,468.140000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398710,2.456758,0.000152,0.001277,-0.006969,0.007085,0.000152,1,-24.048562,6.370309,-24.100622,6.345861,0.057515,265.250000,207.000000,0.000376,1.175340,346,238214,182,347,202,213,1.202443,0.080163,0.557496,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462040,-0.001687,0.000413,1.293648,2.577440,346,0.113713,0.011537,0.048804
staging,27,468.206000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398636,2.456301,-0.000716,0.001351,-0.007426,0.007548,-0.000716,1,-24.048383,6.369889,-24.100622,6.345861,0.057501,265.250000,207.000000,-0.001896,1.235453,344,238214,182,347,202,213,1.202266,0.080151,0.557413,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.466274,0.002547,-0.002097,1.366262,2.583066,344,0.119339,0.012804,0.049387
staging,28,468.272000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398717,2.456805,-0.001490,0.001270,-0.006922,0.007038,-0.001490,1,-24.048342,6.370349,-24.100622,6.345861,0.057732,265.250000,207.000000,-0.003939,1.175629,354,238214,182,347,202,213,1.202471,0.080165,0.557507,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.467865,0.004138,-0.004333,1.293221,2.576748,354,0.113021,0.010873,0.047508
staging,29,468.338000,1,-0.399987,2.463727,-0.222700,-0.000000,-0.398679,2.456572,0.000287,0.001307,-0.007155,0.007274,0.000287,1,-24.048214,6.370135,-24.100622,6.345861,0.057757,265.250000,207.000000,0.000758,1.229460,348,238214,182,347,202,213,1.202391,0.080159,0.557472,1,180.726260,347.856942,198.972231,217.023922,0.029440,0.029463,2.462009,-0.001718,0.000838,1.359438,2.583163,348,0.119436,0.012826,0.049617
approach_1.50m,0,479.954000,1,-0.399990,1.818538,0.149800,-0.000000,-0.395911,1.811030,-0.000634,0.004078,-0.007508,0.008544,-0.000634,1,-24.049505,6.419693,-24.100622,6.345861,0.089801,246.250000,265.000000,-0.001173,0.968955,539,230377,132,357,258,273,1.208828,0.080589,0.556059,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.823058,0.004519,-0.001085,0.896215,1.741727,539,-0.076812,0.016077,0.042800
approach_1.50m,1,480.020000,1,-0.399990,1.818538,0.149800,-0.000000,-0.397341,1.811428,-0.000914,0.002649,-0.007110,0.007588,-0.000914,1,-24.050931,6.420037,-24.100622,6.345861,0.089283,246.000000,265.000000,-0.001701,0.919925,552,230377,132,357,258,273,1.209045,0.080603,0.558845,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.825962,0.007424,-0.001579,0.854066,1.745382,552,-0.073156,0.010748,0.043803
approach_1.50m,2,480.086000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396006,1.811464,-0.000682,0.003983,-0.007074,0.008118,-0.000682,1,-24.047721,6.420031,-24.100622,6.345861,0.091102,246.250000,265.000000,-0.001200,0.920414,539,230377,132,357,258,273,1.209069,0.080605,0.556170,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.819452,0.000914,-0.001114,0.854589,1.745488,539,-0.073050,0.011546,0.044584
approach_1.50m,3,480.152000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396020,1.811529,-0.001174,0.003969,-0.007009,0.008055,-0.001174,1,-24.047735,6.420084,-24.100622,6.345861,0.091138,246.250000,265.000000,-0.002214,0.917132,535,230377,132,357,258,273,1.209113,0.080608,0.556188,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.820050,0.001512,-0.002056,0.851564,1.745573,535,-0.072965,0.010704,0.043018
approach_1.50m,4,480.218000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396108,1.811932,0.000171,0.003881,-0.006607,0.007662,0.000171,1,-24.047781,6.420419,-24.100622,6.345861,0.091384,246.250000,265.000000,0.000570,0.935673,549,230377,132,357,258,273,1.209390,0.080626,0.556320,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.815129,-0.003409,0.000529,0.868086,1.745264,549,-0.073274,0.011294,0.044209
approach_1.50m,5,480.284000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396085,1.811826,-0.001659,0.003904,-0.006712,0.007765,-0.001659,1,-24.046021,6.420308,-24.100622,6.345861,0.092323,246.250000,265.000000,-0.003271,0.941599,549,230377,132,357,258,273,1.209339,0.080623,0.556291,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.817192,-0.001346,-0.003030,0.872394,1.743973,549,-0.074565,0.013384,0.044259
approach_1.50m,6,480.350000,1,-0.399990,1.818538,0.149800,-0.000000,-0.395996,1.811419,-0.001879,0.003993,-0.007119,0.008162,-0.001879,1,-24.045856,6.419969,-24.100622,6.345861,0.092149,246.250000,265.000000,-0.003782,0.946510,534,230377,132,357,258,273,1.209074,0.080605,0.556168,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.813317,-0.005221,-0.003502,0.876486,1.743127,534,-0.075411,0.011527,0.042859
approach_1.50m,7,480.416000,1,-0.399990,1.818538,0.149800,-0.000000,-0.397350,1.811472,-0.001717,0.002639,-0.007066,0.007543,-0.001717,1,-24.047118,6.420027,-24.100622,6.345861,0.091451,246.000000,265.000000,-0.003484,0.970849,551,230377,132,357,258,273,1.209131,0.080609,0.558882,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.818620,0.000082,-0.003221,0.897365,1.741568,551,-0.076970,0.010189,0.047210
approach_1.50m,8,480.482000,1,-0.399990,1.818538,0.149800,-0.000000,-0.397334,1.811396,-0.000218,0.002656,-0.007142,0.007620,-0.000218,1,-24.047014,6.419963,-24.100622,6.345861,0.091460,246.000000,265.000000,-0.000344,1.005151,536,230377,132,357,258,273,1.209104,0.080607,0.558874,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.825984,0.007446,-0.000317,0.927244,1.739781,536,-0.078757,0.014120,0.041611
approach_1.50m,9,480.548000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396007,1.811468,-0.000818,0.003983,-0.007070,0.008114,-0.000818,1,-24.045566,6.420005,-24.100622,6.345861,0.092350,246.250000,265.000000,-0.001563,0.948542,558,230377,132,357,258,273,1.209101,0.080607,0.556184,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.821307,0.002769,-0.001448,0.878682,1.743485,558,-0.075053,0.011387,0.043799
approach_1.50m,10,480.614000,1,-0.399990,1.818538,0.149800,-0.000000,-0.395881,1.810890,-0.001822,0.004109,-0.007649,0.008682,-0.001822,1,-24.045370,6.419523,-24.100622,6.345861,0.092081,246.250000,265.000000,-0.003651,0.957142,538,230377,132,357,258,273,1.208731,0.080582,0.556010,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.815500,-0.003038,-0.003378,0.885598,1.741895,538,-0.076643,0.010753,0.044912
approach_1.50m,11,480.680000,1,-0.399990,1.818538,0.149800,-0.000000,-0.397371,1.811567,-0.002075,0.002619,-0.006971,0.007447,-0.002075,1,-24.046744,6.420101,-24.100622,6.345861,0.091730,246.000000,265.000000,-0.004119,0.934748,546,230377,132,357,258,273,1.209160,0.080611,0.558895,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.818977,0.000439,-0.003817,0.866331,1.744010,546,-0.074528,0.014283,0.043576
approach_1.50m,12,480.746000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396014,1.811500,-0.001791,0.003976,-0.007038,0.008083,-0.001791,1,-24.045293,6.420028,-24.100622,6.345861,0.092531,246.250000,265.000000,-0.003526,0.931026,541,230377,132,357,258,273,1.209112,0.080607,0.556186,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.819940,0.001402,-0.003269,0.863254,1.744322,541,-0.074216,0.011606,0.043551
approach_1.50m,13,480.812000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396041,1.811625,-0.000569,0.003948,-0.006914,0.007962,-0.000569,1,-24.045228,6.420130,-24.100622,6.345861,0.092652,246.250000,265.000000,-0.001039,0.975255,534,230377,132,357,258,273,1.209230,0.080615,0.556244,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.819851,0.001313,-0.000961,0.901645,1.741915,534,-0.076623,0.010940,0.043277
approach_1.50m,14,480.878000,1,-0.399990,1.818538,0.149800,-0.000000,-0.395941,1.811165,-0.001331,0.004049,-0.007373,0.008412,-0.001331,1,-24.045040,6.419747,-24.100622,6.345861,0.092458,246.250000,265.000000,-0.002507,0.913508,543,230377,132,357,258,273,1.208867,0.080591,0.556075,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.814418,-0.004120,-0.002328,0.848371,1.745399,543,-0.073139,0.013852,0.041738
approach_1.50m,15,480.944000,1,-0.399990,1.818538,0.149800,-0.000000,-0.397330,1.811379,-0.000166,0.002660,-0.007160,0.007638,-0.000166,1,-24.046290,6.419939,-24.100622,6.345861,0.091867,246.000000,265.000000,-0.000044,0.864413,544,230377,132,357,256,273,1.207244,0.091214,0.552649,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.810440,-0.008098,-0.000041,0.806363,1.749500,544,-0.069038,0.011976,0.043853
approach_1.50m,16,481.010000,1,-0.399990,1.818538,0.149800,-0.000000,-0.397446,1.811909,-0.000635,0.002544,-0.006629,0.007101,-0.000635,1,-24.046346,6.420379,-24.100622,6.345861,0.092189,246.000000,265.000000,-0.001103,0.921704,544,230377,132,357,256,273,1.207544,0.091237,0.552785,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.820127,0.001589,-0.001024,0.855734,1.745862,544,-0.072676,0.011500,0.043876
approach_1.50m,17,481.076000,1,-0.399990,1.818538,0.149800,-0.000000,-0.397294,1.811215,-0.001299,0.002696,-0.007324,0.007804,-0.001299,1,-24.046091,6.419800,-24.100622,6.345861,0.091873,246.000000,265.000000,-0.002524,0.941741,542,230377,132,357,258,273,1.208927,0.080595,0.558790,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.816786,-0.001752,-0.002339,0.872643,1.743502,542,-0.075036,0.014071,0.042844
approach_1.50m,18,481.142000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396059,1.811704,-0.001696,0.003931,-0.006834,0.007884,-0.001696,1,-24.044776,6.420190,-24.100622,6.345861,0.092971,246.250000,265.000000,-0.003380,0.941015,545,230377,132,357,258,273,1.209257,0.080617,0.556253,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.819610,0.001072,-0.003131,0.871867,1.743870,545,-0.074669,0.010441,0.047075
approach_1.50m,19,481.208000,1,-0.399990,1.818538,0.149800,-0.000000,-0.396113,1.811952,-0.002041,0.003877,-0.006586,0.007642,-0.002041,1,-24.044751,6.420395,-24.100622,6.345861,0.093150,246.250000,265.000000,-0.003979,0.903802,549,230377,132,357,258,273,1.209388,0.080626,0.556312,1,130.159642,357.970431,254.792556,276.969466,0.049299,0.049337,1.812307,-0.006231,-0.003697,0.839739,1.746554,549,-0.071984,0.011843,0.044356
