pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,t_decode_s,t_classify_s
staging,clean,0,921.560000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.068093,0.092786
staging,clean,1,921.626000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012340,0.087763
staging,clean,2,921.692000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012580,0.080183
staging,clean,3,921.758000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012292,0.082538
staging,clean,4,921.824000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011207,0.083175
staging,clean,5,921.890000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012197,0.082125
staging,clean,6,921.956000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010721,0.083058
staging,clean,7,922.022000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.014235,0.083699
staging,clean,8,922.088000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011760,0.088102
staging,clean,9,922.154000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010707,0.081869
staging,clean,10,922.220000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012054,0.080717
staging,clean,11,922.286000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010472,0.081576
staging,clean,12,922.352000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.014970,0.078548
staging,clean,13,922.418000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010402,0.080692
staging,clean,14,922.484000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011168,0.081229
staging,clean,15,922.550000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011138,0.085309
staging,clean,16,922.616000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010544,0.079362
staging,clean,17,922.682000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011819,0.081600
staging,clean,18,922.748000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010680,0.078810
staging,clean,19,922.814000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011894,0.078144
staging,clean,20,922.880000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011899,0.077227
staging,clean,21,922.946000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012433,0.083743
staging,clean,22,923.012000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011226,0.081273
