pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s
staging,clean,0,528.266000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202369,0.080158,-0.001109,0.070642,0.058830
staging,clean,1,528.332000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202646,0.080176,-0.000508,0.013053,0.050555
staging,clean,2,528.398000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202562,0.080171,-0.001864,0.011278,0.050061
staging,clean,3,528.464000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202659,0.080177,-0.000902,0.011406,0.048066
staging,clean,4,528.530000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202375,0.080158,-0.001340,0.011456,0.048572
staging,clean,5,528.596000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202172,0.080145,-0.000796,0.015337,0.047235
staging,clean,6,528.662000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202249,0.080150,0.000437,0.011824,0.048487
staging,clean,7,528.728000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202356,0.080157,-0.001566,0.010761,0.049288
staging,clean,8,528.794000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202399,0.080160,0.000111,0.014215,0.045967
staging,clean,9,528.860000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.201943,0.080130,-0.000506,0.011524,0.051130
staging,clean,10,528.926000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202670,0.080178,-0.001350,0.011773,0.050875
staging,clean,11,528.992000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202740,0.080183,-0.000971,0.012597,0.048617
staging,clean,12,529.058000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202235,0.080149,-0.001148,0.011238,0.049922
staging,clean,13,529.124000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202274,0.080152,-0.000880,0.011957,0.047507
staging,clean,14,529.190000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202446,0.080163,-0.000487,0.012028,0.050006
staging,clean,15,529.256000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202499,0.080167,-0.001763,0.010883,0.049230
staging,clean,16,529.322000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202335,0.080156,-0.001509,0.014590,0.047244
staging,clean,17,529.388000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202339,0.080156,-0.000291,0.011814,0.049674
staging,clean,18,529.454000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202239,0.080149,0.000098,0.012910,0.051084
staging,clean,19,529.520000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202592,0.080173,-0.001231,0.015313,0.049897
staging,clean,20,529.586000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202829,0.080189,-0.000980,0.011784,0.050158
staging,clean,21,529.652000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202202,0.080147,-0.001390,0.011175,0.052915
staging,clean,22,529.718000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.201992,0.080133,-0.001215,0.014256,0.052866
staging,clean,23,529.784000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202396,0.080160,-0.003573,0.015188,0.060999
staging,clean,24,529.850000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202526,0.080168,0.000462,0.011219,0.050099
staging,clean,25,529.916000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202372,0.080158,-0.000419,0.011867,0.049063
staging,clean,26,529.982000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202424,0.080162,-0.000678,0.012979,0.048948
staging,clean,27,530.048000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202499,0.080167,-0.001469,0.011820,0.049641
staging,clean,28,530.114000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202494,0.080166,-0.000923,0.012437,0.046952
staging,clean,29,530.180000,none,0,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,182,347,202,213,1.202289,0.080153,-0.000465,0.012991,0.051883
staging,pallet_absent,0,545.624000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011102,0.053518
staging,pallet_absent,1,545.690000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.013046,0.051410
staging,pallet_absent,2,545.756000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.012890,0.058483
staging,pallet_absent,3,545.822000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.013837,0.059253
staging,pallet_absent,4,545.888000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010434,0.061155
staging,pallet_absent,5,545.954000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010762,0.056322
staging,pallet_absent,6,546.020000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011247,0.054180
staging,pallet_absent,7,546.086000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011851,0.054488
staging,pallet_absent,8,546.152000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011929,0.053949
staging,pallet_absent,9,546.218000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.013217,0.061107
staging,pallet_absent,10,546.284000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010929,0.060222
staging,pallet_absent,11,546.350000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010825,0.054703
staging,pallet_absent,12,546.416000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.012024,0.064053
