cycle,k,stamp,wall,regime,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,num_retries,dock_state,retry_joined,pallet_readback_ok,pallet_moved_m,countable,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
0,0,518.432000,0.014640,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1730,0.974504,182,347,202,215,1.204185,0.094875,-0.000442,,,0,1,0.471461,0,0.066123,-0.000000,518.472000,0,271.893149,87.007607,3.105442,2.817899,0,pallet_absent,1,0,face_height_not_pallet_sized,,,0.055905
0,1,518.498000,0.261350,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1732,0.977839,182,347,202,213,1.202551,0.080170,-0.001027,,,0,1,0.471461,0,0.068119,-0.000000,518.472000,0,,,,,,none,0,1,,1.202551,-0.001027,0.102239
0,2,518.696000,0.574341,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1729,0.980057,182,347,202,213,1.202326,0.080155,-0.002695,,,0,1,0.471461,0,0.069815,-0.000000,518.996000,0,,,,,,none,0,1,,1.202326,-0.002695,0.068057
0,3,518.960000,0.853639,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1728,0.974359,182,347,202,213,1.202519,0.080168,-0.000981,,,0,1,0.471461,0,0.073587,-0.000000,519.276000,1,,,,,,none,0,1,,1.202519,-0.000981,0.000002
0,4,519.224000,1.073501,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1730,0.977591,182,347,202,213,1.202328,0.080155,-0.000068,,,0,1,0.471461,0,0.065140,-0.000000,519.494000,0,,,,,,none,0,1,,1.202328,-0.000068,0.066614
0,5,519.488000,1.342432,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1728,0.980392,182,347,202,213,1.202305,0.080154,-0.001444,,,0,1,0.471461,0,0.062839,-0.000000,519.764000,0,,,,,,none,0,1,,1.202305,-0.001444,0.063404
0,6,519.752000,1.600573,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1726,0.977208,182,347,202,213,1.202690,0.080179,0.000362,,,0,1,0.471461,0,0.062862,-0.000000,520.022000,0,,,,,,none,0,1,,1.202690,0.000362,0.063632
0,7,520.016000,1.862710,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1725,0.976744,182,347,202,213,1.202644,0.080176,-0.001042,,,0,1,0.471461,0,0.069041,-0.000000,520.284000,0,,,,,,none,0,1,,1.202644,-0.001042,0.066470
0,8,520.148000,2.130765,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1728,0.977077,182,347,202,213,1.202105,0.080140,-0.001071,,,0,1,0.471461,0,0.061378,-0.000000,520.464000,1,,,,,,none,0,1,,1.202105,-0.001071,0.000002
0,9,520.214000,2.316331,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1730,0.974576,182,347,202,213,1.202507,0.080167,-0.001023,,,0,1,0.471461,0,0.073214,-0.000000,520.466000,0,,,,,,none,0,1,,1.202507,-0.001023,0.067774
0,10,520.742000,2.591634,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1729,0.980447,182,347,202,213,1.202657,0.080177,-0.001376,,,0,1,0.471461,0,0.063724,-0.000000,521.004000,0,,,,,,none,0,1,,1.202657,-0.001376,0.064356
0,11,521.006000,2.858731,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1728,0.977654,182,347,202,213,1.202285,0.080152,-0.001172,,,0,1,0.471461,0,0.065105,-0.000000,521.272000,0,,,,,,none,0,1,,1.202285,-0.001172,0.066683
0,12,521.204000,3.121717,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1729,0.977654,182,347,202,213,1.202785,0.080186,-0.002222,,,0,1,0.471461,0,0.066350,-0.000000,521.534000,1,,,,,,none,0,1,,1.202785,-0.002222,0.000002
0,13,521.468000,3.319024,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1727,0.983051,182,347,202,213,1.202789,0.080186,-0.000493,,,0,1,0.471461,0,0.065518,-0.000000,521.732000,0,,,,,,none,0,1,,1.202789,-0.000493,0.064260
0,14,521.666000,3.583226,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1727,0.979885,182,347,202,213,1.201987,0.080132,-0.000801,,,0,1,0.471461,0,0.072910,-0.000000,521.996000,1,,,,,,none,0,1,,1.201987,-0.000801,0.000002
0,15,521.930000,3.801773,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1727,0.977528,182,347,202,213,1.202443,0.080163,-0.002468,,,0,1,0.471461,0,0.060135,-0.000000,522.216000,0,,,,,,none,0,1,,1.202443,-0.002468,0.069819
0,16,522.194000,4.072517,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1730,0.974790,182,347,202,213,1.202544,0.080170,-0.000041,,,0,1,0.471461,0,0.070911,-0.000000,522.488000,0,,,,,,none,0,1,,1.202544,-0.000041,0.068282
0,17,522.458000,4.345453,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1728,0.977208,182,347,202,213,1.202644,0.080176,-0.002271,,,0,1,0.471461,0,0.063111,-0.000000,522.760000,1,,,,,,none,0,1,,1.202644,-0.002271,0.000002
0,18,522.656000,4.543363,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,1,,6,1731,0.977401,182,347,202,213,1.202412,0.080161,-0.003354,,,0,1,0.471461,0,0.063294,-0.000000,522.958000,1,,,,,,none,0,1,,1.202412,-0.003354,0.000002
0,19,522.854000,4.740828,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775459,1,,6,1730,0.974359,182,347,202,213,1.202474,0.080165,-0.001592,0,3,1,1,0.471461,0,0.063167,-0.000000,523.156000,1,,,,,,none,0,1,,1.202474,-0.001592,0.000002
0,20,523.052000,4.943747,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775785,1,,6,1740,0.962428,180,347,202,215,1.214408,0.094535,-0.000689,0,3,1,1,0.471461,0,0.065702,-0.000000,523.358000,1,,,,,,none,0,1,,1.214408,-0.000689,0.000002
0,21,523.250000,5.145382,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.775775,1,,6,1783,0.982558,180,345,204,215,1.193680,0.079579,0.003659,0,3,1,1,0.471461,0,0.060646,-0.000000,523.560000,1,,,,,,none,0,1,,1.193680,0.003659,0.000002
0,22,523.448000,5.343009,staging,none,0,7.000000,6.575000,1.570796,2.245000,0.776266,1,,6,1831,0.979042,176,343,204,217,1.197266,0.093200,0.010390,0,3,1,1,0.471461,0,0.068950,-0.000000,523.758000,1,,,,,,none,0,1,,1.197266,0.010390,0.000002
0,23,523.646000,5.544760,staging,none,0,7.000591,6.570373,1.569471,2.240373,0.776888,1,,6,1867,0.986111,172,343,206,219,1.212462,0.092175,0.016138,0,3,1,1,0.471461,0,0.065563,-0.000000,523.958000,1,,,,,,none,0,1,,1.212462,0.016138,0.000002
0,24,523.844000,5.744552,staging,none,0,7.001947,6.556756,1.566819,2.226756,0.777454,1,,5,1925,0.969780,168,341,208,221,1.209324,0.090874,0.020387,0,3,1,1,0.471461,0,0.069424,-0.000000,524.158000,1,,,,,,none,0,1,,1.209324,0.020387,0.000002
0,25,524.042000,5.945158,staging,none,0,7.004223,6.534661,1.562287,2.204661,0.777881,1,,5,2015,0.973404,164,339,210,223,1.202582,0.089335,0.025114,0,3,1,1,0.471461,0,0.064218,-0.000000,524.360000,1,,,,,,none,0,1,,1.202582,0.025114,0.000002
0,26,524.240000,6.145171,staging,none,0,7.006735,6.504165,1.556962,2.174165,0.778122,1,,5,2102,0.978552,158,337,214,227,1.211100,0.087957,0.031086,0,3,1,1,0.471461,0,0.061438,-0.000000,524.560000,1,,,,,,none,0,1,,1.211100,0.031086,0.000002
0,27,524.438000,6.339436,staging,none,0,7.008905,6.466878,1.551626,2.136878,0.777402,1,,5,2184,0.971354,154,337,216,231,1.216195,0.099688,0.032931,0,3,1,1,0.471461,0,0.070868,-0.000000,524.754000,1,,,,,,none,0,1,,1.216195,0.032931,0.000002
0,28,524.702000,6.554827,staging,none,0,7.011053,6.425205,1.545904,2.095205,0.775492,1,,5,2319,0.977612,150,337,220,235,1.212012,0.097220,0.034559,0,3,1,1,0.471461,0,0.066118,-0.000000,524.968000,0,,,,,,none,0,1,,1.212012,0.034559,0.067628
0,29,524.966000,6.823536,staging,none,0,7.013358,6.357699,1.538040,2.027699,0.772702,1,,5,2462,0.983213,146,339,226,239,1.219194,0.082122,0.031437,0,3,1,1,0.471461,0,0.069450,-0.000000,525.238000,0,,,,,,none,0,1,,1.219194,0.031437,0.065949
0,30,525.230000,7.089519,approach,none,0,7.011855,6.298764,1.536620,1.968764,0.768132,1,,5,2626,0.980000,144,341,230,245,1.212185,0.092298,0.024809,0,3,1,1,0.471461,0,0.070404,-0.000000,525.504000,0,,,,,,none,0,1,,1.212185,0.024809,0.068743
