pose,regime,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
staging,staging,clean,0,116.096000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.974930,182,347,202,213,1.202621,0.080175,-0.002205,0.046895,0.072067,-0.000000,111.384000,1,,,,,,none,0,1,,1.202621,-0.002205,0.000003
staging,staging,clean,1,116.162000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.974860,182,347,202,213,1.202564,0.080171,-0.002205,0.014072,0.056961,-0.000000,116.414000,0,,,,,,none,0,1,,1.202564,-0.002205,0.057713
staging,staging,clean,2,116.228000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977077,182,347,202,213,1.202440,0.080163,-0.001489,0.012762,0.056674,-0.000000,116.416000,0,,,,,,none,0,1,,1.202440,-0.001489,0.058060
staging,staging,clean,3,116.294000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.969274,182,347,202,213,1.201926,0.080128,-0.001009,0.010906,0.055347,-0.000000,116.418000,0,,,,,,none,0,1,,1.201926,-0.001009,0.056486
staging,staging,clean,4,116.360000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.974648,182,347,202,213,1.202128,0.080142,0.000167,0.013109,0.051519,-0.000000,116.420000,0,,,,,,none,0,1,,1.202128,0.000167,0.057286
staging,staging,clean,5,116.426000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.977654,182,347,202,213,1.202442,0.080163,0.000328,0.011042,0.056058,-0.000000,116.454000,0,,,,,,none,0,1,,1.202442,0.000328,0.058377
staging,staging,clean,6,116.492000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977465,182,347,202,213,1.202374,0.080158,-0.001420,0.011838,0.055176,-0.000000,116.520000,0,271.891912,87.008366,3.105399,2.817861,0,pallet_absent,1,0,face_height_not_pallet_sized,,,0.046499
staging,staging,clean,7,116.558000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.977716,182,347,202,213,1.202529,0.080169,-0.001591,0.014024,0.053706,-0.000000,116.574000,0,,,,,,none,0,1,,1.202529,-0.001591,0.059484
staging,staging,clean,8,116.624000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.979943,182,347,202,213,1.202708,0.080181,-0.000830,0.010377,0.054034,-0.000000,116.642000,0,,,,,,none,0,1,,1.202708,-0.000830,0.055727
staging,staging,clean,9,116.690000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1732,0.975275,182,347,202,215,1.204137,0.094871,0.000017,0.010809,0.057368,-0.000000,116.718000,0,271.891600,87.007501,3.105515,2.817963,0,pallet_absent,1,0,face_height_not_pallet_sized,,,0.043948
staging,staging,clean,10,116.756000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.974432,182,347,202,213,1.202453,0.080164,-0.001386,0.011591,0.054600,-0.000000,116.772000,0,,,,,,none,0,1,,1.202453,-0.001386,0.057640
staging,staging,clean,11,116.822000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977716,182,347,202,213,1.202324,0.080155,-0.000546,0.012942,0.055617,-0.000000,116.840000,0,,,,,,none,0,1,,1.202324,-0.000546,0.058299
staging,staging,clean,12,116.888000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.977654,182,347,202,213,1.203115,0.080208,-0.002971,0.012399,0.058270,-0.000000,116.906000,0,,,,,,none,0,1,,1.203115,-0.002971,0.063689
staging,staging,clean,13,116.954000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.980170,182,347,202,213,1.203134,0.080209,-0.002061,0.012374,0.061116,-0.000000,116.980000,0,271.892602,87.007342,3.105689,2.818121,0,pallet_absent,1,0,face_height_not_pallet_sized,,,0.044135
staging,staging,clean,14,117.020000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.974286,182,347,202,213,1.202590,0.080173,-0.001747,0.011557,0.054355,-0.000000,117.048000,0,,,,,,none,0,1,,1.202590,-0.001747,0.059026
staging,staging,clean,15,117.086000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.972145,182,347,202,213,1.202906,0.080194,-0.000752,0.010980,0.058172,-0.000000,117.102000,0,,,,,,none,0,1,,1.202906,-0.000752,0.060011
staging,staging,clean,16,117.152000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.977465,182,347,202,213,1.202623,0.080175,-0.000056,0.011471,0.053698,-0.000000,117.180000,0,271.891913,87.006955,3.105705,2.818134,0,pallet_absent,1,0,face_height_not_pallet_sized,,,0.044872
staging,staging,clean,17,117.218000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.974576,182,347,202,213,1.202551,0.080170,-0.002415,0.010467,0.055502,-0.000000,117.236000,0,,,,,,none,0,1,,1.202551,-0.002415,0.056341
staging,staging,clean,18,117.284000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.977716,182,347,202,213,1.202271,0.080151,-0.001242,0.013671,0.056702,-0.000000,117.312000,0,,,,,,none,0,1,,1.202271,-0.001242,0.059845
staging,staging,clean,19,117.350000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977528,182,347,202,213,1.202552,0.080170,0.000080,0.010765,0.055568,-0.000000,117.368000,0,,,,,,none,0,1,,1.202552,0.000080,0.057269
staging,staging,clean,20,117.416000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1732,0.974576,182,347,202,213,1.202853,0.080190,0.001315,0.012148,0.055222,-0.000000,117.444000,0,271.891099,87.006293,3.105528,2.817970,0,pallet_absent,1,0,face_height_not_pallet_sized,,,0.047450
staging,staging,clean,21,117.482000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.974719,182,347,202,213,1.202509,0.080167,0.001616,0.013584,0.058763,-0.000000,117.498000,0,,,,,,none,0,1,,1.202509,0.001616,0.061092
staging,staging,clean,22,117.548000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.977716,182,347,202,213,1.202255,0.080150,-0.000008,0.010631,0.055209,-0.000000,117.564000,0,,,,,,none,0,1,,1.202255,-0.000008,0.057186
staging,staging,clean,23,117.614000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.974860,182,347,202,213,1.202578,0.080172,-0.001076,0.014892,0.055286,-0.000000,117.630000,0,,,,,,none,0,1,,1.202578,-0.001076,0.058112
staging,staging,clean,24,117.680000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.975275,182,347,202,213,1.202828,0.080189,-0.000632,0.010920,0.056119,-0.000000,117.708000,0,271.892222,87.008341,3.105565,2.818012,0,pallet_absent,1,0,face_height_not_pallet_sized,,,0.047177
staging,staging,clean,25,117.746000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.977465,182,347,202,213,1.202359,0.080157,-0.001890,0.010660,0.058757,-0.000000,117.764000,0,,,,,,none,0,1,,1.202359,-0.001890,0.061350
