cycle,k,stamp,wall,regime,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,num_retries,dock_state,retry_joined,pallet_readback_ok,pallet_moved_m,countable,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_face_range_m,tag_lateral_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
0,0,520.478000,10.696475,approach,pallet_absent,1,6.988993,5.826926,1.535630,1.496926,0.751302,0,face_width_not_pallet_sized,2,2597,1.000000,,,,,,,,0,3,1,1,0.000000,1,0.073041,-0.000000,510.718000,1,,,,,,,,none,0,1,,1.187233,-0.088798,0.000002
1,0,550.310000,10.703877,approach,pallet_absent,1,7.007615,5.712596,1.531751,1.382596,0.753167,0,face_width_not_pallet_sized,2,3023,1.000000,,,,,,,,0,3,1,1,0.000000,1,0.073765,-0.000000,540.528000,1,,,,,,,,none,0,0,face_width_not_pallet_sized,,,0.000002
1,1,560.672000,21.668067,close,pallet_absent,1,6.792916,4.830148,1.724558,0.500148,0.756794,0,too_few_points_in_window,5,34,,,,,,,,,0,3,1,1,0.069225,0,0.065261,-0.000000,552.472000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
1,2,571.166000,32.809584,close,pallet_absent,1,6.711389,4.701538,1.806049,0.371538,0.757829,0,candidate_falls_away_like_a_floor,5,41,1.000000,,,,,,,,0,3,1,1,0.110400,0,0.078996,-0.000000,562.866000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
1,3,581.660000,43.905579,close,pallet_absent,1,6.656510,4.600339,1.876117,0.270339,0.758867,0,candidate_falls_away_like_a_floor,3,2761,1.000000,,,,,,,,0,3,1,1,0.150516,0,0.079237,-0.000000,573.420000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
1,4,592.418000,55.307190,close,pallet_absent,1,6.614358,4.509884,1.946111,0.179884,0.760208,0,candidate_falls_away_like_a_floor,4,66,1.000000,,,,,,,,0,3,1,1,0.192725,0,0.095970,-0.000000,583.904000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000003
1,5,603.374000,66.841163,close,pallet_absent,1,6.579833,4.421438,2.015973,0.091438,0.762051,0,candidate_falls_away_like_a_floor,3,146,1.000000,,,,,,,,0,3,1,1,0.233807,0,0.088441,-0.000000,594.816000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
1,6,613.802000,77.899427,close,pallet_absent,1,6.553483,4.336677,2.085833,0.006677,0.764880,0,candidate_falls_away_like_a_floor,4,78,1.000000,,,,,,,,0,3,1,1,0.272941,0,0.084654,-0.000000,605.610000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
1,7,624.296000,89.021236,unknown,pallet_absent,1,6.533112,4.248434,2.161008,-0.081566,0.747822,0,candidate_falls_away_like_a_floor,4,132,1.000000,,,,,,,,0,3,1,1,0.312290,0,0.078064,-0.000000,616.074000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
1,8,634.658000,100.023003,close,pallet_absent,1,6.580021,4.585974,2.000186,0.255974,0.756976,0,candidate_falls_away_like_a_floor,5,41,1.000000,,,,,,,,1,2,1,1,0.271191,0,0.074573,-0.000000,626.512000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
1,9,644.954000,110.912745,close,pallet_rotated,1,6.705304,5.380934,1.730770,1.050934,0.751211,1,,5,3920,0.985124,60,301,240,299,1.267204,0.310228,0.382135,1,2,1,1,0.258503,0,0.057230,-0.000000,636.848000,1,,,,,,,,none,0,1,,1.267204,0.382135,0.000002
1,10,658.682000,125.198465,approach,none,0,6.728698,5.976404,1.584554,1.646404,0.805342,1,,5,6021,0.989899,204,485,306,329,1.208766,0.098938,-0.043410,1,3,1,1,0.274671,0,0.066937,-0.000000,647.136000,1,,,,,,,,none,0,1,,1.208766,-0.043410,0.000002
1,11,668.912000,136.041682,close,none,0,6.729777,5.281805,2.025854,0.951805,0.754271,1,,5,5415,0.986587,120,383,292,319,1.193788,0.122556,-0.081743,2,2,1,1,0.358335,0,0.062816,-0.000000,660.888000,1,,,,,,,,none,0,1,,1.193788,-0.081743,0.000002
1,12,679.208000,146.974803,approach,none,0,6.961772,6.313293,1.516273,1.983293,0.747559,1,,4,3630,0.977547,94,323,250,277,1.234545,0.145558,0.109124,2,3,1,1,0.358335,0,0.060666,-0.000000,671.036000,1,,,,,,,,none,0,1,,1.234545,0.109124,0.000002
1,13,689.504000,157.904184,close,pallet_absent,1,7.109126,4.836599,1.666100,0.506599,0.757370,0,candidate_falls_away_like_a_floor,3,109,1.000000,,,,,,,,2,3,1,1,0.305728,0,0.065394,-0.000000,681.350000,1,,,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000009
